name,weekly_gross_eur,annual_gross_eur,weekly_net_eur,annual_net_eur,weekly_gross_gbp,annual_gross_gbp,weekly_net_gbp,annual_net_gbp,weekly_gross_usd,annual_gross_usd,weekly_net_usd,annual_net_usd,length,total_gross_eur,total_net_eur,total_gross_gbp,total_net_gbp,total_gross_usd,total_net_usd,status,position,position_detail,age,country,club
Jérôme Roussillon,55384.61538461538,2880000,29423.076923076922,1530000,46147.17307692308,2399653,24515.69230769231,1274816,62702.153846153844,3260512,33310.519230769234,1732147,2-yrs,5760000,3060000,4799307,2549632,6521024,3464294,Reserve,D,LB,29,France,Wolfsburg
Marc Roca,53846.153846153844,2800000,28461.53846153846,1480000,44865.307692307695,2332996,23714.51923076923,1233155,60960.42307692308,3169942,32221.94230769231,1675541,4-yrs,11200000,5920000,9331985,4932621,12679770,6702164,Reserve,M,DM,25,Spain,Bayern Munich
Kevin Trapp,53846.153846153844,2800000,28461.53846153846,1480000,44865.307692307695,2332996,23714.51923076923,1233155,60960.42307692308,3169942,32221.94230769231,1675541,3-yrs,8400000,4440000,6998989,3699466,9509827,5026623,Starter,K,GK,31,Germany,Eintracht Frankfurt
Filip Kostic,51923.07692307692,2700000,27500,1430000,43262.980769230766,2249675,22913.365384615383,1191495,58783.269230769234,3056730,31133.365384615383,1618935,2-yrs,5400000,2860000,4499350,2382989,6113460,3237870,Reserve,M,LM,29,Serbia,Eintracht Frankfurt
Luca Netz,51923.07692307692,2700000,27500,1430000,43262.980769230766,2249675,22913.365384615383,1191495,58783.269230769234,3056730,31133.365384615383,1618935,5-yrs,13500000,7150000,11248375,5957473,15283651,8094674,Reserve,D,LB,18,Germany,Monchengladbach
Martin Hinteregger,50576.92307692308,2630000,26730.76923076923,1390000,42141.346153846156,2191350,22272.423076923078,1158166,57259.269230769234,2977482,30262.5,1573650,3-yrs,7890000,4170000,6574050,3474498,8932445,4720950,Reserve,D,CB,29,Austria,Eintracht Frankfurt
Thomas Meunier,50000,2600000,26538.46153846154,1380000,41660.653846153844,2166354,22112.19230769231,1149834,56606.11538461538,2943518,30044.78846153846,1562329,3-yrs,7800000,4140000,6499061,3449502,8830554,4686986,Starter,D,RB,30,Belgium,Borussia Dortmund
Péter Gulácsi,50000,2600000,26538.46153846154,1380000,41660.653846153844,2166354,22112.19230769231,1149834,56606.11538461538,2943518,30044.78846153846,1562329,4-yrs,10400000,5520000,8665415,4599336,11774072,6249315,Starter,K,GK,31,Hungary,Leipzig
Nordi Mukiele,50000,2600000,26538.46153846154,1380000,41660.653846153844,2166354,22112.19230769231,1149834,56606.11538461538,2943518,30044.78846153846,1562329,2-yrs,5200000,2760000,4332707,2299668,5887036,3124658,Starter,D,RB,24,France,Leipzig
Lucas Tousart,50000,2600000,26538.46153846154,1380000,41660.653846153844,2166354,22112.19230769231,1149834,56606.11538461538,2943518,30044.78846153846,1562329,4-yrs,10400000,5520000,8665415,4599336,11774072,6249315,Reserve,M,DM,24,France,Hertha Berlin
