,Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,Matches,weekly_gross_eur,annual_gross_eur,weekly_net_eur,annual_net_eur,weekly_gross_gbp,annual_gross_gbp,weekly_net_gbp,annual_net_gbp,weekly_gross_usd,annual_gross_usd,weekly_net_usd,annual_net_usd,length,total_gross_eur,total_net_eur,total_gross_gbp,total_net_gbp,total_gross_usd,total_net_usd,status,position,position_detail,age,country,club
220,276,Jesse Lingard,eng ENG,FW,Manchester Utd,29-094,1992.0,13,1,210,2.3,2,0,2,0,0,1,0,0.86,0.0,0.86,0.86,0.86,0.3,0.3,0.2,0.5,0.15,0.08,0.23,0.15,0.23,Matches,90013.0,4680676,49622.557692307695,2580373,75000.0,3900000,41346.15384615384,2150000,101905.73076923077,5299098,56178.78846153846,2921297,1-yr,4680676,2580373,3900000,2150000,5299098,2921297,Reserve,F,AM,29,England,Manchester United
221,278,Diego Llorente,es ESP,DF,Leeds United,28-215,1993.0,21,21,1710,19.0,2,0,2,0,0,6,0,0.11,0.0,0.11,0.11,0.11,0.8,0.8,0.1,0.9,0.04,0.0,0.05,0.04,0.05,Matches,26311.5,1368198,14540.557692307691,756109,21923.07692307692,1140000,12115.384615384615,630000,29787.82692307692,1548967,16461.69230769231,856008,3-yrs,4104593,2268328,3420000,1890000,4646901,2568024,Starter,D,CB,28,Spain,Leeds
222,279,Hugo Lloris,fr FRA,GK,Tottenham,35-083,1986.0,28,28,2520,28.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.02,0.02,0.0,0.02,Matches,120017.34615384616,6240902,66009.53846153847,3432496,100000.0,5200000,55000.0,2860000,135874.3076923077,7065464,74730.86538461539,3886005,3-yrs,18722705,10297488,15600000,8580000,21196391,11658015,Starter,K,GK,35,France,Tottenham
223,282,Ruben Loftus-Cheek,eng ENG,MF,Chelsea,26-055,1996.0,15,7,780,8.7,0,2,0,0,0,1,0,0.0,0.23,0.23,0.0,0.23,0.9,0.9,0.9,1.8,0.11,0.1,0.21,0.11,0.21,Matches,72010.40384615384,3744541,39698.03846153846,2064298,60000.0,3120000,33076.92307692308,1720000,81524.57692307692,4239278,44943.03846153846,2337038,3-yrs,11233623,6192895,9360000,5160000,12717834,7011114,Reserve,M,CM,26,England,Chelsea
224,283,Shane Long,ie IRL,FWMF,Southampton,35-056,1987.0,8,1,140,1.6,1,0,1,0,0,0,0,0.64,0.0,0.64,0.64,0.64,0.5,0.5,0.0,0.6,0.34,0.03,0.37,0.34,0.37,Matches,72010.40384615384,3744541,39698.03846153846,2064298,60000.0,3120000,33076.92307692308,1720000,81524.57692307692,4239278,44943.03846153846,2337038,1-yr,3744541,2064298,3120000,1720000,4239278,2337038,Reserve,F,CF,35,Ireland,Southampton
225,284,Sean Longstaff,eng ENG,MF,Newcastle Utd,24-140,1997.0,18,11,1100,12.2,1,1,1,0,0,1,0,0.08,0.08,0.16,0.08,0.16,1.1,1.1,0.4,1.5,0.09,0.03,0.12,0.09,0.12,Matches,1154.0192307692307,60009,692.4038461538462,36005,961.5384615384615,50000,576.9230769230769,30000,1306.4807692307693,67937,783.8846153846154,40762,1-yr,60009,36005,50000,30000,67937,40762,Reserve,M,CM,24,England,Newcastle
226,285,Ademola Lookman,eng ENG,FWMF,Leicester City,24-150,1997.0,19,12,1139,12.7,4,0,4,0,0,2,0,0.32,0.0,0.32,0.32,0.32,3.8,3.8,1.8,5.6,0.3,0.14,0.44,0.3,0.44,Matches,47083.730769230766,2448354,25849.884615384617,1344194,39230.769230769234,2040000,21538.46153846154,1120000,53304.53846153846,2771836,29265.23076923077,1521792,1-yr,2448354,1344194,2040000,1120000,2771836,1521792,Starter,F,LW,24,England,Leicester
227,286,Jonas Lössl,dk DEN,GK,Brentford,33-046,1989.0,2,2,180,2.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2077.230769230769,108016,1154.0192307692307,60009,1730.7692307692307,90000,961.5384615384615,50000,2351.673076923077,122287,1306.4807692307693,67937,1-yr,108016,60009,90000,50000,122287,67937,Reserve,K,GK,33,Denmark,Brentford
228,288,Matthew Lowton,eng ENG,DF,Burnley,32-283,1989.0,18,17,1515,16.8,1,2,1,0,0,2,0,0.06,0.12,0.18,0.06,0.18,0.5,0.5,1.2,1.8,0.03,0.07,0.1,0.03,0.1,Matches,30004.32692307692,1560225,16617.78846153846,864125,25000.0,1300000,13846.153846153846,720000,33968.57692307692,1766366,18813.365384615383,978295,2-yrs,3120451,1728250,2600000,1440000,3532732,1956590,Reserve,D,RB,32,England,Burnley
229,289,Douglas Luiz,br BRA,MF,Aston Villa,23-314,1998.0,24,23,1973,21.9,1,3,1,0,0,6,0,0.05,0.14,0.18,0.05,0.18,1.2,1.2,2.0,3.2,0.06,0.09,0.15,0.06,0.15,Matches,39236.44230769231,2040295,21695.44230769231,1128163,32692.30769230769,1700000,18076.92307692308,940000,44420.44230769231,2309863,24561.884615384617,1277218,2-yrs,4080590,2256326,3400000,1880000,4619726,2554437,Starter,M,DM,23,Brazil,Aston Villa
