Player,weekly_gross_eur,annual_gross_eur,weekly_net_eur,annual_net_eur,weekly_gross_gbp,annual_gross_gbp,weekly_net_gbp,annual_net_gbp,weekly_gross_usd,annual_gross_usd,weekly_net_usd,annual_net_usd,length,total_gross_eur,total_net_eur,total_gross_gbp,total_net_gbp,total_gross_usd,total_net_usd,status,position,position_detail,age,country,club
Aaron Wan-Bissaka,108015.61538461539,5616812,59316.269230769234,3084446,90000,4680000,49423.07692307692,2570000,122286.86538461539,6358917,67153.26923076923,3491970,3-yrs,16850435,9253337,14040000,7710000,19076752,10475909,Reserve,D,RB,24,England,Manchester United
Mason Mount,106169.19230769231,5520798,58393.057692307695,3036439,88461.53846153847,4600000,48653.846153846156,2530000,120196.5,6250218,66108.07692307692,3437620,3-yrs,16562393,9109316,13800000,7590000,18750653,10312859,Starter,F,AM,23,England,Chelsea
Nathaniel Clyne,96937.07692307692,5040728,53315.403846153844,2772401,80769.23076923077,4200000,44423.07692307692,2310000,109744.63461538461,5706721,60359.53846153846,3138696,1-yr,5040728,2772401,4200000,2310000,5706721,3138696,Reserve,D,RB,30,England,Crystal Palace
Jonny Evans,96013.86538461539,4992721,52853.78846153846,2748397,80000,4160000,44038.46153846154,2290000,108699.44230769231,5652371,59836.942307692305,3111521,2-yrs,9985443,5496794,8320000,4580000,11304742,6223043,Reserve,D,CB,34,Northern Ireland,Leicester
Eric Bailly,96013.86538461539,4992721,52853.78846153846,2748397,80000,4160000,44038.46153846154,2290000,108699.44230769231,5652371,59836.942307692305,3111521,3-yrs,14978164,8245191,12480000,6870000,16957113,9334564,Reserve,D,CB,27,Cote d&#39;Ivoire,Manchester United
João Cancelo,96013.86538461539,4992721,52853.78846153846,2748397,80000,4160000,44038.46153846154,2290000,108699.44230769231,5652371,59836.942307692305,3111521,6-yrs,29956328,16490383,24960000,13740000,33914225,18669129,Starter,D,RB,27,Portugal,Manchester City
Joelinton,96013.86538461539,4992721,52853.78846153846,2748397,80000,4160000,44038.46153846154,2290000,108699.44230769231,5652371,59836.942307692305,3111521,4-yrs,19970885,10993588,16640000,9160000,22609484,12446086,Starter,F,AM,25,Brazil,Newcastle
Chris Wood,96013.86538461539,4992721,52853.78846153846,2748397,80000,4160000,44038.46153846154,2290000,108699.44230769231,5652371,59836.942307692305,3111521,3-yrs,14978164,8245191,12480000,6870000,16957113,9334564,Starter,F,CF,30,New Zealand,Newcastle
Fábio Silva,96013.86538461539,4992721,52853.78846153846,2748397,80000,4160000,44038.46153846154,2290000,108699.44230769231,5652371,59836.942307692305,3111521,4-yrs,19970885,10993588,16640000,9160000,22609484,12446086,Reserve,F,CF,19,Portugal,Wolverhampton
Moussa Sissoko,96013.86538461539,4992721,52853.78846153846,2748397,80000,4160000,44038.46153846154,2290000,108699.44230769231,5652371,59836.942307692305,3111521,2-yrs,9985443,5496794,8320000,4580000,11304742,6223043,Starter,M,CM,32,France,Watford
Fabian Delph,96013.86538461539,4992721,52853.78846153846,2748397,80000,4160000,44038.46153846154,2290000,108699.44230769231,5652371,59836.942307692305,3111521,1-yr,4992721,2748397,4160000,2290000,5652371,3111521,Reserve,M,CM,32,England,Everton
Tyrone Mings,96013.86538461539,4992721,52853.78846153846,2748397,80000,4160000,44038.46153846154,2290000,108699.44230769231,5652371,59836.942307692305,3111521,3-yrs,14978164,8245191,12480000,6870000,16957113,9334564,Starter,D,CB,28,England,Aston Villa
Andreas Christensen,96013.86538461539,4992721,52853.78846153846,2748397,80000,4160000,44038.46153846154,2290000,108699.44230769231,5652371,59836.942307692305,3111521,1-yr,4992721,2748397,4160000,2290000,5652371,3111521,Reserve,D,CB,25,Denmark,Chelsea
Lucas Moura,96013.86538461539,4992721,52853.78846153846,2748397,80000,4160000,44038.46153846154,2290000,108699.44230769231,5652371,59836.942307692305,3111521,3-yrs,14978164,8245191,12480000,6870000,16957113,9334564,Starter,F,RW,29,Brazil,Tottenham
Joachim Andersen,95321.46153846153,4956716,52392.192307692305,2724394,79423.07692307692,4130000,43653.846153846156,2270000,107915.55769230769,5611609,59314.36538461538,3084347,5-yrs,24783581,13621968,20650000,11350000,28058043,15421733,Starter,D,CB,25,Denmark,Crystal Palace
Bertrand Traoré,93475.03846153847,4860702,51468.980769230766,2676387,77884.61538461539,4050000,42884.61538461538,2230000,105825.17307692308,5502909,58269.17307692308,3029997,3-yrs,14582107,8029160,12150000,6690000,16508727,9089991,Reserve,F,RW,26,Burkina Faso,Aston Villa
Ben Godfrey,92321.03846153847,4800694,50776.557692307695,2640381,76923.07692307692,4000000,42307.692307692305,2200000,104518.69230769231,5434972,57485.28846153846,2989235,4-yrs,19202774,10561526,16000000,8800000,21739888,11956938,Reserve,D,CB,24,England,Everton
