,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
91,Jack Cork,eng ENG,MF,Burnley,32-268,1989,9.8,205,273,75.1,3433,845,111,140,79.3,60,77,77.9,27,41,65.9,0,0.0,0.0,2,15,1,0,13,Matches
92,Maxwel Cornet,ci CIV,FWMF,Burnley,25-174,1996,12.2,162,249,65.1,2307,496,94,131,71.8,46,64,71.9,10,29,34.5,0,0.7,-0.7,7,6,7,2,15,Matches
93,Hélder Costa,ao ANG,MF,Leeds United,28-067,1994,0.2,4,4,100.0,65,0,3,3,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
94,Vladimír Coufal,cz CZE,DF,West Ham,29-210,1992,18.7,733,1087,67.4,12672,6277,331,400,82.8,325,446,72.9,63,188,33.5,3,2.1,+0.9,15,48,24,12,82,Matches
95,Philippe Coutinho,br BRA,MFFW,Aston Villa,29-281,1992,8.6,281,343,81.9,4866,1288,149,168,88.7,93,109,85.3,33,49,67.3,3,2.4,+0.6,16,37,6,1,31,Matches
96,Aaron Cresswell,eng ENG,DF,West Ham,32-095,1989,21.3,1143,1449,78.9,20713,9150,508,553,91.9,494,571,86.5,126,274,46.0,3,2.5,+0.5,30,91,19,7,125,Matches
97,Charlie Cresswell,eng ENG,DF,Leeds United,19-103,2002,1.6,72,96,75.0,1599,476,17,19,89.5,42,46,91.3,13,30,43.3,0,0.0,0.0,0,3,0,0,5,Matches
98,Cucho,co COL,FWMF,Watford,22-334,1999,11.3,228,353,64.6,4026,1446,114,148,77.0,72,105,68.6,34,68,50.0,2,1.9,+0.1,19,19,13,6,28,Matches
99,Marc Cucurella,es ESP,DF,Brighton,23-241,1998,25.3,1442,1767,81.6,24033,8452,738,812,90.9,560,651,86.0,116,213,54.5,1,2.3,-1.3,33,95,36,16,140,Matches
100,Luke Cundle,eng ENG,MF,Wolves,19-328,2002,0.9,27,32,84.4,406,99,15,15,100.0,11,14,78.6,0,1,0.0,0,0.2,-0.2,1,3,1,0,3,Matches
101,Patson Daka,zm ZAM,FW,Leicester City,23-162,1998,8.5,110,142,77.5,1562,280,69,83,83.1,33,42,78.6,4,5,80.0,3,1.4,+1.6,7,6,3,0,12,Matches
102,Stuart Dallas,nir NIR,DFMF,Leeds United,30-335,1991,28.9,1174,1472,79.8,20769,7451,571,629,90.8,447,524,85.3,131,253,51.8,1,2.2,-1.2,31,102,25,5,112,Matches
103,Diogo Dalot,pt POR,DF,Manchester Utd,23-002,1999,12.1,576,725,79.4,11519,4203,232,272,85.3,255,295,86.4,87,141,61.7,0,0.4,-0.4,10,46,16,5,69,Matches
104,Karl Darlow,eng ENG,GK,Newcastle Utd,31-163,1990,8.0,152,253,60.1,6707,4585,15,15,100.0,41,42,97.6,96,195,49.2,0,0.0,0.0,0,10,0,0,0,Matches
105,Josh Dasilva,eng ENG,MFFW,Brentford,23-148,1998,1.5,27,37,73.0,504,148,11,12,91.7,14,19,73.7,2,5,40.0,0,0.1,-0.1,1,4,1,0,4,Matches
106,Ben Davies,wls WAL,DF,Tottenham,28-330,1993,18.3,859,1017,84.5,15888,5436,325,357,91.0,463,513,90.3,63,114,55.3,1,0.5,+0.5,6,74,11,0,72,Matches
107,Tom Davies,eng ENG,MF,Everton,23-263,1998,1.8,46,59,78.0,730,174,21,22,95.5,19,23,82.6,3,6,50.0,0,0.0,0.0,0,2,1,0,7,Matches
108,Keinan Davis,eng ENG,FW,Aston Villa,24-035,1998,0.1,3,3,100.0,49,30,1,1,100.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,Matches
109,Craig Dawson,eng ENG,DF,West Ham,31-318,1990,22.9,720,888,81.1,16899,5229,192,213,90.1,346,389,88.9,176,268,65.7,1,0.5,+0.5,3,67,1,0,37,Matches
110,Kevin De Bruyne,be BEL,MF,Manchester City,30-265,1991,17.1,834,1101,75.7,15686,4051,368,428,86.0,346,431,80.3,107,198,54.0,3,5.5,-2.5,57,83,42,5,106,Matches
111,Troy Deeney,eng ENG,FW,Watford,33-264,1988,0.3,3,6,50.0,38,16,2,4,50.0,1,1,100.0,0,0,,0,0.1,-0.1,1,1,0,0,1,Matches
112,Liam Delap,eng ENG,FW,Manchester City,19-040,2003,0.1,1,1,100.0,15,5,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
113,Fabian Delph,eng ENG,MF,Everton,32-119,1989,2.8,106,125,84.8,2250,584,50,54,92.6,33,39,84.6,23,29,79.3,0,0.0,0.0,1,12,1,0,13,Matches
114,Leander Dendoncker,be BEL,MFFW,Wolves,26-339,1995,15.7,530,607,87.3,9416,1816,238,270,88.1,220,244,90.2,59,68,86.8,2,0.9,+1.1,10,28,4,0,29,Matches
115,Emmanuel Dennis,ng NGA,FWMF,Watford,24-125,1997,24.2,351,530,66.2,5066,1392,216,284,76.1,96,143,67.1,23,44,52.3,5,2.5,+2.5,27,18,17,5,45,Matches
116,Kiernan Dewsbury Hall,eng ENG,MF,Leicester City,23-195,1998,12.8,527,680,77.5,8435,2085,281,322,87.3,191,242,78.9,42,85,49.4,2,1.6,+0.4,20,49,14,2,44,Matches
117,Ibrahima Diallo,fr FRA,MF,Southampton,23-012,1999,8.4,286,342,83.6,5088,1119,137,165,83.0,119,131,90.8,24,34,70.6,2,0.9,+1.1,14,34,1,0,23,Matches
118,Raphael Dias Belloli,br BRA,MFFW,Leeds United,25-096,1996,25.0,627,982,63.8,11666,4840,293,354,82.8,218,304,71.7,91,247,36.8,3,6.2,-3.2,57,76,40,8,140,Matches
119,Rúben Dias,pt POR,DF,Manchester City,24-310,1997,23.7,1845,1956,94.3,39598,10190,509,533,95.5,1032,1063,97.1,301,347,86.7,3,2.1,+0.9,11,157,4,0,93,Matches
120,Luis Díaz,co COL,FW,Liverpool,25-066,1997,5.5,206,235,87.7,3021,618,132,141,93.6,59,73,80.8,11,12,91.7,0,1.0,-1.0,9,11,12,0,23,Matches
121,Eric Dier,eng ENG,DF,Tottenham,28-064,1994,24.1,1291,1464,88.2,28853,9835,337,359,93.9,719,765,94.0,231,325,71.1,0,1.3,-1.3,6,75,7,0,71,Matches
122,Lucas Digne,fr FRA,DF,Aston Villa,28-243,1993,7.1,300,409,73.3,4848,2068,169,186,90.9,96,133,72.2,28,66,42.4,1,0.6,+0.4,11,13,10,5,31,Matches
123,Lucas Digne,fr FRA,DF,Everton,28-243,1993,13.0,487,678,71.8,8548,4277,219,262,83.6,211,268,78.7,42,104,40.4,0,1.7,-1.7,20,29,12,4,49,Matches
124,Virgil van Dijk,nl NED,DF,Liverpool,30-255,1991,27.0,1773,1956,90.6,40341,12907,451,487,92.6,963,1004,95.9,349,448,77.9,1,0.3,+0.7,4,132,3,0,83,Matches
125,Issa Diop,fr FRA,DF,West Ham,25-070,1997,9.0,309,359,86.1,6307,2121,98,104,94.2,168,184,91.3,42,70,60.0,1,0.1,+0.9,1,13,0,0,13,Matches
126,Moussa Djenepo,ml MLI,MF,Southampton,23-278,1998,4.9,105,143,73.4,1624,689,64,75,85.3,29,41,70.7,10,17,58.8,0,0.2,-0.2,6,10,8,2,22,Matches
127,Lewis Dobbin,eng ENG,FWMF,Everton,19-076,2003,0.4,4,7,57.1,106,24,2,3,66.7,0,1,0.0,2,3,66.7,0,0.0,0.0,0,1,0,0,1,Matches
128,Matt Doherty,ie IRL,DF,Tottenham,30-063,1992,7.5,362,449,80.6,6011,1648,186,211,88.2,143,170,84.1,27,48,56.3,4,1.7,+2.3,13,18,9,3,32,Matches
129,Gabriel Dos Santos,br BRA,DF,Arsenal,24-091,1997,24.4,1251,1397,89.5,26162,6807,359,382,94.0,701,732,95.8,176,258,68.2,0,0.7,-0.7,4,63,1,0,43,Matches
130,Abdoulaye Doucouré,fr FRA,MF,Everton,29-078,1993,19.7,629,787,79.9,10626,2365,302,353,85.6,252,301,83.7,54,81,66.7,4,1.4,+2.6,14,58,14,1,65,Matches
131,Kieran Dowell,eng ENG,FWMF,Norwich City,24-161,1997,4.0,79,123,64.2,1312,290,48,60,80.0,21,30,70.0,8,25,32.0,0,0.6,-0.6,6,5,6,3,6,Matches
132,Cody Drameh,eng ENG,DF,Leeds United,20-102,2001,1.4,60,77,77.9,927,398,39,44,88.6,18,23,78.3,3,4,75.0,0,0.0,0.0,1,3,2,1,6,Matches
133,Martin Dúbravka,sk SVK,GK,Newcastle Utd,33-064,1989,17.0,359,550,65.3,14419,10097,35,35,100.0,124,127,97.6,197,385,51.2,0,0.0,0.0,0,11,0,0,0,Matches
