Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,Matches
371,Marcelo,br BRA,DF,Lyon,34-304,1987,2,2,180,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.00,0.03,0.03,0.03,Matches
372,Guillermo Maripán,cl CHI,DF,Monaco,27-318,1994,20,19,1634,18.2,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.5,1.1,0.04,0.03,0.06,0.04,0.06,Matches
373,Marquinhos,br BRA,DF,Paris S-G,27-310,1994,23,23,2070,23.0,3,0,3,0,0,3,0,0.13,0.00,0.13,0.13,0.13,2.4,2.4,0.3,2.7,0.11,0.01,0.12,0.11,0.12,Matches
374,Jonas Martin,fr FRA,MF,Rennes,31-345,1990,19,19,1590,17.7,1,1,1,0,0,6,0,0.06,0.06,0.11,0.06,0.11,0.8,0.8,1.3,2.1,0.05,0.07,0.12,0.05,0.12,Matches
375,Gelson Martins,pt POR,FWMF,Monaco,26-313,1995,27,21,1716,19.1,4,2,4,0,0,1,0,0.21,0.10,0.31,0.21,0.31,4.0,4.0,2.3,6.3,0.21,0.12,0.33,0.21,0.33,Matches
376,Pape Matar Sarr,sn SEN,MF,Metz,19-187,2002,23,15,1480,16.4,1,1,1,0,0,6,0,0.06,0.06,0.12,0.06,0.12,1.0,1.0,0.6,1.6,0.06,0.04,0.10,0.06,0.10,Matches
377,Eliot Matazo,be BEL,MF,Monaco,20-033,2002,15,7,705,7.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.02,0.03,0.01,0.03,Matches
378,Chrislain Matsima,fr FRA,DF,Monaco,19-309,2002,6,1,130,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.07,0.00,0.07,0.07,0.07,Matches
379,Azor Matusiwa,nl NED,MF,Reims,23-326,1998,20,20,1692,18.8,1,1,1,0,0,5,0,0.05,0.05,0.11,0.05,0.11,0.3,0.3,0.7,0.9,0.01,0.04,0.05,0.01,0.05,Matches
380,Stephy Mavididi,eng ENG,FWMF,Montpellier,23-293,1998,21,20,1693,18.8,8,3,8,0,0,3,0,0.43,0.16,0.58,0.43,0.58,5.3,5.3,2.8,8.1,0.28,0.15,0.43,0.28,0.43,Matches
381,Derek Mazou-Sacko,fr FRA,FW,Troyes,17-165,2004,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
382,Kylian Mbappé,fr FRA,FW,Paris S-G,23-090,1998,25,24,2124,23.6,15,11,13,2,2,7,0,0.64,0.47,1.10,0.55,1.02,15.5,13.9,7.0,21.0,0.66,0.30,0.95,0.59,0.89,Matches
383,Amadou Mbengue,sn SEN,DFMF,Metz,20-074,2002,8,4,488,5.4,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
384,Jason Mbock,fr FRA,FW,Angers,22-139,1999,1,0,17,0.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
385,Moustapha Mbow,sn SEN,DF,Reims,22-012,2000,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
386,Nathanael Mbuku,fr FRA,FWMF,Reims,20-004,2002,25,16,1206,13.4,2,1,2,0,0,1,0,0.15,0.07,0.22,0.15,0.22,2.7,2.7,0.7,3.4,0.20,0.05,0.25,0.20,0.25,Matches
