,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
393,Arial Mendy,sn SEN,FWDF,Clermont Foot,27-133,1994,5.2,167,226,73.9,2698,982,96,113,85.0,54,75,72.0,15,27,55.6,0,1.0,-1.0,7,7,5,3,10,Matches
394,Batista Mendy,fr FRA,MFDF,Angers,22-067,2000,20.0,871,993,87.7,17766,4681,280,310,90.3,444,480,92.5,132,179,73.7,0,0.4,-0.4,4,60,2,0,63,Matches
395,Gideon Mensah,gh GHA,DF,Bordeaux,23-245,1998,9.2,488,574,85.0,8603,2722,228,251,90.8,214,243,88.1,38,58,65.5,1,0.8,+0.2,10,29,13,10,33,Matches
396,Quentin Merlin,fr FRA,DF,Nantes,19-308,2002,13.9,665,877,75.8,12141,5697,318,360,88.3,250,306,81.7,89,176,50.6,1,1.5,-0.5,19,78,15,8,92,Matches
397,Lionel Messi,ar ARG,FWMF,Paris S-G,34-269,1987,15.9,932,1111,83.9,16071,5405,476,537,88.6,326,369,88.3,106,146,72.6,10,6.5,+3.5,48,132,64,4,182,Matches
398,Mexer,mz MOZ,DF,Bordeaux,33-193,1988,13.6,580,684,84.8,13879,4073,135,143,94.4,297,324,91.7,142,203,70.0,0,0.0,0.0,0,26,1,0,19,Matches
399,Edouard Michut,fr FRA,MF,Paris S-G,19-016,2003,0.3,19,21,90.5,277,79,13,13,100.0,4,4,100.0,2,2,100.0,1,0.1,+0.9,1,0,0,0,0,Matches
400,Georges Mikautadze,ge GEO,FW,Metz,21-140,2000,0.0,0,1,0.0,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
401,William Mikelbrencis,fr FRA,DF,Metz,18-023,2004,1.7,63,84,75.0,1027,478,37,43,86.0,22,29,75.9,3,10,30.0,0,0.0,0.0,0,5,0,0,7,Matches
402,Arkadiusz Milik,pl POL,FW,Marseille,28-020,1994,11.8,232,283,82.0,3471,396,124,142,87.3,70,81,86.4,16,19,84.2,1,1.9,-0.9,13,10,9,0,14,Matches
403,Terem Moffi,ng NGA,FW,Lorient,22-299,1999,22.8,347,460,75.4,5219,946,209,251,83.3,85,121,70.2,32,48,66.7,3,2.9,+0.1,23,24,13,4,28,Matches
404,Dion Moise Sahi,ci CIV,FWMF,Strasbourg,20-090,2001,1.1,34,36,94.4,519,118,18,20,90.0,14,14,100.0,1,1,100.0,0,0.1,-0.1,1,3,1,1,4,Matches
405,Florent Mollet,fr FRA,FWMF,Montpellier,30-121,1991,22.0,718,897,80.0,12052,3114,369,410,90.0,244,290,84.1,77,139,55.4,2,2.1,-0.1,22,48,19,6,65,Matches
406,Thomas Monconduit,fr FRA,MF,Lorient,31-038,1991,18.7,743,965,77.0,15473,4961,276,338,81.7,312,380,82.1,139,212,65.6,2,2.7,-0.7,23,91,11,2,107,Matches
407,Jérémy Morel,mg MAD,DF,Lorient,37-352,1984,3.6,120,146,82.2,2616,887,30,32,93.8,66,75,88.0,23,38,60.5,0,0.1,-0.1,1,5,0,0,6,Matches
408,Lebo Mothiba,za RSA,FW,Strasbourg,26-051,1996,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
409,Lebo Mothiba,za RSA,FW,Troyes,26-051,1996,3.4,65,77,84.4,779,93,42,45,93.3,13,17,76.5,3,6,50.0,0,0.6,-0.6,5,2,1,1,0,Matches
