name,weekly_gross_eur,annual_gross_eur,weekly_net_eur,annual_net_eur,weekly_gross_gbp,annual_gross_gbp,weekly_net_gbp,annual_net_gbp,weekly_gross_usd,annual_gross_usd,weekly_net_usd,annual_net_usd,length,total_gross_eur,total_net_eur,total_gross_gbp,total_net_gbp,total_gross_usd,total_net_usd,status,position,position_detail,age,country,club
Nikola Milenkovic,89038.46153846153,4630000,48076.92307692308,2500000,74188,3857776,40058.307692307695,2083032,100802.42307692308,5241726,54428.96153846154,2830306,2-yrs,9260000,5000000,7715552,4166065,10483452,5660612,Reserve,D,CB,24,Serbia,Fiorentina
Tiemoué Bakayoko,89038.46153846153,4630000,48076.92307692308,2500000,74188,3857776,40058.307692307695,2083032,100802.42307692308,5241726,54428.96153846154,2830306,2-yrs,9260000,5000000,7715552,4166065,10483452,5660612,Reserve,M,DM,27,France,AC Milan
Robin Gosens,89038.46153846153,4630000,48076.92307692308,2500000,74188,3857776,40058.307692307695,2083032,100802.42307692308,5241726,54428.96153846154,2830306,2-yrs,9260000,5000000,7715552,4166065,10483452,5660612,Reserve,M,LM,27,Germany,Inter Milan
Matías Vecino,89038.46153846153,4630000,48076.92307692308,2500000,74188,3857776,40058.307692307695,2083032,100802.42307692308,5241726,54428.96153846154,2830306,1-yr,4630000,2500000,3857776,2083032,5241726,2830306,Reserve,M,CM,30,Uruguay,Inter Milan
Henrikh Mkhitaryan,86346.15384615384,4490000,67307.69230769231,3500000,71944.73076923077,3741126,56081.63461538462,2916245,97754.40384615384,5083229,76200.53846153847,3962428,1-yr,4490000,3500000,3741126,2916245,5083229,3962428,Starter,F,AM,33,Armenia,Roma
Álvaro Odriozola,86346.15384615384,4490000,67307.69230769231,3500000,71944.73076923077,3741126,56081.63461538462,2916245,97754.40384615384,5083229,76200.53846153847,3962428,1-yr,4490000,3500000,3741126,2916245,5083229,3962428,Starter,D,RB,26,Spain,Fiorentina
Olivier Giroud,86346.15384615384,4490000,67307.69230769231,3500000,71944.73076923077,3741126,56081.63461538462,2916245,97754.40384615384,5083229,76200.53846153847,3962428,2-yrs,8980000,7000000,7482252,5832491,10166458,7924856,Reserve,F,CF,35,France,AC Milan
Ante Rebic,86346.15384615384,4490000,67307.69230769231,3500000,71944.73076923077,3741126,56081.63461538462,2916245,97754.40384615384,5083229,76200.53846153847,3962428,4-yrs,17960000,14000000,14964505,11664982,20332917,15849712,Reserve,F,LW,28,Croatia,AC Milan
Faouzi Ghoulam,85384.61538461539,4440000,46153.846153846156,2400000,71143.57692307692,3699466,38455.980769230766,1999711,96665.82692307692,5026623,52251.807692307695,2717094,1-yr,4440000,2400000,3699466,1999711,5026623,2717094,Reserve,D,LB,31,Algeria,Napoli
Giovanni Di Lorenzo,81923.07692307692,4260000,44230.769230769234,2300000,68259.36538461539,3549487,36853.653846153844,1916390,92746.94230769231,4822841,50074.63461538462,2603881,5-yrs,21300000,11500000,17747436,9581949,24114205,13019406,Starter,D,RB,28,Italy,Napoli
Mattia Perin,81923.07692307692,4260000,44230.769230769234,2300000,68259.36538461539,3549487,36853.653846153844,1916390,92746.94230769231,4822841,50074.63461538462,2603881,1-yr,4260000,2300000,3549487,1916390,4822841,2603881,Reserve,K,GK,29,Italy,Juventus
