Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
365,Thomas Partey,gh GHA,MF,Arsenal,28-280,1993,21.7,55,41,25,23,7,18,41,43.9,23,280,102,36.4,102,145,33,28,5,0,23,31,86,32,1,Matches
366,João Pedro,br BRA,FWMF,Watford,20-175,2001,11.3,11,9,4,6,1,3,12,25.0,9,202,59,29.2,39,105,58,13,1,1,12,12,23,14,0,Matches
367,Nicolas Pépé,ci CIV,FWMF,Arsenal,26-295,1995,6.7,11,8,5,4,2,2,9,22.2,7,109,30,27.5,33,41,35,12,0,0,12,9,20,3,1,Matches
368,Ricardo Pereira,pt POR,DF,Leicester City,28-165,1993,9.8,41,22,22,13,6,19,37,51.4,18,175,56,32.0,68,75,32,24,3,0,21,22,63,29,0,Matches
369,Ayoze Pérez,es ESP,FWMF,Leicester City,28-240,1993,2.4,3,2,0,3,0,0,3,0.0,3,56,15,26.8,11,33,12,4,0,0,4,2,5,1,0,Matches
370,Sonny Perkins,eng ENG,FW,West Ham,18-038,2004,0.0,0,0,0,0,0,0,0,,0,1,1,100.0,0,1,0,0,0,0,0,0,0,0,0,Matches
371,Romain Perraud,fr FRA,DF,Southampton,24-179,1997,13.4,26,15,12,9,5,11,19,57.9,8,230,59,25.7,96,85,49,21,2,1,19,16,42,34,0,Matches
372,Kalvin Phillips,eng ENG,MF,Leeds United,26-108,1995,11.1,37,27,18,15,4,8,28,28.6,20,310,107,34.5,102,147,61,27,7,0,20,23,60,19,1,Matches
373,Jaden Philogene Bidace,eng ENG,FW,Aston Villa,19-306,2002,0.1,0,0,0,0,0,0,0,,0,2,0,0.0,1,1,0,0,0,0,0,0,0,0,0,Matches
374,Jordan Pickford,eng ENG,GK,Everton,28-013,1994,25.0,1,0,1,0,0,0,0,,0,4,0,0.0,4,0,0,1,0,0,1,0,1,1,0,Matches
375,Erik Pieters,nl NED,DF,Burnley,33-225,1988,7.9,27,15,22,5,0,15,32,46.9,17,135,39,28.9,73,51,11,25,7,0,18,22,49,27,1,Matches
376,Ethan Pinnock,jm JAM,DF,Brentford,28-295,1993,26.7,57,36,41,14,2,18,32,56.3,14,238,87,36.6,149,74,15,43,11,0,32,49,106,169,0,Matches
377,Daniel Podence,pt POR,FWMF,Wolves,26-150,1995,15.6,16,8,8,5,3,7,18,38.9,11,226,63,27.9,45,89,92,12,2,0,10,6,22,0,0,Matches
378,Paul Pogba,fr FRA,MFFW,Manchester Utd,29-005,1993,12.6,19,12,9,8,2,5,18,27.8,13,233,69,29.6,50,115,68,14,1,0,13,17,36,23,0,Matches
379,Nick Pope,eng ENG,GK,Burnley,29-335,1992,25.0,0,0,0,0,0,0,1,0.0,1,0,0,,0,0,0,0,0,0,0,0,0,4,1,Matches
380,Teemu Pukki,fi FIN,FW,Norwich City,31-356,1990,27.2,18,9,1,11,6,2,11,18.2,9,545,140,25.7,34,233,278,16,1,0,15,16,34,4,0,Matches
381,Christian Pulisic,us USA,MFFW,Chelsea,23-183,1998,10.5,11,4,3,8,0,2,11,18.2,9,210,50,23.8,38,95,77,14,0,0,14,6,17,9,0,Matches
382,Przemysław Płacheta,pl POL,FWMF,Norwich City,23-362,1998,4.9,5,3,5,0,0,0,4,0.0,4,97,22,22.7,29,46,22,7,1,0,6,8,13,5,0,Matches
383,Jesuran Rak Sakyi,eng ENG,MF,Crystal Palace,19-166,2002,0.2,0,0,0,0,0,0,0,,0,5,1,20.0,1,3,1,0,0,0,0,0,0,0,0,Matches
384,Aaron Ramsdale,eng ENG,GK,Arsenal,23-310,1998,24.0,0,0,0,0,0,0,3,0.0,3,2,0,0.0,2,0,0,0,0,0,0,0,0,1,0,Matches
385,Jacob Ramsey,eng ENG,MF,Aston Villa,20-296,2001,21.4,53,33,28,23,2,18,52,34.6,34,420,120,28.6,144,198,78,34,7,0,27,27,80,21,0,Matches
386,Marcus Rashford,eng ENG,FWMF,Manchester Utd,24-140,1997,10.4,6,4,2,3,1,3,11,27.3,8,180,58,32.2,27,83,70,8,1,0,7,8,14,4,1,Matches
387,Milot Rashica,xk KVX,FWMF,Norwich City,25-265,1996,18.0,24,14,8,12,4,14,31,45.2,17,247,65,26.3,84,83,80,20,2,0,18,25,49,13,0,Matches
388,David Raya,es ESP,GK,Brentford,26-186,1995,15.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,Matches
389,Nathan Redmond,eng ENG,MFFW,Southampton,28-014,1994,15.1,13,7,4,6,3,4,19,21.1,15,268,70,26.1,64,105,99,28,0,0,28,18,31,13,0,Matches
390,Sergio Reguilón,es ESP,DF,Tottenham,25-094,1996,18.5,40,24,17,18,5,17,32,53.1,15,270,75,27.8,104,119,47,29,6,0,23,41,81,40,0,Matches
391,Declan Rice,eng ENG,MF,West Ham,23-065,1999,27.0,62,44,34,24,4,22,45,48.9,23,372,123,33.1,163,182,27,48,20,1,28,83,145,33,1,Matches
392,Taylor Richards,eng ENG,MFFW,Brighton,21-106,2000,0.3,0,0,0,0,0,0,2,0.0,2,10,5,50.0,5,5,0,0,0,0,0,0,0,0,0,Matches
393,Richarlison,br BRA,FWMF,Everton,24-314,1997,18.2,26,17,5,13,8,7,14,50.0,7,374,96,25.7,40,153,181,28,3,0,25,13,39,19,0,Matches
394,Jaïro Riedewald,nl NED,MF,Crystal Palace,25-192,1996,1.3,2,2,0,1,1,2,4,50.0,2,11,3,27.3,7,2,2,4,0,0,4,0,2,2,0,Matches
395,Matt Ritchie,sct SCO,DF,Newcastle Utd,32-191,1989,14.6,22,7,11,8,3,13,30,43.3,17,152,46,30.3,76,54,22,28,2,0,26,29,51,25,0,Matches
396,Connor Roberts,wls WAL,DF,Burnley,26-178,1995,10.2,9,7,4,3,2,3,6,50.0,3,78,28,35.9,35,35,8,32,5,0,27,18,27,38,0,Matches
397,Tyler Roberts,wls WAL,MFFW,Leeds United,23-067,1999,11.0,17,7,7,6,4,9,15,60.0,6,169,44,26.0,24,85,60,10,1,0,9,7,24,8,0,Matches
398,Andrew Robertson,sct SCO,DF,Liverpool,28-009,1994,21.5,25,10,10,11,4,9,25,36.0,16,222,55,24.8,64,93,65,34,3,1,31,39,64,54,0,Matches
399,Joe Rodon,wls WAL,DF,Tottenham,24-149,1997,0.9,0,0,0,0,0,0,0,,0,7,3,42.9,5,2,0,3,2,0,1,2,2,8,0,Matches
400,Rodri,es ESP,MF,Manchester City,25-271,1996,23.4,54,40,18,27,9,25,51,49.0,26,345,127,36.8,90,184,71,37,6,1,31,32,86,41,0,Matches
401,Rodrigo,es ESP,MFFW,Leeds United,31-014,1991,18.1,22,17,4,10,8,6,17,35.3,11,276,83,30.1,39,130,107,11,1,0,10,13,35,20,0,Matches
402,Jay Rodriguez,eng ENG,FW,Burnley,32-234,1989,10.5,15,5,5,6,4,3,11,27.3,8,223,46,20.6,43,78,102,15,2,0,13,4,19,7,0,Matches
403,Mads Roerslev,dk DEN,DF,Brentford,22-269,1999,10.2,20,7,19,0,1,12,29,41.4,17,139,32,23.0,93,30,16,27,6,0,21,19,39,23,0,Matches
404,Cristian Romero,ar ARG,DF,Tottenham,23-327,1998,13.5,44,28,24,19,1,14,29,48.3,15,196,68,34.7,126,59,11,32,16,0,16,39,83,50,0,Matches
