,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1888,Alfonso Pedraza,es ESP,DFFW,Villarreal,es La Liga,22,1996,23.3,65,41,40,18,7,31,86,36.0,55,528,129,24.4,238,201,89,57,8,0,49,20,85,51,0,Matches
1889,Pedro,es ESP,FW,Chelsea,eng Premier League,31,1987,19.8,24,16,12,8,4,3,25,12.0,22,267,74,27.7,58,129,80,21,2,1,19,19,43,7,0,Matches
1890,João Pedro,br BRA,FWMF,Cagliari,it Serie A,26,1992,28.4,19,13,2,10,7,3,18,16.7,15,356,77,21.6,47,144,165,30,8,0,22,5,24,14,0,Matches
1891,Pedrosa,es ESP,DF,Espanyol,es La Liga,20,1998,8.5,17,12,9,5,3,8,22,36.4,14,133,28,21.1,74,42,17,17,4,0,13,9,26,28,0,Matches
1892,Stef Peeters,be BEL,MF,Caen,fr Ligue 1,26,1992,4.5,9,7,5,3,1,3,14,21.4,11,117,18,15.4,44,68,5,5,0,0,5,5,14,2,0,Matches
1893,Jordan Pefok,us USA,FW,Rennes,fr Ligue 1,22,1996,6.8,9,6,0,5,4,2,4,50.0,2,172,35,20.3,11,106,55,10,2,0,8,1,10,5,0,Matches
1894,Gianluca Pegolo,it ITA,GK,Sassuolo,it Serie A,37,1981,2.3,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
1895,Peter Pekarík,sk SVK,DF,Hertha BSC,de Bundesliga,31,1986,2.4,3,2,0,3,0,1,2,50.0,1,46,15,32.6,24,17,5,2,1,0,1,0,3,5,0,Matches
1896,Pelé,gw GNB,MF,Monaco,fr Ligue 1,26,1991,5.2,9,4,3,6,0,1,7,14.3,6,121,20,16.5,39,71,11,8,2,1,6,4,13,9,0,Matches
1897,Yohann Pelé,fr FRA,GK,Marseille,fr Ligue 1,35,1982,7.6,0,0,0,0,0,0,2,0.0,2,1,1,100.0,1,0,0,0,0,0,0,0,0,0,0,Matches
1898,Maxime Pélican,fr FRA,FW,Nice,fr Ligue 1,20,1998,1.0,0,0,0,0,0,0,0,,0,25,9,36.0,5,16,4,1,0,0,1,0,0,0,0,Matches
1899,Pietro Pellegri,it ITA,FWMF,Monaco,fr Ligue 1,17,2001,0.9,1,1,0,0,1,0,0,,0,9,2,22.2,0,5,4,1,0,0,1,1,2,0,0,Matches
1900,Lorenzo Pellegrini,it ITA,MF,Roma,it Serie A,22,1996,20.2,37,28,15,17,5,18,48,37.5,30,511,125,24.5,108,283,120,25,3,0,22,14,51,24,0,Matches
1901,Luca Pellegrini,it ITA,DF,Cagliari,it Serie A,19,1999,10.4,21,16,13,6,2,14,26,53.8,12,185,54,29.2,100,53,32,20,2,0,18,15,36,23,0,Matches
1902,Luca Pellegrini,it ITA,DFFW,Roma,it Serie A,19,1999,1.8,2,2,1,1,0,0,1,0.0,1,22,4,18.2,12,7,3,3,1,0,2,1,3,2,0,Matches
1903,Théo Pellenard,fr FRA,DF,Angers,fr Ligue 1,24,1994,5.5,12,8,6,3,3,6,15,40.0,9,90,23,25.6,42,39,9,8,2,0,6,6,18,21,0,Matches
1904,Sergio Pellissier,it ITA,FW,Chievo,it Serie A,39,1979,10.6,4,2,2,0,2,2,7,28.6,5,155,37,23.9,10,71,74,8,1,0,7,1,5,7,0,Matches
1905,Andy Pelmard,fr FRA,DF,Nice,fr Ligue 1,18,2000,3.1,6,3,3,3,0,2,3,66.7,1,28,8,28.6,16,12,0,4,0,0,4,1,7,6,0,Matches
1906,Lee Peltier,eng ENG,DF,Cardiff City,eng Premier League,31,1986,17.2,39,20,23,14,2,10,23,43.5,13,272,76,27.9,162,95,15,31,12,1,19,11,50,55,0,Matches
1907,Federico Peluso,it ITA,DF,Sassuolo,it Serie A,34,1984,15.1,24,14,17,5,2,9,13,69.2,4,119,40,33.6,87,30,2,17,3,0,14,18,42,66,1,Matches
1908,Rubén Peña,es ESP,DF,Eibar,es La Liga,27,1991,29.7,73,46,30,31,12,27,69,39.1,42,484,174,36.0,197,180,107,61,8,0,53,32,105,57,0,Matches
1909,Nicolas Pépé,ci CIV,FWMF,Lille,fr Ligue 1,23,1995,36.9,27,17,5,12,10,4,38,10.5,34,585,141,24.1,99,318,168,37,1,0,36,10,37,6,1,Matches
1910,Pepín,gq EQG,MF,Parma,it Serie A,21,1996,0.9,3,0,3,0,0,1,4,25.0,3,49,8,16.3,21,23,5,0,0,0,0,2,5,1,0,Matches
1911,Andreas Pereira,br BRA,MF,Manchester Utd,eng Premier League,22,1996,6.7,11,6,7,3,1,4,14,28.6,10,164,40,24.4,47,93,24,11,2,0,9,12,23,7,0,Matches
1912,Matheus Pereira,pt POR,MFFW,Nürnberg,de Bundesliga,22,1996,13.7,14,10,8,5,1,6,14,42.9,8,274,59,21.5,70,160,44,12,3,0,9,12,26,10,0,Matches
1913,Pedro Pereira,pt POR,DFMF,Genoa,it Serie A,20,1998,15.4,29,20,18,5,6,15,25,60.0,10,258,64,24.8,122,88,48,25,3,0,22,11,40,53,1,Matches
1914,Ricardo Pereira,pt POR,DFFW,Leicester City,eng Premier League,24,1993,34.7,125,68,76,35,14,42,101,41.6,59,678,236,34.8,329,247,102,95,6,0,89,69,194,104,2,Matches
1915,Roberto Pereyra,ar ARG,MF,Watford,eng Premier League,27,1991,31.3,21,16,9,8,4,5,31,16.1,26,400,126,31.5,118,153,129,46,0,0,46,36,57,21,0,Matches
1916,Ayoze Pérez,es ESP,MFFW,Newcastle Utd,eng Premier League,25,1993,32.4,52,35,24,23,5,14,61,23.0,47,840,184,21.9,218,422,200,77,10,0,67,40,92,33,1,Matches
1917,Carles Pérez,es ESP,FW,Barcelona,es La Liga,20,1998,0.2,0,0,0,0,0,0,0,,0,4,0,0.0,0,4,0,1,0,0,1,0,0,0,0,Matches
1918,Hernán Pérez,py PAR,FWMF,Espanyol,es La Liga,29,1989,8.8,20,17,10,7,3,7,33,21.2,26,162,29,17.9,58,71,33,12,1,0,11,6,26,10,0,Matches
1919,Lucas Pérez,es ESP,FW,West Ham,eng Premier League,29,1988,5.3,6,4,3,2,1,1,1,100.0,0,99,25,25.3,13,53,33,3,1,0,2,3,9,2,0,Matches
1920,Rubén Pérez,es ESP,MF,Leganés,es La Liga,29,1989,27.5,76,50,36,37,3,27,89,30.3,62,526,139,26.4,195,291,40,56,8,0,48,33,109,45,1,Matches
1921,Stipe Perica,hr CRO,FW,Frosinone,it Serie A,23,1995,5.3,2,1,0,2,0,0,4,0.0,4,88,17,19.3,15,33,40,4,0,0,4,0,2,4,1,Matches
1922,Mattia Perin,it ITA,GK,Juventus,it Serie A,25,1992,9.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,Matches
1923,Ivan Perišić,hr CRO,FWMF,Inter,it Serie A,29,1989,30.0,33,19,6,16,11,15,60,25.0,45,611,153,25.0,101,279,231,53,5,0,48,20,53,44,0,Matches
1924,Diego Perotti,ar ARG,FWMF,Roma,it Serie A,30,1988,7.4,13,7,6,4,3,4,19,21.1,15,144,40,27.8,36,68,40,7,0,0,7,5,18,3,0,Matches
1925,Loïc Perrin,fr FRA,DF,Saint-Étienne,fr Ligue 1,32,1985,30.0,56,31,37,16,3,22,42,52.4,20,256,81,31.6,182,65,9,48,25,1,23,28,84,141,3,Matches
1926,Pavao Pervan,at AUT,GK,Wolfsburg,de Bundesliga,30,1987,8.5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
1927,Matteo Pessina,it ITA,MF,Atalanta,it Serie A,21,1997,2.6,3,2,1,2,0,0,2,0.0,2,56,11,19.6,17,33,6,2,0,0,2,1,4,7,0,Matches
1928,Andrea Petagna,it ITA,FW,SPAL,it Serie A,23,1995,33.7,17,10,4,8,5,5,14,35.7,9,318,69,21.7,15,151,152,28,13,0,15,5,22,19,0,Matches
1929,Nils Petersen,de GER,FW,Freiburg,de Bundesliga,29,1988,21.4,23,15,8,13,2,3,20,15.0,17,677,129,19.1,57,329,291,30,3,0,27,6,29,28,0,Matches
1930,Ondřej Petrák,cz CZE,MF,Nürnberg,de Bundesliga,26,1992,18.0,35,25,15,19,1,9,19,47.4,10,232,54,23.3,114,111,7,27,7,0,20,25,60,28,0,Matches
1931,Germán Pezzella,ar ARG,DF,Fiorentina,it Serie A,27,1991,31.7,64,49,46,17,1,31,59,52.5,28,246,78,31.7,162,77,7,56,31,0,25,36,100,174,1,Matches
1932,Giuseppe Pezzella,it ITA,DFMF,Udinese,it Serie A,20,1997,2.0,4,1,2,2,0,3,9,33.3,6,35,9,25.7,19,14,2,5,1,0,4,2,6,5,0,Matches
1933,Giuseppe Pezzella,it ITA,DFMF,Genoa,it Serie A,20,1997,1.2,4,0,3,1,0,0,1,0.0,1,26,2,7.7,14,8,4,2,0,0,2,1,5,2,1,Matches
1934,Matthias Phaeton,gp GLP,FWMF,Guingamp,fr Ligue 1,18,2000,0.6,1,1,0,1,0,0,1,0.0,1,16,7,43.8,1,12,3,1,0,0,1,0,1,0,0,Matches
1935,Maximilian Philipp,de GER,FWMF,Dortmund,de Bundesliga,24,1994,8.4,8,8,3,4,1,1,7,14.3,6,217,57,26.3,24,87,106,7,0,0,7,4,12,6,0,Matches
1936,Lebogang Phiri,za RSA,MF,Guingamp,fr Ligue 1,23,1994,21.4,63,41,23,36,4,11,42,26.2,31,478,135,28.2,167,272,39,38,3,0,35,23,86,18,0,Matches
1937,Krzysztof Piątek,pl POL,FW,Genoa,it Serie A,23,1995,17.7,10,6,3,5,2,2,17,11.8,15,326,76,23.3,15,165,146,15,3,0,12,3,13,19,1,Matches
1938,Krzysztof Piątek,pl POL,FW,Milan,it Serie A,23,1995,15.3,11,5,2,1,8,2,12,16.7,10,387,66,17.1,12,187,188,9,3,0,6,3,14,14,0,Matches
1939,Pablo Piatti,ar ARG,FWMF,Espanyol,es La Liga,29,1989,8.3,23,22,8,9,6,7,22,31.8,15,198,45,22.7,63,96,39,15,0,0,15,2,25,5,0,Matches
1940,Lucas Piazon,br BRA,MFFW,Chievo,it Serie A,24,1994,0.9,0,0,0,0,0,0,3,0.0,3,31,5,16.1,9,13,9,2,0,0,2,0,0,0,0,Matches
1941,Cristiano Piccini,it ITA,DF,Valencia,es La Liga,25,1992,20.8,40,27,29,9,2,15,28,53.6,13,295,88,29.8,147,102,46,37,5,1,32,19,59,55,2,Matches
1942,Roberto Piccoli,it ITA,FWMF,Atalanta,it Serie A,17,2001,0.5,1,0,0,1,0,1,1,100.0,0,5,1,20.0,0,3,2,1,0,0,1,0,1,0,0,Matches
1943,Jordan Pickford,eng ENG,GK,Everton,eng Premier League,24,1994,38.0,0,0,0,0,0,0,0,,0,3,1,33.3,3,0,0,0,0,0,0,0,0,1,4,Matches
1944,Jérémy Pied,fr FRA,DF,Lille,fr Ligue 1,29,1989,5.2,12,6,6,3,3,6,12,50.0,6,84,30,35.7,38,35,11,11,1,0,10,3,15,22,0,Matches
1945,Ronaël Pierre-Gabriel,fr FRA,DF,Monaco,fr Ligue 1,20,1998,3.9,14,6,10,2,2,6,7,85.7,1,73,21,28.8,53,17,3,8,1,0,7,2,16,10,0,Matches
1946,Erik Pieters,nl NED,DF,Amiens,fr Ligue 1,29,1988,14.0,54,35,32,18,4,19,31,61.3,12,241,76,31.5,126,84,31,30,11,0,19,11,65,63,0,Matches
1947,Tomás Pina Isla,es ESP,MF,Alavés,es La Liga,30,1987,26.0,57,38,22,31,4,14,51,27.5,37,434,124,28.6,154,233,47,38,6,0,32,28,85,44,0,Matches
1948,Andrea Pinamonti,it ITA,FW,Frosinone,it Serie A,19,1999,18.1,15,8,2,9,4,2,21,9.5,19,487,100,20.5,49,243,195,13,3,0,10,4,19,14,0,Matches
1949,Carlo Pinsoglio,it ITA,GK,Juventus,it Serie A,28,1990,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
1950,Virgile Pinson,fr FRA,FW,Reims,fr Ligue 1,22,1996,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
1951,Lenny Pintor,fr FRA,FW,Lyon,fr Ligue 1,17,2000,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
1952,Gerard Piqué,es ESP,DF,Barcelona,es La Liga,31,1987,35.0,45,27,29,15,1,20,37,54.1,17,273,87,31.9,160,101,12,63,26,2,37,32,77,156,2,Matches
1953,Facundo Píriz,uy URU,MF,Montpellier,fr Ligue 1,28,1990,1.3,6,3,3,2,1,3,8,37.5,5,43,9,20.9,19,21,3,2,1,0,1,3,9,5,0,Matches
1954,Fabio Pisacane,it ITA,DF,Cagliari,it Serie A,32,1986,25.2,44,25,32,9,3,19,43,44.2,24,196,56,28.6,123,61,12,37,18,0,19,17,61,119,5,Matches
1955,Łukasz Piszczek,pl POL,DF,Dortmund,de Bundesliga,33,1985,19.5,54,30,33,17,4,28,48,58.3,20,250,81,32.4,131,81,38,37,2,0,35,31,85,60,0,Matches
1956,Claudio Pizarro,pe PER,FW,Werder Bremen,de Bundesliga,39,1978,7.7,10,7,5,3,2,1,4,25.0,3,107,31,29.0,15,50,42,10,1,0,9,1,11,8,0,Matches
1957,Marko Pjaca,hr CRO,FWMF,Fiorentina,it Serie A,23,1995,8.3,8,8,2,3,3,2,8,25.0,6,90,25,27.8,26,41,23,8,0,0,8,4,12,4,0,Matches
1958,Miralem Pjanić,ba BIH,MF,Juventus,it Serie A,28,1990,25.3,40,18,13,20,7,14,64,21.9,50,486,114,23.5,150,252,84,37,6,0,31,33,73,12,2,Matches
1959,Carles Planas,es ESP,DFMF,Girona,es La Liga,27,1991,4.7,11,6,7,4,0,4,15,26.7,11,84,20,23.8,40,41,3,9,0,0,9,4,15,12,0,Matches
1960,Óscar Plano,es ESP,MFFW,Valladolid,es La Liga,27,1991,29.9,59,42,31,20,8,15,62,24.2,47,567,154,27.2,165,260,142,38,5,0,33,21,80,27,1,Matches
1961,Jaroslav Plašil,cz CZE,MF,Bordeaux,fr Ligue 1,36,1982,16.0,39,28,15,19,5,18,65,27.7,47,342,91,26.6,124,179,39,27,5,0,22,16,55,25,0,Matches
1962,Marvin Plattenhardt,de GER,DF,Hertha BSC,de Bundesliga,26,1992,21.4,31,18,16,9,6,10,24,41.7,14,252,71,28.2,120,101,31,36,4,1,32,12,43,48,0,Matches
1963,Stiven Plaza,ec ECU,FWMF,Valladolid,es La Liga,19,1999,0.4,0,0,0,0,0,0,0,,0,4,0,0.0,0,1,3,0,0,0,0,0,0,0,0,Matches
1964,Alassane Pléa,fr FRA,FW,M'Gladbach,de Bundesliga,25,1993,27.8,15,12,7,6,2,4,23,17.4,19,451,92,20.4,55,205,191,24,3,0,21,4,19,12,0,Matches
1965,Luca Plogmann,de GER,GK,Werder Bremen,de Bundesliga,18,2000,0.4,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
1966,Morgan Poaty,cg CGO,MF,Montpellier,fr Ligue 1,21,1997,1.0,0,0,0,0,0,0,1,0.0,1,17,5,29.4,6,9,2,2,0,0,2,0,0,3,0,Matches
1967,Paul Pogba,fr FRA,MF,Manchester Utd,eng Premier League,25,1993,33.4,45,36,24,13,8,13,35,37.1,22,535,146,27.3,155,256,124,44,9,0,35,16,61,37,0,Matches
1968,Denis-Will Poha,fr FRA,MF,Rennes,fr Ligue 1,21,1997,0.3,0,0,0,0,0,0,1,0.0,1,15,3,20.0,5,9,1,0,0,0,0,0,0,0,0,Matches
1969,Andrea Poli,it ITA,MF,Bologna,it Serie A,28,1989,21.5,67,49,37,21,9,24,74,32.4,50,662,181,27.3,240,304,118,42,5,0,37,32,99,14,2,Matches
1970,Matteo Politano,it ITA,FWMF,Inter,it Serie A,24,1993,28.3,18,9,8,7,3,6,33,18.2,27,486,109,22.4,93,198,195,23,2,0,21,16,34,7,0,Matches
1971,Pierre-Yves Polomat,fr FRA,DFMF,Saint-Étienne,fr Ligue 1,24,1993,10.6,20,14,14,4,2,10,20,50.0,10,126,36,28.6,59,46,21,18,1,0,17,13,33,29,0,Matches
1972,Giacomo Poluzzi,it ITA,GK,SPAL,it Serie A,30,1988,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
1973,Pere Pons,es ESP,MF,Girona,es La Liga,25,1993,31.0,83,57,31,40,12,27,100,27.0,73,726,196,27.0,242,402,82,61,9,0,52,31,114,40,0,Matches
1974,Pedro Porro,es ESP,DFMF,Girona,es La Liga,18,1999,24.6,50,32,28,14,8,26,79,32.9,53,423,95,22.5,203,148,72,58,2,0,56,40,90,42,0,Matches
1975,Manolo Portanova,it ITA,MF,Juventus,it Serie A,18,2000,0.4,1,1,0,1,0,0,1,0.0,1,11,4,36.4,4,6,1,2,0,0,2,2,3,1,0,Matches
1976,Francisco Portillo,es ESP,MFFW,Getafe,es La Liga,28,1990,22.2,20,10,5,10,5,7,32,21.9,25,472,120,25.4,113,256,103,29,1,0,28,12,32,5,0,Matches
1977,Portu,es ESP,FWMF,Girona,es La Liga,26,1992,31.3,30,20,7,14,9,8,38,21.1,30,574,132,23.0,86,279,209,32,1,0,31,6,36,6,0,Matches
1978,Stefan Posch,at AUT,DF,Hoffenheim,de Bundesliga,21,1997,15.6,44,26,31,10,3,17,32,53.1,15,193,74,38.3,115,64,14,26,8,0,18,20,64,67,0,Matches
1979,Sergio Postigo,es ESP,DF,Levante,es La Liga,29,1988,16.1,26,16,24,2,0,12,27,44.4,15,70,28,40.0,52,15,3,26,14,1,12,17,43,92,0,Matches
1980,Yussuf Poulsen,dk DEN,FW,RB Leipzig,de Bundesliga,24,1994,27.2,19,14,7,8,4,3,29,10.3,26,711,189,26.6,38,378,295,34,4,0,30,8,27,24,0,Matches
1981,Maxime Poundjé,fr FRA,DF,Bordeaux,fr Ligue 1,25,1992,28.2,49,23,33,14,2,24,62,38.7,38,387,107,27.6,237,115,35,56,7,1,49,21,70,62,1,Matches
1982,Gaëtan Poussin,fr FRA,GK,Bordeaux,fr Ligue 1,19,1999,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
1983,José Pozo,es ESP,MFFW,Rayo Vallecano,es La Liga,22,1996,18.0,17,12,7,7,3,6,25,24.0,19,306,74,24.2,59,169,78,6,1,0,5,6,23,8,0,Matches
1984,Dennis Praet,be BEL,MF,Sampdoria,it Serie A,24,1994,32.1,76,55,27,39,10,29,64,45.3,35,584,141,24.1,159,294,131,56,3,0,53,22,98,36,0,Matches
1985,Sanjin Prcić,ba BIH,MF,Levante,es La Liga,24,1993,5.9,17,11,8,7,2,6,12,50.0,6,80,20,25.0,28,43,9,18,7,0,11,6,23,11,0,Matches
1986,Sanjin Prcić,ba BIH,MF,Strasbourg,fr Ligue 1,24,1993,11.7,23,14,10,12,1,7,25,28.0,18,258,57,22.1,106,132,20,21,7,0,14,14,37,12,0,Matches
1987,Nicolas de Préville,fr FRA,FWMF,Bordeaux,fr Ligue 1,27,1991,14.1,29,20,8,14,7,7,33,21.2,26,319,78,24.5,70,169,80,25,1,0,24,7,36,22,0,Matches
1988,Edgar Prib,de GER,MF,Hannover 96,de Bundesliga,28,1989,2.2,12,8,5,5,2,1,2,50.0,1,51,11,21.6,9,21,21,3,0,0,3,2,14,1,0,Matches
1989,Alex Pritchard,eng ENG,MFFW,Huddersfield,eng Premier League,25,1993,23.1,30,18,8,11,11,5,40,12.5,35,452,118,26.1,53,223,176,26,1,0,25,25,55,4,0,Matches
1990,Sebastian Prödl,at AUT,DF,Watford,eng Premier League,31,1987,0.1,0,0,0,0,0,0,0,,0,2,0,0.0,2,0,0,0,0,0,0,0,0,0,0,Matches
1991,Quincy Promes,nl NED,DFMF,Sevilla,es La Liga,26,1992,17.6,33,20,21,8,4,15,27,55.6,12,274,62,22.6,94,101,79,25,3,0,22,13,46,23,0,Matches
1992,Davy Pröpper,nl NED,MF,Brighton,eng Premier League,26,1991,28.3,49,34,20,20,9,13,50,26.0,37,523,144,27.5,175,266,82,46,7,0,39,55,104,33,0,Matches
1993,Silvio Proto,be BEL,GK,Lazio,it Serie A,35,1983,2.0,0,0,0,0,0,0,1,0.0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
1994,Ivan Provedel,it ITA,GK,Empoli,it Serie A,24,1994,16.0,0,0,0,0,0,0,1,0.0,1,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,Matches
1995,Javi Puado,es ESP,FWMF,Espanyol,es La Liga,20,1998,4.0,3,2,2,1,0,1,7,14.3,6,81,21,25.9,29,30,22,8,1,0,7,6,9,7,0,Matches
1996,Manuel Pucciarelli,it ITA,FW,Chievo,it Serie A,27,1991,3.4,5,2,3,1,1,3,6,50.0,3,98,21,21.4,27,48,23,7,0,0,7,0,5,0,0,Matches
1997,Riqui Puig,es ESP,MF,Barcelona,es La Liga,18,1999,1.7,1,1,0,0,1,0,1,0.0,1,37,9,24.3,2,21,14,2,0,0,2,1,2,2,0,Matches
1998,Erick Pulgar,cl CHI,MF,Bologna,it Serie A,24,1994,26.2,79,53,42,29,8,31,81,38.3,50,532,163,30.6,230,242,60,43,6,0,37,46,125,50,1,Matches
1999,Jorge Pulido,es ESP,DF,Huesca,es La Liga,27,1991,30.9,63,33,42,16,5,29,58,50.0,29,318,106,33.3,166,127,25,48,17,1,31,36,99,179,1,Matches
2000,Christian Pulisic,us USA,FWMF,Dortmund,de Bundesliga,19,1998,10.4,10,7,3,4,3,3,11,27.3,8,158,43,27.2,36,76,46,20,4,0,16,6,16,8,0,Matches
2001,Jason Puncheon,eng ENG,MF,Crystal Palace,eng Premier League,32,1986,0.1,1,1,1,0,0,0,0,,0,8,2,25.0,3,3,2,0,0,0,0,0,1,0,0,Matches
2002,Jason Puncheon,eng ENG,MFFW,Huddersfield,eng Premier League,32,1986,4.2,8,4,4,3,1,0,7,0.0,7,66,22,33.3,20,27,19,4,1,0,3,5,13,6,0,Matches
2003,Ignacio Pussetto,ar ARG,FWMF,Udinese,it Serie A,22,1995,24.2,65,51,29,24,12,16,48,33.3,32,554,119,21.5,133,255,166,56,3,0,53,24,89,29,0,Matches
2004,Fabio Quagliarella,it ITA,FW,Sampdoria,it Serie A,35,1983,35.5,16,12,8,4,4,4,23,17.4,19,726,161,22.2,58,307,361,39,4,0,35,7,23,20,0,Matches
2005,Robin Quaison,se SWE,FWMF,Mainz 05,de Bundesliga,24,1993,24.4,21,16,4,10,7,4,20,20.0,16,501,100,20.0,47,222,232,12,2,0,10,4,25,5,0,Matches
2006,Collin Quaner,de GER,FW,Huddersfield,eng Premier League,27,1991,0.4,0,0,0,0,0,0,1,0.0,1,6,0,0.0,0,4,2,0,0,0,0,0,0,0,0,Matches
2007,Domingos Quina,pt POR,MF,Watford,eng Premier League,18,1999,3.8,15,10,4,9,2,4,13,30.8,9,88,26,29.5,31,45,12,5,0,0,5,6,21,5,0,Matches
2008,Xavi Quintillà,es ESP,DF,Villarreal,es La Liga,21,1996,7.0,12,9,7,5,0,5,15,33.3,10,66,20,30.3,36,26,4,13,3,0,10,4,16,22,0,Matches
2009,Dani Raba,es ESP,MF,Villarreal,es La Liga,22,1995,2.1,5,1,1,2,2,3,7,42.9,4,31,6,19.4,8,18,5,2,0,0,2,0,5,0,0,Matches
2010,Adrien Rabiot,fr FRA,MF,Paris S-G,fr Ligue 1,23,1995,11.8,35,23,15,17,3,9,21,42.9,12,203,76,37.4,65,103,35,16,3,0,13,9,44,17,1,Matches
2011,Nemanja Radonjić,rs SRB,FW,Marseille,fr Ligue 1,22,1996,7.6,6,5,0,5,1,1,11,9.1,10,142,36,25.4,30,75,37,9,0,0,9,2,8,2,1,Matches
2012,Ivan Radovanović,rs SRB,MF,Genoa,it Serie A,29,1988,14.2,25,18,16,7,2,9,24,37.5,15,201,62,30.8,94,85,22,20,5,0,15,12,37,43,1,Matches
2013,Ivan Radovanović,rs SRB,MF,Chievo,it Serie A,29,1988,19.0,32,21,16,15,1,10,33,30.3,23,266,76,28.6,117,122,27,28,9,0,19,20,52,30,1,Matches
2014,Ionuț Radu,ro ROU,GK,Genoa,it Serie A,21,1997,33.0,0,0,0,0,0,0,0,,0,1,1,100.0,1,0,0,0,0,0,0,0,0,1,2,Matches
2015,Ștefan Radu,ro ROU,DF,Lazio,it Serie A,31,1986,24.9,40,24,24,11,5,16,36,44.4,20,170,58,34.1,92,64,14,30,15,0,15,35,75,78,2,Matches
2016,Rafael,br BRA,DF,Lyon,fr Ligue 1,28,1990,11.4,30,15,16,11,3,18,37,48.6,19,149,46,30.9,76,49,24,28,3,0,25,11,41,24,0,Matches
2017,Raffael,br BRA,FW,M'Gladbach,de Bundesliga,33,1985,6.0,8,4,1,4,3,1,7,14.3,6,160,37,23.1,8,85,67,6,0,0,6,0,8,1,0,Matches
2018,Rafinha,br BRA,DF,Bayern Munich,de Bundesliga,32,1985,10.0,14,7,4,8,2,6,17,35.3,11,68,21,30.9,32,25,11,15,3,0,12,8,22,14,0,Matches
2019,Rafinha,br BRA,FWMF,Barcelona,es La Liga,25,1993,2.5,8,5,4,3,1,2,6,33.3,4,86,23,26.7,14,41,31,4,1,0,3,1,9,2,0,Matches
2020,Andrea Raggi,it ITA,DF,Monaco,fr Ligue 1,34,1984,5.5,5,4,4,1,0,3,6,50.0,3,69,14,20.3,48,15,6,13,0,0,13,5,10,12,0,Matches
2021,Baba Rahman,gh GHA,DF,Reims,fr Ligue 1,24,1994,10.7,27,17,18,7,2,13,27,48.1,14,181,61,33.7,105,56,20,23,3,0,20,19,46,40,0,Matches
2022,Baba Rahman,gh GHA,DF,Schalke 04,de Bundesliga,24,1994,1.8,3,3,1,2,0,1,3,33.3,2,22,5,22.7,8,10,4,4,0,0,4,1,4,3,1,Matches
2023,Ivan Rakitić,hr CRO,MF,Barcelona,es La Liga,30,1988,29.4,37,28,14,18,5,14,51,27.5,37,543,140,25.8,107,315,121,44,7,0,37,39,76,29,0,Matches
2024,Joe Ralls,eng ENG,MF,Cardiff City,eng Premier League,24,1993,21.8,55,37,26,23,6,11,32,34.4,21,474,126,26.6,176,237,61,25,7,0,18,28,83,36,0,Matches
2025,Jonás Ramalho,es ESP,DF,Girona,es La Liga,25,1993,18.0,10,3,9,1,0,5,14,35.7,9,176,37,21.0,113,50,13,39,11,0,28,9,19,87,2,Matches
2026,Benito Raman,be BEL,MFFW,Düsseldorf,de Bundesliga,23,1994,18.7,35,22,15,14,6,6,44,13.6,38,455,89,19.6,120,222,113,30,2,0,28,16,51,6,0,Matches
2027,Adil Rami,fr FRA,DF,Marseille,fr Ligue 1,32,1985,15.7,17,11,12,5,0,6,15,40.0,9,80,32,40.0,46,28,6,23,12,1,11,7,24,71,2,Matches
2028,Gastón Ramírez,uy URU,MFFW,Sampdoria,it Serie A,27,1990,17.5,29,17,10,15,4,6,27,22.2,21,410,87,21.2,92,190,128,35,5,0,30,12,41,20,1,Matches
2029,Sandro Ramírez,es ESP,FWMF,Real Sociedad,es La Liga,23,1995,11.7,20,13,6,10,4,7,19,36.8,12,257,63,24.5,60,117,80,15,2,0,13,7,27,1,0,Matches
