,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
211,Bastos,ao ANG,DF,Lazio,it Serie A,27,1991,12.7,27,20,21,5,1,16,29,55.2,13,151,43,28.5,100,38,13,23,9,0,14,7,34,56,1,Matches
212,Michy Batshuayi,be BEL,FW,Crystal Palace,eng Premier League,24,1993,8.3,2,1,0,0,2,1,4,25.0,3,170,32,18.8,14,98,58,9,5,0,4,5,7,1,0,Matches
213,Michy Batshuayi,be BEL,FW,Valencia,es La Liga,24,1993,5.9,1,1,0,1,0,0,5,0.0,5,110,23,20.9,10,63,37,7,3,0,4,2,3,3,0,Matches
214,Robert Bauer,de GER,DF,Nürnberg,de Bundesliga,23,1995,19.1,46,20,35,10,1,18,36,50.0,18,225,59,26.2,153,54,18,40,7,0,33,22,68,71,0,Matches
215,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,28,1990,33.0,0,0,0,0,0,0,0,,0,2,1,50.0,2,0,0,1,0,0,1,0,0,1,1,Matches
216,Timo Baumgartl,de GER,DF,Stuttgart,de Bundesliga,22,1996,18.0,36,22,25,11,0,9,22,40.9,13,154,51,33.1,104,46,4,40,16,1,24,14,50,102,0,Matches
217,Julian Baumgartlinger,at AUT,MF,Leverkusen,de Bundesliga,30,1988,17.3,54,34,27,22,5,19,47,40.4,28,325,102,31.4,90,196,39,29,5,0,24,20,74,28,0,Matches
218,Christoph Baumgartner,at AUT,MF,Hoffenheim,de Bundesliga,18,1999,0.9,2,1,0,1,1,1,3,33.3,2,21,5,23.8,5,11,5,2,0,0,2,0,2,0,0,Matches
219,Jon Bautista,es ESP,FWMF,Real Sociedad,es La Liga,23,1995,6.6,8,5,0,3,5,2,9,22.2,7,143,33,23.1,6,73,64,5,1,0,4,3,11,7,0,Matches
220,Paul Baysse,fr FRA,DF,Bordeaux,fr Ligue 1,30,1988,0.8,1,1,1,0,0,0,1,0.0,1,8,2,25.0,7,1,0,0,0,0,0,1,2,4,0,Matches
221,Paul Baysse,fr FRA,DF,Caen,fr Ligue 1,30,1988,19.9,24,15,20,4,0,11,17,64.7,6,125,38,30.4,89,33,3,34,17,1,17,16,40,130,0,Matches
222,Noah Joel Sarenren Bazee,ng NGA,FW,Hannover 96,de Bundesliga,21,1996,1.7,2,0,1,1,0,1,1,100.0,0,37,4,10.8,8,23,6,1,0,0,1,1,3,2,0,Matches
223,Claudio Beauvue,gp GLP,FW,Caen,fr Ligue 1,30,1988,16.7,15,12,5,7,3,3,23,13.0,20,228,58,25.4,37,119,72,17,1,0,16,3,18,20,0,Matches
