Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
246,Sven Bender,de GER,DF,Leverkusen,de Bundesliga,29,1989,22.1,1499,1647,91.0,31521,8482,418,450,92.9,819,874,93.7,248,304,81.6,0,0.2,-0.2,3,60,3,0,75,Matches
247,László Bénes,sk SVK,MF,M'Gladbach,de Bundesliga,20,1997,0.3,11,17,64.7,190,62,3,5,60.0,5,5,100.0,1,4,25.0,0,0.0,0.0,0,0,0,0,1,Matches
248,Nicolas Benezet,fr FRA,MFFW,Guingamp,fr Ligue 1,27,1991,18.5,624,911,68.5,10504,3225,335,422,79.4,211,304,69.4,68,151,45.0,1,3.7,-2.7,45,46,18,3,67,Matches
249,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,25,1993,35.0,895,1143,78.3,25176,15598,133,133,100.0,472,479,98.5,288,528,54.5,0,0.0,0.0,0,2,0,0,0,Matches
250,Ismaël Bennacer,dz ALG,MF,Empoli,it Serie A,20,1997,32.9,1664,1997,83.3,33777,9378,583,642,90.8,785,889,88.3,274,417,65.7,5,2.4,+2.6,34,163,26,1,185,Matches
251,Joe Bennett,eng ENG,DF,Cardiff City,eng Premier League,28,1990,29.3,638,929,68.7,11737,6104,291,344,84.6,258,366,70.5,79,177,44.6,1,0.9,+0.1,13,77,13,8,70,Matches
252,Ryan Bennett,eng ENG,DF,Wolves,eng Premier League,28,1990,34.0,1095,1365,80.2,22890,7141,353,389,90.7,538,613,87.8,187,336,55.7,0,0.8,-0.8,7,96,1,0,76,Matches
253,Yassine Benrahou,fr FRA,MFDF,Bordeaux,fr Ligue 1,19,1999,2.0,81,111,73.0,1080,178,52,60,86.7,26,29,89.7,2,17,11.8,0,0.1,-0.1,2,4,1,0,3,Matches
254,Ramy Bensebaini,dz ALG,DF,Rennes,fr Ligue 1,23,1995,23.9,991,1267,78.2,18660,7581,437,496,88.1,419,505,83.0,126,225,56.0,0,1.1,-1.1,12,60,13,8,99,Matches
255,Nabil Bentaleb,dz ALG,MF,Schalke 04,de Bundesliga,23,1994,19.9,740,959,77.2,14517,3634,302,354,85.3,304,377,80.6,124,204,60.8,0,0.9,-0.9,15,72,10,1,72,Matches
256,Rodrigo Bentancur,uy URU,MF,Juventus,it Serie A,21,1997,22.3,1072,1239,86.5,20187,4398,464,516,89.9,445,500,89.0,150,194,77.3,3,1.2,+1.8,21,110,23,7,86,Matches
257,Christian Benteke,be BEL,FW,Crystal Palace,eng Premier League,27,1990,9.0,135,233,57.9,2052,402,79,127,62.2,35,69,50.7,12,18,66.7,1,1.2,-0.2,7,8,4,0,15,Matches
258,Karim Benzema,fr FRA,FW,Real Madrid,es La Liga,30,1987,32.8,1011,1212,83.4,15068,2804,619,704,87.9,278,324,85.8,79,108,73.1,6,5.6,+0.4,48,82,58,5,97,Matches
259,Yassine Benzia,dz ALG,MF,Lille,fr Ligue 1,23,1994,1.8,81,100,81.0,1661,609,36,45,80.0,33,37,89.2,11,15,73.3,1,0.6,+0.4,5,17,3,0,20,Matches
260,Domenico Berardi,it ITA,FWMF,Sassuolo,it Serie A,23,1994,31.9,955,1333,71.6,16311,4594,482,576,83.7,352,459,76.7,101,211,47.9,4,3.8,+0.2,51,71,58,10,149,Matches
261,Yuri Berchiche,es ESP,DFFW,Athletic Club,es La Liga,28,1990,34.7,1392,1734,80.3,24282,9846,633,719,88.0,622,734,84.7,121,224,54.0,2,1.6,+0.4,18,101,33,19,136,Matches
262,Álex Berenguer,es ESP,MFFW,Torino,it Serie A,23,1995,16.5,529,753,70.3,9184,2453,257,313,82.1,184,248,74.2,67,138,48.6,3,4.7,-1.7,36,18,26,6,38,Matches
263,Bartosz Bereszyński,pl POL,DF,Sampdoria,it Serie A,26,1992,24.4,1304,1586,82.2,21086,8950,698,766,91.1,485,575,84.3,101,180,56.1,2,0.7,+1.3,10,94,19,6,109,Matches
264,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,eng Premier League,27,1990,19.5,405,611,66.3,7651,2744,187,233,80.3,142,190,74.7,65,154,42.2,6,3.2,+2.8,36,25,24,16,44,Matches
