,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1895,Emerson Palmieri,it ITA,DF,Roma,it Serie A,22,1994,0.2,15,17,88.2,210,42,11,12,91.7,3,4,75.0,1,1,100.0,0,0.0,0.0,0,0,0,0,1,Matches
1896,Emerson Palmieri,it ITA,DF,Chelsea,eng Premier League,22,1994,3.1,134,174,77.0,2064,497,73,84,86.9,52,63,82.5,7,21,33.3,1,0.1,+0.9,1,4,3,1,3,Matches
1897,Julian Palmieri,fr FRA,DFMF,Metz,fr Ligue 1,30,1986,12.5,436,574,76.0,7588,3660,183,210,87.1,212,271,78.2,33,68,48.5,0,0.3,-0.3,7,44,13,5,63,Matches
1898,Simone Palombi,it ITA,FW,Lazio,it Serie A,21,1996,0.7,14,15,93.3,231,47,9,10,90.0,3,3,100.0,2,2,100.0,0,0.1,-0.1,1,0,1,1,1,Matches
1899,Alberto Paloschi,it ITA,FW,SPAL,it Serie A,27,1990,24.3,292,407,71.7,4195,495,166,213,77.9,93,129,72.1,18,33,54.5,0,0.9,-0.9,12,11,4,1,14,Matches
1900,Goran Pandev,mk MKD,FWMF,Genoa,it Serie A,34,1983,20.0,445,610,73.0,7739,2075,225,289,77.9,164,220,74.5,49,69,71.0,1,2.7,-1.7,29,50,33,1,74,Matches
1901,Costel Pantilimon,ro ROU,GK,La Coruña,es La Liga,30,1987,6.0,91,146,62.3,3536,2662,11,12,91.7,29,30,96.7,51,104,49.0,0,0.0,0.0,0,2,0,0,0,Matches
1902,Kyriakos Papadopoulos,gr GRE,DF,Hamburger SV,de Bundesliga,25,1992,29.0,892,1183,75.4,20268,8226,222,266,83.5,465,559,83.2,199,331,60.1,1,0.5,+0.5,5,80,5,0,107,Matches
1903,Sokratis Papastathopoulos,gr GRE,DF,Dortmund,de Bundesliga,29,1988,26.4,1650,1879,87.8,36202,10937,446,478,93.3,871,935,93.2,324,453,71.5,0,0.5,-0.5,5,128,9,1,94,Matches
1904,Rubén Pardo,es ESP,MF,Real Sociedad,es La Liga,24,1992,2.5,108,140,77.1,2042,557,41,45,91.1,53,63,84.1,13,28,46.4,1,0.5,+0.5,4,6,4,0,16,Matches
1905,Nicolás Pareja,ar ARG,DF,Sevilla,es La Liga,33,1984,4.5,197,233,84.5,4505,1732,61,64,95.3,96,112,85.7,40,56,71.4,0,0.0,0.0,1,16,0,0,10,Matches
1906,Daniel Parejo,es ESP,MF,Valencia,es La Liga,28,1989,33.3,2015,2472,81.5,43154,15668,668,776,86.1,956,1064,89.8,375,592,63.3,7,5.4,+1.6,70,273,35,2,293,Matches
1907,Vittorio Parigini,it ITA,FWMF,Benevento,it Serie A,21,1996,9.5,235,334,70.4,3593,753,140,166,84.3,75,113,66.4,16,38,42.1,0,1.4,-1.4,16,11,9,5,20,Matches
1908,Shawn Parker,de GER,DFMF,Augsburg,de Bundesliga,24,1993,0.5,6,9,66.7,122,30,2,4,50.0,4,5,80.0,0,0,,0,0.0,0.0,1,0,1,0,1,Matches
1909,Marco Parolo,it ITA,MF,Lazio,it Serie A,32,1985,29.0,995,1237,80.4,18620,4298,418,493,84.8,445,523,85.1,117,176,66.5,3,2.1,+0.9,27,85,23,3,108,Matches
1910,Thomas Partey,gh GHA,MFDF,Atlético Madrid,es La Liga,24,1993,26.4,1196,1453,82.3,22419,6641,533,621,85.8,486,575,84.5,167,233,71.7,0,0.7,-0.7,12,122,19,2,112,Matches
1911,Felix Passlack,de GER,MFDF,Hoffenheim,de Bundesliga,19,1998,0.7,37,41,90.2,734,268,13,14,92.9,19,19,100.0,5,8,62.5,0,0.1,-0.1,1,5,2,0,5,Matches
1912,Felix Passlack,de GER,DF,Dortmund,de Bundesliga,19,1998,0.1,8,9,88.9,124,60,3,3,100.0,4,5,80.0,0,0,,0,0.0,0.0,0,1,0,0,2,Matches
1913,Javier Pastore,ar ARG,MFFW,Paris S-G,fr Ligue 1,28,1989,15.0,810,989,81.9,13268,3673,403,467,86.3,307,354,86.7,75,115,65.2,5,3.8,+1.2,25,98,35,4,96,Matches
1914,Patric,es ESP,DFMF,Lazio,it Serie A,24,1993,6.6,300,359,83.6,6248,1680,102,116,87.9,144,167,86.2,51,68,75.0,0,0.5,-0.5,8,20,8,4,18,Matches
1915,Paulinho,br BRA,MF,Barcelona,es La Liga,29,1988,21.6,1064,1217,87.4,16628,3091,574,642,89.4,395,442,89.4,67,83,80.7,2,2.1,-0.1,12,88,11,0,63,Matches
1916,Gabriel Paulista,br BRA,DF,Valencia,es La Liga,26,1990,28.7,1173,1363,86.1,26005,9310,276,309,89.3,658,718,91.6,230,312,73.7,0,0.1,-0.1,3,55,0,0,56,Matches
1917,Benjamin Pavard,fr FRA,DF,Stuttgart,de Bundesliga,21,1996,34.0,1618,1932,83.7,33857,10984,528,589,89.6,807,899,89.8,277,423,65.5,0,1.1,-1.1,5,124,7,0,101,Matches
1918,Jiří Pavlenka,cz CZE,GK,Werder Bremen,de Bundesliga,25,1992,34.0,764,1145,66.7,26764,16832,61,63,96.8,338,342,98.8,365,740,49.3,0,0.0,0.0,0,18,0,0,2,Matches
1919,Daniel Pavlović,ba BIH,DFMF,Crotone,it Serie A,29,1988,8.4,220,348,63.2,4312,2267,90,113,79.6,92,134,68.7,36,92,39.1,0,0.8,-0.8,11,19,5,1,31,Matches
1920,Daniel Pavlović,ba BIH,DF,Sampdoria,it Serie A,29,1988,1.0,48,63,76.2,936,298,12,16,75.0,33,38,86.8,3,8,37.5,0,0.1,-0.1,1,1,2,0,4,Matches
1921,Mateo Pavlović,ba BIH,DF,Angers,fr Ligue 1,27,1990,21.8,726,875,83.0,15389,5611,207,241,85.9,392,423,92.7,122,197,61.9,0,0.0,0.0,1,37,2,0,50,Matches
1922,Leonardo Pavoletti,it ITA,FW,Cagliari,it Serie A,28,1988,30.2,534,797,67.0,7402,1095,339,446,76.0,125,221,56.6,36,69,52.2,0,1.2,-1.2,22,28,12,0,33,Matches
1923,Dimitri Payet,fr FRA,MFFW,Marseille,fr Ligue 1,30,1987,26.1,1198,1617,74.1,23637,8654,501,583,85.9,461,589,78.3,210,382,55.0,14,13.1,+0.9,126,128,74,25,194,Matches
1924,Giampaolo Pazzini,it ITA,FW,Hellas Verona,it Serie A,32,1984,11.0,119,165,72.1,1862,288,69,82,84.1,36,57,63.2,12,19,63.2,0,0.5,-0.5,6,6,4,0,12,Matches
1925,Giampaolo Pazzini,it ITA,FW,Levante,es La Liga,32,1984,4.9,43,67,64.2,699,83,26,35,74.3,15,23,65.2,2,6,33.3,0,0.0,0.0,0,4,0,0,3,Matches
1926,Alfonso Pedraza,es ESP,MFDF,Alavés,es La Liga,21,1996,27.1,465,737,63.1,7985,3145,227,311,73.0,187,258,72.5,39,99,39.4,5,3.8,+1.2,28,34,22,15,56,Matches
1927,Pedro,es ESP,FWMF,Chelsea,eng Premier League,30,1987,16.9,554,703,78.8,9054,2034,328,382,85.9,155,200,77.5,60,87,69.0,2,1.5,+0.5,24,38,21,2,49,Matches
1928,João Pedro,br BRA,MFFW,Cagliari,it Serie A,25,1992,18.4,364,518,70.3,6574,1385,170,228,74.6,129,170,75.9,55,95,57.9,2,2.0,0.0,18,30,13,2,33,Matches
1929,Stef Peeters,be BEL,MF,Caen,fr Ligue 1,25,1992,12.3,346,546,63.4,7326,2999,118,159,74.2,152,194,78.4,69,164,42.1,2,3.2,-1.2,36,55,8,0,57,Matches
1930,Gianluca Pegolo,it ITA,GK,Sassuolo,it Serie A,36,1981,1.2,16,38,42.1,490,287,2,2,100.0,6,6,100.0,8,30,26.7,0,0.0,0.0,0,0,0,0,0,Matches
1931,Peter Pekarík,sk SVK,DF,Hertha BSC,de Bundesliga,30,1986,15.3,591,754,78.4,9593,4302,307,344,89.2,236,292,80.8,44,91,48.4,2,1.4,+0.6,11,47,10,6,65,Matches
1932,Bryan Pelé,fr FRA,FWMF,Troyes,fr Ligue 1,25,1992,17.9,407,596,68.3,7562,2526,167,203,82.3,168,241,69.7,58,116,50.0,2,2.0,0.0,23,33,17,8,51,Matches
1933,Yohann Pelé,fr FRA,GK,Marseille,fr Ligue 1,34,1982,8.2,136,184,73.9,4311,2629,19,19,100.0,51,52,98.1,65,112,58.0,0,0.0,0.0,0,2,0,0,0,Matches
1934,Pietro Pellegri,it ITA,FW,Genoa,it Serie A,16,2001,3.1,33,45,73.3,564,49,15,19,78.9,13,17,76.5,4,6,66.7,0,0.1,-0.1,4,0,2,1,1,Matches
1935,Pietro Pellegri,it ITA,FWMF,Monaco,fr Ligue 1,16,2001,0.3,3,7,42.9,45,8,1,2,50.0,2,3,66.7,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
1936,Lorenzo Pellegrini,it ITA,MF,Roma,it Serie A,21,1996,20.0,798,1018,78.4,15129,4690,329,392,83.9,341,405,84.2,119,191,62.3,2,5.6,-3.6,49,104,29,10,117,Matches
1937,Théo Pellenard,fr FRA,DF,Bordeaux,fr Ligue 1,23,1994,15.9,625,854,73.2,11155,5316,280,323,86.7,268,346,77.5,71,155,45.8,0,1.2,-1.2,15,50,19,8,82,Matches
1938,Sergio Pellissier,it ITA,FWMF,Chievo,it Serie A,38,1979,6.2,89,123,72.4,1194,148,58,74,78.4,27,42,64.3,3,4,75.0,0,0.7,-0.7,8,0,1,0,2,Matches
1939,Federico Peluso,it ITA,DF,Sassuolo,it Serie A,33,1984,28.8,813,1143,71.1,16849,8997,259,324,79.9,416,503,82.7,124,285,43.5,1,0.8,+0.2,11,90,18,12,94,Matches
1940,Rubén Peña,es ESP,DFMF,Eibar,es La Liga,26,1991,19.2,638,920,69.3,12788,5430,253,329,76.9,269,359,74.9,109,198,55.1,0,1.1,-1.1,18,74,21,12,75,Matches
1941,Gabriel Peñalba,ar ARG,MF,Las Palmas,es La Liga,32,1984,6.3,310,361,85.9,5430,1370,140,150,93.3,119,139,85.6,40,56,71.4,0,0.0,0.0,0,15,3,0,18,Matches
1942,Adalberto Peñaranda,ve VEN,FWMF,Málaga,es La Liga,20,1997,8.9,191,247,77.3,2537,334,121,146,82.9,55,70,78.6,7,13,53.8,0,0.2,-0.2,8,9,5,0,12,Matches
1943,Nicolas Pépé,ci CIV,FWMF,Lille,fr Ligue 1,22,1995,31.6,804,1022,78.7,11947,2857,472,543,86.9,242,302,80.1,57,108,52.8,4,4.5,-0.5,43,51,34,7,85,Matches
1944,Andreas Pereira,br BRA,MFFW,Valencia,es La Liga,21,1996,12.0,266,409,65.0,5106,1856,103,145,71.0,124,178,69.7,36,73,49.3,3,2.5,+0.5,22,31,22,13,45,Matches
1945,Pedro Pereira,pt POR,DF,Genoa,it Serie A,19,1998,4.2,146,205,71.2,2433,811,77,86,89.5,46,68,67.6,17,40,42.5,0,0.1,-0.1,2,4,2,2,10,Matches
1946,Bruno Peres,br BRA,DF,Roma,it Serie A,27,1990,12.8,661,806,82.0,12072,4489,272,311,87.5,311,362,85.9,72,116,62.1,0,1.0,-1.0,15,50,15,8,68,Matches
1947,Roberto Pereyra,ar ARG,MFFW,Watford,eng Premier League,26,1991,18.0,595,724,82.2,10481,2662,290,326,89.0,211,263,80.2,74,100,74.0,2,2.9,-0.9,22,35,29,10,55,Matches
1948,Ayoze Pérez,es ESP,MFFW,Newcastle Utd,eng Premier League,24,1993,27.7,518,734,70.6,7492,1741,299,373,80.2,160,219,73.1,30,70,42.9,5,3.8,+1.2,33,47,18,2,60,Matches
1949,Hernán Pérez,py PAR,MFFW,Alavés,es La Liga,28,1989,4.2,96,147,65.3,1680,543,53,71,74.6,31,45,68.9,11,23,47.8,0,0.6,-0.6,5,5,11,5,10,Matches
1950,Hernán Pérez,py PAR,MFDF,Espanyol,es La Liga,28,1989,1.6,43,76,56.6,706,297,21,29,72.4,16,27,59.3,4,13,30.8,0,0.0,0.0,0,4,0,0,2,Matches
1951,Lucas Pérez,es ESP,FW,La Coruña,es La Liga,28,1988,31.1,660,983,67.1,12278,3929,320,413,77.5,234,320,73.1,98,231,42.4,6,7.8,-1.8,74,46,42,11,80,Matches
1952,Rubén Pérez,es ESP,MF,Leganés,es La Liga,28,1989,28.0,1103,1454,75.9,24206,7895,375,447,83.9,492,602,81.7,232,379,61.2,0,1.0,-1.0,13,136,9,1,140,Matches
1953,Stipe Perica,hr CRO,FWMF,Udinese,it Serie A,22,1995,10.5,147,201,73.1,2207,392,92,115,80.0,47,70,67.1,6,9,66.7,0,0.5,-0.5,7,6,4,0,14,Matches
1954,Mattia Perin,it ITA,GK,Genoa,it Serie A,24,1992,37.0,699,1193,58.6,27425,18880,75,77,97.4,227,234,97.0,396,879,45.1,0,0.1,-0.1,1,14,1,0,0,Matches
1955,Ivan Perišić,hr CRO,FW,Inter,it Serie A,28,1989,36.8,1109,1631,68.0,18739,4402,568,727,78.1,406,579,70.1,114,226,50.4,7,7.4,-0.4,72,50,52,25,85,Matches
1956,Diego Perotti,ar ARG,FWMF,Roma,it Serie A,29,1988,17.9,708,920,77.0,11519,2784,347,401,86.5,297,366,81.1,46,101,45.5,3,4.2,-1.2,39,57,38,15,73,Matches
1957,Romain Perraud,fr FRA,MF,Nice,fr Ligue 1,19,1997,0.0,2,3,66.7,40,30,1,1,100.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0,1,0,0,1,Matches
1958,Loïc Perrin,fr FRA,DF,Saint-Étienne,fr Ligue 1,31,1985,27.4,1286,1479,87.0,26943,11632,387,433,89.4,657,707,92.9,223,305,73.1,1,0.5,+0.5,6,94,5,0,82,Matches
1959,Andrea Petagna,it ITA,FW,Atalanta,it Serie A,22,1995,18.0,385,524,73.5,6974,1042,186,241,77.2,145,192,75.5,47,64,73.4,5,4.3,+0.7,30,19,31,5,38,Matches
1960,Nils Petersen,de GER,FW,Freiburg,de Bundesliga,28,1988,24.9,387,596,64.9,5358,1240,216,299,72.2,115,191,60.2,19,41,46.3,1,3.3,-2.3,35,30,21,2,39,Matches
1961,Bruno Petković,hr CRO,FWMF,Hellas Verona,it Serie A,22,1994,10.2,166,262,63.4,2390,508,102,148,68.9,44,77,57.1,13,19,68.4,2,1.2,+0.8,10,9,10,1,16,Matches
1962,Bruno Petković,hr CRO,FW,Bologna,it Serie A,22,1994,3.7,83,113,73.5,1217,249,47,60,78.3,21,30,70.0,9,12,75.0,1,0.8,+0.2,3,2,4,0,9,Matches
1963,Germán Pezzella,ar ARG,DF,Fiorentina,it Serie A,26,1991,33.1,1580,1896,83.3,33887,11644,379,439,86.3,944,1041,90.7,242,386,62.7,0,0.3,-0.3,6,86,4,0,117,Matches
1964,Giuseppe Pezzella,it ITA,DF,Udinese,it Serie A,19,1997,10.0,315,455,69.2,5455,2473,146,173,84.4,142,198,71.7,26,70,37.1,0,0.8,-0.8,12,19,14,7,31,Matches
1965,Maximilian Philipp,de GER,FWMF,Dortmund,de Bundesliga,23,1994,13.4,226,307,73.6,3341,911,141,179,78.8,61,87,70.1,15,20,75.0,1,1.6,-0.6,12,9,10,2,21,Matches
1966,Chris Philipps,lu LUX,MFDF,Metz,fr Ligue 1,23,1994,9.4,326,424,76.9,6474,1987,128,155,82.6,140,163,85.9,55,93,59.1,0,0.3,-0.3,7,29,3,0,31,Matches
1967,Matt Phillips,sct SCO,MFFW,West Brom,eng Premier League,26,1991,23.3,435,714,60.9,7999,3031,225,290,77.6,136,199,68.3,62,164,37.8,2,4.0,-2.0,35,24,19,13,38,Matches
1968,Lebogang Phiri,za RSA,MF,Guingamp,fr Ligue 1,22,1994,11.5,560,634,88.3,10607,3104,220,244,90.2,241,262,92.0,80,100,80.0,1,0.4,+0.6,5,60,3,1,54,Matches
1969,Pablo Piatti,ar ARG,MFFW,Espanyol,es La Liga,28,1989,19.3,434,670,64.8,7831,2808,226,300,75.3,138,188,73.4,65,158,41.1,3,3.4,-0.4,39,38,30,22,48,Matches
1970,Jordan Pickford,eng ENG,GK,Everton,eng Premier League,23,1994,38.0,652,1330,49.0,29692,22666,41,43,95.3,224,230,97.4,387,1057,36.6,0,0.2,-0.2,3,44,1,0,0,Matches
1971,Jérémy Pied,fr FRA,DF,Southampton,eng Premier League,28,1989,2.0,96,123,78.0,1614,776,46,56,82.1,37,42,88.1,10,19,52.6,1,0.4,+0.6,2,14,4,1,12,Matches
1972,Nicholas Pierini,it ITA,MFFW,Sassuolo,it Serie A,18,1998,0.5,16,19,84.2,213,18,11,12,91.7,5,7,71.4,0,0,,0,0.0,0.0,0,1,0,0,0,Matches
1973,Ronaël Pierre-Gabriel,fr FRA,DF,Saint-Étienne,fr Ligue 1,19,1998,13.0,481,602,79.9,8194,3288,219,255,85.9,220,259,84.9,37,68,54.4,0,0.3,-0.3,7,40,5,3,47,Matches
1974,Erik Pieters,nl NED,DF,Stoke City,eng Premier League,28,1988,30.2,941,1298,72.5,17618,7843,395,460,85.9,422,550,76.7,108,229,47.2,1,1.4,-0.4,16,90,23,10,93,Matches
1975,Tomás Pina Isla,es ESP,MF,Alavés,es La Liga,29,1987,26.5,786,990,79.4,14661,4609,329,397,82.9,342,422,81.0,103,148,69.6,0,1.1,-1.1,10,112,7,0,99,Matches
1976,Andrea Pinamonti,it ITA,FW,Inter,it Serie A,18,1999,0.2,4,4,100.0,52,0,3,3,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
1977,Carlo Pinsoglio,it ITA,GK,Juventus,it Serie A,27,1990,0.3,5,6,83.3,129,103,0,0,,4,4,100.0,1,2,50.0,0,0.0,0.0,0,0,0,0,0,Matches
1978,Gerard Piqué,es ESP,DF,Barcelona,es La Liga,30,1987,29.2,1625,1825,89.0,34924,10339,461,501,92.0,854,912,93.6,300,387,77.5,0,1.0,-1.0,6,125,4,0,94,Matches
1979,Facundo Píriz,uy URU,MF,Montpellier,fr Ligue 1,27,1990,9.0,374,434,86.2,7068,1644,138,151,91.4,178,197,90.4,45,64,70.3,0,0.1,-0.1,2,23,0,0,15,Matches
1980,Fabio Pisacane,it ITA,DF,Cagliari,it Serie A,31,1986,21.4,840,1034,81.2,18576,6739,256,288,88.9,418,468,89.3,162,259,62.5,0,0.1,-0.1,4,85,8,4,59,Matches
1981,Łukasz Piszczek,pl POL,DF,Dortmund,de Bundesliga,32,1985,23.8,1262,1572,80.3,23137,8360,523,602,86.9,572,687,83.3,153,244,62.7,3,1.7,+1.3,14,81,27,12,119,Matches
1982,Claudio Pizarro,pe PER,FWMF,Köln,de Bundesliga,38,1978,6.4,175,235,74.5,2721,604,108,136,79.4,50,68,73.5,13,19,68.4,1,0.7,+0.3,8,11,10,0,22,Matches
1983,Guido Pizarro,ar ARG,MF,Sevilla,es La Liga,27,1990,19.5,1061,1229,86.3,19552,5599,417,474,88.0,547,606,90.3,93,127,73.2,0,0.8,-0.8,7,87,4,0,86,Matches
1984,Marko Pjaca,hr CRO,FWMF,Schalke 04,de Bundesliga,22,1995,2.9,41,61,67.2,552,155,26,34,76.5,11,19,57.9,2,3,66.7,0,0.0,0.0,0,2,3,0,6,Matches
1985,Miralem Pjanić,ba BIH,MF,Juventus,it Serie A,27,1990,27.6,1866,2152,86.7,38454,10571,678,740,91.6,820,900,91.1,350,480,72.9,5,5.2,-0.2,63,172,35,6,184,Matches
1986,Carles Planas,es ESP,DFMF,Girona,es La Liga,26,1991,2.1,82,111,73.9,1407,571,40,49,81.6,32,42,76.2,8,16,50.0,1,0.7,+0.3,3,4,3,2,7,Matches
1987,Jaroslav Plašil,cz CZE,MF,Bordeaux,fr Ligue 1,35,1982,11.6,551,632,87.2,10286,2766,218,245,89.0,252,276,91.3,71,91,78.0,1,1.0,0.0,13,50,12,2,71,Matches
1988,Marvin Plattenhardt,de GER,DF,Hertha BSC,de Bundesliga,25,1992,33.0,1288,1720,74.9,25314,9777,516,585,88.2,579,702,82.5,189,396,47.7,7,3.2,+3.8,33,92,21,10,114,Matches
1989,Alassane Pléa,fr FRA,FW,Nice,fr Ligue 1,24,1993,33.8,793,1029,77.1,12447,2636,457,557,82.0,247,310,79.7,66,98,67.3,5,3.1,+1.9,30,57,26,2,82,Matches
1990,Morgan Poaty,cg CGO,MF,Montpellier,fr Ligue 1,20,1997,1.9,63,93,67.7,1198,374,19,27,70.4,40,50,80.0,4,12,33.3,0,0.0,0.0,0,0,1,0,6,Matches
1991,Gerónimo Poblete,ar ARG,MF,Metz,fr Ligue 1,24,1993,18.4,747,858,87.1,14822,3697,289,322,89.8,338,368,91.8,113,149,75.8,0,0.1,-0.1,4,73,6,0,72,Matches
1992,Florentin Pogba,gn GUI,DF,Saint-Étienne,fr Ligue 1,26,1990,3.6,115,152,75.7,2430,1281,38,42,90.5,56,66,84.8,21,42,50.0,0,0.2,-0.2,3,16,3,1,14,Matches
1993,Paul Pogba,fr FRA,MF,Manchester Utd,eng Premier League,24,1993,23.9,1465,1741,84.1,27113,8281,693,774,89.5,504,582,86.6,230,328,70.1,10,4.4,+5.6,39,170,52,5,228,Matches
1994,Joel Pohjanpalo,fi FIN,MFFW,Leverkusen,de Bundesliga,22,1994,1.3,10,18,55.6,132,15,8,12,66.7,2,4,50.0,0,2,0.0,0,0.0,0.0,0,1,0,0,0,Matches
1995,Eugen Polanski,pl POL,MF,Hoffenheim,de Bundesliga,31,1986,2.9,119,134,88.8,2126,601,54,59,91.5,55,59,93.2,9,14,64.3,1,0.0,+1.0,2,12,2,0,14,Matches
1996,Andrea Poli,it ITA,MF,Bologna,it Serie A,27,1989,28.3,1126,1273,88.5,18762,4020,538,589,91.3,472,517,91.3,92,118,78.0,0,1.1,-1.1,15,84,18,3,87,Matches
1997,Matteo Politano,it ITA,FW,Sassuolo,it Serie A,23,1993,31.2,706,1092,64.7,12079,3844,364,476,76.5,242,367,65.9,84,199,42.2,4,6.4,-2.4,62,49,45,13,104,Matches
1998,Julian Pollersbeck,de GER,GK,Hamburger SV,de Bundesliga,22,1994,10.0,402,544,73.9,12175,5915,42,43,97.7,189,192,98.4,171,309,55.3,0,0.0,0.0,0,9,0,0,3,Matches
1999,Ezequiel Ponce,ar ARG,FW,Lille,fr Ligue 1,20,1997,12.2,195,262,74.4,2889,371,114,149,76.5,62,77,80.5,12,18,66.7,1,1.7,-0.7,11,6,4,0,13,Matches
2000,Pere Pons,es ESP,MF,Girona,es La Liga,24,1993,28.4,812,1012,80.2,14645,3467,349,409,85.3,362,440,82.3,89,135,65.9,2,1.5,+0.5,14,92,9,1,84,Matches
2001,Simone Pontisso,it ITA,MF,Udinese,it Serie A,20,1997,0.1,14,15,93.3,275,86,4,4,100.0,9,9,100.0,1,2,50.0,0,0.0,0.0,0,1,0,0,4,Matches
2002,Nick Pope,eng ENG,GK,Burnley,eng Premier League,25,1992,34.6,542,1215,44.6,28961,24442,22,22,100.0,120,124,96.8,398,1066,37.3,0,0.4,-0.4,6,79,2,0,0,Matches
2003,Jérémie Porsan-Clémenté,fr FRA,MF,Montpellier,fr Ligue 1,19,1997,1.0,21,38,55.3,359,134,12,18,66.7,8,12,66.7,1,8,12.5,0,0.0,0.0,1,1,0,0,1,Matches
2004,Francisco Portillo,es ESP,MFFW,Getafe,es La Liga,27,1990,27.3,734,1005,73.0,12122,4445,388,482,80.5,266,359,74.1,67,119,56.3,3,3.0,0.0,24,94,54,2,125,Matches
2005,Portu,es ESP,FWMF,Girona,es La Liga,25,1992,33.3,481,676,71.2,8069,1977,244,327,74.6,192,250,76.8,38,72,52.8,5,5.4,-0.4,40,41,34,13,52,Matches
2006,Stefan Posch,at AUT,DF,Hoffenheim,de Bundesliga,20,1997,8.4,411,488,84.2,7596,2819,166,176,94.3,189,210,90.0,51,91,56.0,0,0.0,0.0,1,20,1,0,25,Matches
2007,Sergio Postigo,es ESP,DF,Levante,es La Liga,28,1988,26.9,752,946,79.5,17746,7347,190,215,88.4,377,420,89.8,181,295,61.4,0,0.5,-0.5,5,72,3,0,72,Matches
2008,Yussuf Poulsen,dk DEN,FW,RB Leipzig,de Bundesliga,23,1994,18.5,366,573,63.9,4530,1038,260,362,71.8,81,135,60.0,9,26,34.6,2,1.4,+0.6,15,24,10,1,29,Matches
2009,Maxime Poundjé,fr FRA,DF,Bordeaux,fr Ligue 1,24,1992,18.9,698,949,73.6,11629,5914,352,422,83.4,274,352,77.8,55,130,42.3,1,0.9,+0.1,14,74,15,10,71,Matches
2010,Darío Poveda,es ESP,FW,Villarreal,es La Liga,20,1997,0.0,1,2,50.0,10,6,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
2011,Dennis Praet,be BEL,MF,Sampdoria,it Serie A,23,1994,29.5,1236,1511,81.8,20814,5847,624,719,86.8,471,550,85.6,120,190,63.2,3,3.1,-0.1,35,116,46,8,142,Matches
2012,Sanjin Prcić,ba BIH,MF,Rennes,fr Ligue 1,23,1993,17.4,788,916,86.0,16739,4133,267,294,90.8,346,383,90.3,158,210,75.2,2,0.4,+1.6,9,94,11,1,96,Matches
2013,Nicolas de Préville,fr FRA,FW,Bordeaux,fr Ligue 1,26,1991,21.5,490,702,69.8,8486,2149,251,324,77.5,167,242,69.0,58,100,58.0,4,3.7,+0.3,28,27,19,5,43,Matches
2014,Nicolas de Préville,fr FRA,FW,Lille,fr Ligue 1,26,1991,3.2,44,67,65.7,624,106,22,28,78.6,14,18,77.8,2,8,25.0,0,0.2,-0.2,4,2,2,0,4,Matches
2015,Andrés Prieto,es ESP,GK,Málaga,es La Liga,23,1993,4.0,39,87,44.8,1865,1496,0,0,,10,12,83.3,29,75,38.7,0,0.0,0.0,0,4,0,0,0,Matches
2016,Xabi Prieto,es ESP,MF,Real Sociedad,es La Liga,33,1983,21.4,867,1074,80.7,14125,3575,452,520,86.9,320,384,83.3,77,122,63.1,5,4.5,+0.5,42,88,32,12,79,Matches
2017,Jérôme Prior,fr FRA,GK,Bordeaux,fr Ligue 1,21,1995,2.0,14,25,56.0,465,346,2,2,100.0,6,6,100.0,6,17,35.3,0,0.0,0.0,0,0,0,0,0,Matches
2018,Alex Pritchard,eng ENG,MFFW,Huddersfield,eng Premier League,24,1993,11.1,261,392,66.6,4439,1238,139,167,83.2,86,118,72.9,29,76,38.2,1,1.9,-0.9,19,17,10,2,26,Matches
2019,Sloan Privat,fr FRA,FW,Guingamp,fr Ligue 1,28,1989,0.0,1,1,100.0,7,1,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
2020,Sebastian Prödl,at AUT,DF,Watford,eng Premier League,30,1987,17.4,434,550,78.9,10035,3754,131,151,86.8,197,231,85.3,101,155,65.2,0,0.4,-0.4,1,31,1,0,38,Matches
2021,Davy Pröpper,nl NED,MF,Brighton,eng Premier League,25,1991,34.7,1105,1405,78.6,23227,6413,392,472,83.1,492,588,83.7,203,289,70.2,4,1.2,+2.8,20,137,16,4,158,Matches
2022,Manuel Pucciarelli,it ITA,FW,Chievo,it Serie A,26,1991,15.3,299,394,75.9,4152,784,181,221,81.9,96,122,78.7,12,23,52.2,0,0.9,-0.9,18,22,8,1,25,Matches
2023,Christian Puggioni,it ITA,GK,Benevento,it Serie A,36,1981,13.1,315,433,72.7,9693,5863,37,38,97.4,152,158,96.2,125,236,53.0,0,0.0,0.0,0,4,0,0,0,Matches
2024,Christian Puggioni,it ITA,GK,Sampdoria,it Serie A,36,1981,9.0,203,281,72.2,6046,3994,42,42,100.0,82,83,98.8,78,155,50.3,0,0.0,0.0,0,1,0,0,0,Matches
