,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
251,Wissam Ben Yedder,fr FRA,FW,Sevilla,es La Liga,26,1990,18.9,357,467,76.4,4999,825,230,282,81.6,107,141,75.9,12,24,50.0,3,2.1,+0.9,25,19,19,2,32,Matches
252,Diego Benaglio,ch SUI,GK,Monaco,fr Ligue 1,33,1983,2.5,34,47,72.3,1013,688,9,9,100.0,13,13,100.0,12,25,48.0,0,0.0,0.0,0,1,0,0,0,Matches
253,Ahmad Benali,ly LBY,MF,Crotone,it Serie A,25,1992,9.0,288,379,76.0,4934,1696,135,157,86.0,118,150,78.7,30,56,53.6,1,0.2,+0.8,5,31,10,0,42,Matches
254,Yohan Benalouane,tn TUN,DF,Leicester City,eng Premier League,30,1987,1.0,23,33,69.7,463,80,9,11,81.8,9,12,75.0,5,8,62.5,0,0.0,0.0,0,0,0,0,1,Matches
255,Marco Benassi,it ITA,MFFW,Fiorentina,it Serie A,22,1994,30.9,994,1322,75.2,16901,5625,484,591,81.9,391,503,77.7,97,172,56.4,3,3.2,-0.2,38,112,36,10,152,Matches
256,Medhi Benatia,ma MAR,DF,Juventus,it Serie A,30,1987,19.5,1251,1375,91.0,27239,7915,298,316,94.3,738,782,94.4,210,262,80.2,0,0.0,0.0,0,60,3,0,51,Matches
257,Lars Bender,de GER,DFMF,Leverkusen,de Bundesliga,28,1989,17.7,759,977,77.7,13202,5730,366,425,86.1,296,368,80.4,81,151,53.6,4,3.1,+0.9,20,65,19,6,103,Matches
258,Sven Bender,de GER,DF,Leverkusen,de Bundesliga,28,1989,26.1,1363,1573,86.6,28789,9367,390,429,90.9,731,807,90.6,229,318,72.0,0,0.4,-0.4,6,77,3,0,89,Matches
259,László Bénes,sk SVK,MF,M'Gladbach,de Bundesliga,19,1997,0.4,21,25,84.0,478,188,5,5,100.0,11,13,84.6,5,6,83.3,0,0.1,-0.1,2,4,3,0,6,Matches
260,Nicolas Benezet,fr FRA,FWMF,Guingamp,fr Ligue 1,26,1991,18.3,705,977,72.2,11681,3238,361,454,79.5,260,332,78.3,69,143,48.3,3,3.3,-0.3,38,53,21,3,75,Matches
261,Marcel Benger,de GER,MF,M'Gladbach,de Bundesliga,19,1998,0.0,1,1,100.0,30,0,0,0,,0,0,,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
262,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,24,1993,28.0,365,521,70.1,9911,6309,61,62,98.4,207,215,96.3,97,243,39.9,0,0.0,0.0,0,1,0,0,0,Matches
263,Charlison Benschop,cw CUW,MFFW,Hannover 96,de Bundesliga,27,1989,2.0,37,54,68.5,534,176,25,30,83.3,7,13,53.8,3,7,42.9,0,0.1,-0.1,2,4,0,0,8,Matches
264,Ramy Bensebaini,dz ALG,DF,Rennes,fr Ligue 1,22,1995,26.0,1039,1424,73.0,20183,7502,354,428,82.7,525,644,81.5,137,292,46.9,1,1.2,-0.2,8,73,13,8,99,Matches
265,Nabil Bentaleb,dz ALG,MF,Schalke 04,de Bundesliga,22,1994,11.2,438,545,80.4,8477,1658,168,192,87.5,206,237,86.9,60,100,60.0,3,0.7,+2.3,9,35,4,0,37,Matches
266,Rodrigo Bentancur,uy URU,MF,Juventus,it Serie A,20,1997,6.5,474,532,89.1,8866,1923,175,198,88.4,237,259,91.5,58,68,85.3,0,0.5,-0.5,10,42,4,0,37,Matches
267,Christian Benteke,be BEL,FW,Crystal Palace,eng Premier League,26,1990,24.9,390,660,59.1,5781,1125,217,334,65.0,125,234,53.4,23,42,54.8,5,2.7,+2.3,26,30,15,1,45,Matches
268,Karim Benzema,fr FRA,FW,Real Madrid,es La Liga,29,1987,23.9,716,868,82.5,10641,2122,447,525,85.1,202,245,82.4,50,59,84.7,10,5.6,+4.4,44,43,37,2,77,Matches
