,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
80,Nadiem Amiri,de GER,MFFW,Hoffenheim,de Bundesliga,20,1996,28,19,1744,19.4,2,3,2,0,0,4,0,0.10,0.15,0.26,0.10,0.26,2.7,2.7,3.1,5.8,0.14,0.16,0.30,0.14,0.30,Matches
81,Ethan Ampadu,wls WAL,DF,Chelsea,eng Premier League,16,2000,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
82,Nordin Amrabat,ma MAR,FW,Watford,eng Premier League,30,1987,3,3,198,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.01,0.07,0.08,0.01,0.08,Matches
83,Nordin Amrabat,ma MAR,FWMF,Leganés,es La Liga,30,1987,30,17,1623,18.0,2,4,2,0,0,6,1,0.11,0.22,0.33,0.11,0.33,3.2,3.2,3.1,6.3,0.18,0.17,0.35,0.18,0.35,Matches
84,Jon Ander Serantes,es ESP,GK,Leganés,es La Liga,27,1989,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
85,Joachim Andersen,dk DEN,DF,Sampdoria,it Serie A,21,1996,7,6,546,6.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,Matches
86,Felipe Anderson,br BRA,MFFW,Lazio,it Serie A,24,1993,21,9,1162,12.9,4,6,4,0,0,0,0,0.31,0.46,0.77,0.31,0.77,2.1,2.1,4.0,6.1,0.16,0.31,0.47,0.16,0.47,Matches
87,Florin Andone,ro ROU,FW,La Coruña,es La Liga,24,1993,29,16,1636,18.2,7,3,7,0,1,6,0,0.39,0.17,0.55,0.39,0.55,10.6,9.9,1.0,10.9,0.58,0.06,0.64,0.54,0.60,Matches
88,Nícolas Andrade,br BRA,GK,Hellas Verona,it Serie A,29,1988,36,36,3240,36.0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
89,Benjamin André,fr FRA,MF,Rennes,fr Ligue 1,26,1990,34,34,3011,33.5,3,3,3,0,0,11,1,0.09,0.09,0.18,0.09,0.18,3.7,3.7,1.7,5.4,0.11,0.05,0.16,0.11,0.16,Matches
