,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
1330,Maksym Koval,ua UKR,GKMF,La Coruña,es La Liga,24,1992,1.3,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,1,Matches
1331,Dawid Kownacki,pl POL,FW,Sampdoria,it Serie A,20,1997,9.1,9,6,0,6,3,4,11,36.4,7,200,45,22.5,19,76,105,8,0,0,8,1,10,5,0,Matches
1332,Vincent Koziello,fr FRA,MF,Nice,fr Ligue 1,21,1995,9.0,11,9,6,2,3,4,20,20.0,16,194,63,32.5,83,79,32,12,3,1,9,12,23,5,0,Matches
1333,Vincent Koziello,fr FRA,MF,Köln,de Bundesliga,21,1995,8.8,28,20,9,18,1,6,22,27.3,16,234,67,28.6,77,131,26,11,0,0,11,12,40,7,0,Matches
1334,Thomas Kraft,de GER,GK,Hertha BSC,de Bundesliga,29,1988,3.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
1335,Emil Krafth,se SWE,DF,Bologna,it Serie A,22,1994,10.5,21,14,12,8,1,10,24,41.7,14,138,43,31.2,80,40,18,20,5,0,15,8,29,33,1,Matches
1336,Oliver Kragl,de GER,MF,Crotone,it Serie A,27,1990,1.1,1,1,0,0,1,0,3,0.0,3,36,7,19.4,10,21,5,2,0,0,2,0,1,2,0,Matches
1337,Andrej Kramarić,hr CRO,FWMF,Hoffenheim,de Bundesliga,26,1991,24.8,5,3,3,2,0,1,10,10.0,9,365,76,20.8,68,184,113,15,0,0,15,8,13,11,0,Matches
1338,Christoph Kramer,de GER,MF,M'Gladbach,de Bundesliga,26,1991,23.9,82,63,38,33,11,34,77,44.2,43,505,141,27.9,161,286,58,40,5,0,35,21,103,46,0,Matches
1339,Ladislav Krejčí,cz CZE,FWDF,Bologna,it Serie A,25,1992,4.4,4,2,1,2,1,0,4,0.0,4,88,19,21.6,23,38,27,4,0,0,4,0,4,3,0,Matches
1340,Rene Krhin,si SVN,MF,Nantes,fr Ligue 1,27,1990,14.6,16,10,7,9,0,4,17,23.5,13,179,52,29.1,57,102,20,21,3,0,18,18,34,37,0,Matches
1341,Bojan Krkić,es ESP,FWMF,Alavés,es La Liga,26,1990,4.9,2,2,0,2,0,2,5,40.0,3,94,22,23.4,22,42,30,8,4,0,4,4,6,0,0,Matches
1342,Bojan Krkić,es ESP,FW,Stoke City,eng Premier League,26,1990,0.8,1,0,0,1,0,0,1,0.0,1,7,0,0.0,3,3,1,1,0,0,1,2,3,0,0,Matches
1343,Michael Krohn-Dehli,dk DEN,MF,La Coruña,es La Liga,34,1983,8.1,12,7,6,5,1,4,19,21.1,15,138,25,18.1,43,70,25,11,0,0,11,8,20,5,0,Matches
1344,Michael Krohn-Dehli,dk DEN,MFFW,Sevilla,es La Liga,34,1983,6.0,7,4,1,5,1,2,9,22.2,7,81,29,35.8,23,40,18,6,1,0,5,4,11,5,0,Matches
1345,Toni Kroos,de GER,MF,Real Madrid,es La Liga,27,1990,25.1,52,42,19,26,7,11,50,22.0,39,622,149,24.0,135,334,153,25,2,0,23,23,75,5,0,Matches
1346,Max Kruse,de GER,FW,Werder Bremen,de Bundesliga,29,1988,27.3,19,14,4,10,5,5,31,16.1,26,414,115,27.8,35,231,148,10,0,0,10,9,28,7,0,Matches
1347,Grzegorz Krychowiak,pl POL,MF,West Brom,eng Premier League,27,1990,18.2,48,30,18,25,5,20,55,36.4,35,387,106,27.4,140,204,43,21,4,0,17,46,94,30,1,Matches
1348,Lukas Kübler,de GER,DF,Freiburg,de Bundesliga,24,1992,12.8,28,12,16,10,2,6,17,35.3,11,141,39,27.7,74,58,9,19,5,1,14,11,39,68,0,Matches
1349,Jasmin Kurtić,si SVN,MF,SPAL,it Serie A,28,1989,16.0,29,18,14,12,3,8,22,36.4,14,288,74,25.7,76,151,61,19,2,0,17,15,44,14,0,Matches
1350,Jasmin Kurtić,si SVN,MFFW,Atalanta,it Serie A,28,1989,7.4,12,11,4,4,4,4,12,33.3,8,124,42,33.9,21,55,48,9,0,0,9,5,17,5,0,Matches
1351,Layvin Kurzawa,fr FRA,DF,Paris S-G,fr Ligue 1,24,1992,18.9,42,26,18,16,8,14,37,37.8,23,241,68,28.2,120,78,43,37,5,0,32,23,65,23,1,Matches
1352,Filip Kusić,rs SRB,DF,Köln,de Bundesliga,21,1996,0.2,0,0,0,0,0,0,1,0.0,1,7,0,0.0,5,2,0,0,0,0,0,0,0,1,0,Matches
1353,Zdravko Kuzmanović,rs SRB,MF,Málaga,es La Liga,29,1987,5.3,2,2,1,0,1,0,2,0.0,2,72,18,25.0,25,44,3,5,2,0,3,3,5,8,0,Matches
1354,Han Kwang-song,kp PRK,FW,Cagliari,it Serie A,18,1998,3.1,2,0,0,1,1,0,4,0.0,4,60,14,23.3,12,27,21,3,0,0,3,0,2,0,0,Matches
1355,Enock Kwateng,fr FRA,DF,Nantes,fr Ligue 1,20,1997,1.0,6,2,5,1,0,5,7,71.4,2,1,0,0.0,1,0,0,5,1,0,4,3,9,2,0,Matches
1356,Alberto de la Bella,es ESP,DF,Real Sociedad,es La Liga,31,1985,17.0,35,19,25,9,1,14,30,46.7,16,196,69,35.2,125,52,19,43,4,0,39,15,50,37,0,Matches
1357,Rajiv van La Parra,nl NED,FWMF,Huddersfield,eng Premier League,26,1991,23.7,47,25,20,22,5,11,42,26.2,31,482,153,31.7,155,228,99,30,1,0,29,19,66,12,0,Matches
1358,Brighton Labeau,mq MTQ,FW,Amiens,fr Ligue 1,21,1996,0.3,0,0,0,0,0,0,0,,0,9,2,22.2,0,2,7,0,0,0,0,0,0,0,0,Matches
1359,Gaëtan Laborde,fr FRA,FW,Bordeaux,fr Ligue 1,23,1994,10.6,7,3,1,3,3,1,5,20.0,4,224,66,29.5,17,79,128,4,0,0,4,4,11,8,0,Matches
1360,Alexandre Lacazette,fr FRA,FW,Arsenal,eng Premier League,26,1991,24.5,30,23,7,12,11,3,22,13.6,19,491,141,28.7,53,198,240,21,2,0,19,10,40,5,0,Matches
1361,Mehdi Lacen,dz ALG,MF,Getafe,es La Liga,33,1984,0.7,2,0,1,1,0,0,2,0.0,2,27,6,22.2,12,15,0,0,0,0,0,1,3,1,0,Matches
1362,Mehdi Lacen,dz ALG,MF,Málaga,es La Liga,33,1984,11.7,26,17,15,11,0,12,35,34.3,23,301,64,21.3,111,153,37,12,1,0,11,9,35,10,1,Matches
1363,Léo Lacroix,ch SUI,DF,Saint-Étienne,fr Ligue 1,25,1992,8.6,13,7,7,6,0,4,7,57.1,3,51,16,31.4,35,14,2,14,5,0,9,10,23,36,2,Matches
1364,Freddie Ladapo,eng ENG,FW,Crystal Palace,eng Premier League,24,1993,0.2,0,0,0,0,0,0,0,,0,3,2,66.7,0,0,3,0,0,0,0,0,0,0,0,Matches
1365,Alban Lafont,fr FRA,GK,Toulouse,fr Ligue 1,18,1999,38.0,0,0,0,0,0,0,5,0.0,5,0,0,,0,0,0,0,0,0,0,0,0,5,2,Matches
1366,Víctor Laguardia,es ESP,DF,Alavés,es La Liga,27,1989,17.0,18,10,13,3,2,12,21,57.1,9,96,29,30.2,79,16,1,36,17,0,19,21,39,83,0,Matches
1367,Konrad Laimer,at AUT,DFMF,RB Leipzig,de Bundesliga,20,1997,14.9,53,33,29,19,5,19,61,31.1,42,364,116,31.9,145,172,47,41,2,0,39,7,60,27,0,Matches
1368,Kenny Lala,fr FRA,DF,Strasbourg,fr Ligue 1,25,1991,30.3,67,40,46,19,2,16,42,38.1,26,351,107,30.5,193,121,37,43,12,1,31,42,109,47,1,Matches
1369,Adam Lallana,eng ENG,MFFW,Liverpool,eng Premier League,29,1988,3.4,4,3,3,0,1,1,6,16.7,5,56,17,30.4,16,22,18,6,0,0,6,5,9,3,0,Matches
1370,Eugenio Lamanna,it ITA,GK,Genoa,it Serie A,27,1989,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
1371,Érik Lamela,ar ARG,FWMF,Tottenham,eng Premier League,25,1992,9.4,28,17,10,8,10,7,20,35.0,13,174,61,35.1,31,78,65,10,2,0,8,8,36,5,0,Matches
1372,Ádám Lang,hu HUN,DF,Dijon,fr Ligue 1,24,1993,2.6,3,0,3,0,0,2,4,50.0,2,26,7,26.9,20,6,0,2,1,0,1,3,6,9,0,Matches
1373,Sebastian Langkamp,de GER,DF,Werder Bremen,de Bundesliga,29,1988,4.6,3,2,2,1,0,0,0,,0,38,11,28.9,19,17,2,10,6,0,4,6,9,20,0,Matches
1374,Sebastian Langkamp,de GER,DF,Hertha BSC,de Bundesliga,29,1988,10.6,15,8,8,7,0,7,11,63.6,4,79,21,26.6,49,29,1,14,7,0,7,19,34,63,0,Matches
1375,Manuel Lanzini,ar ARG,MFFW,West Ham,eng Premier League,24,1993,22.7,25,17,6,11,8,6,28,21.4,22,416,123,29.6,106,225,85,17,1,0,16,38,63,7,0,Matches
1376,Gianluca Lapadula,pe PER,FW,Genoa,it Serie A,27,1990,16.6,9,8,4,4,1,0,8,0.0,8,238,53,22.3,16,107,115,10,1,0,9,2,11,12,0,Matches
1377,Aymeric Laporte,es ESP,DF,Athletic Club,es La Liga,23,1994,19.0,42,24,31,11,0,13,28,46.4,15,147,55,37.4,94,49,4,25,13,2,12,18,60,74,2,Matches
1378,Aymeric Laporte,es ESP,DF,Manchester City,eng Premier League,23,1994,9.0,10,8,7,3,0,3,9,33.3,6,51,24,47.1,22,26,3,6,3,0,3,8,18,29,0,Matches
1379,Danilo Larangeira,br BRA,DF,Udinese,it Serie A,33,1984,30.8,35,21,26,8,1,11,25,44.0,14,255,85,33.3,161,85,9,65,41,4,24,19,54,176,2,Matches
1380,Kevin Lasagna,it ITA,FWMF,Udinese,it Serie A,24,1992,23.7,14,11,2,8,4,4,18,22.2,14,332,83,25.0,25,158,149,28,5,1,23,8,22,18,0,Matches
1381,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,eng Premier League,23,1993,32.5,38,18,23,14,1,10,16,62.5,6,218,72,33.0,146,60,12,48,26,1,22,34,72,293,2,Matches
1382,Paul Lasne,fr FRA,MF,Montpellier,fr Ligue 1,28,1989,34.0,66,43,35,28,3,19,51,37.3,32,548,158,28.8,162,326,60,42,5,0,37,44,110,16,0,Matches
1383,Borja Lasso,es ESP,MF,Sevilla,es La Liga,23,1994,0.6,4,1,3,1,0,1,1,100.0,0,24,12,50.0,5,16,3,3,0,0,3,2,6,1,0,Matches
1384,Toni Lato,es ESP,DF,Valencia,es La Liga,19,1997,8.9,31,15,23,6,2,11,27,40.7,16,178,63,35.4,90,68,20,23,2,0,21,8,39,17,0,Matches
1385,Danny Latza,de GER,MF,Mainz 05,de Bundesliga,27,1989,26.1,51,30,21,22,8,13,70,18.6,57,625,172,27.5,169,343,113,49,8,1,41,29,80,57,1,Matches
1386,Vincent Laurini,fr FRA,DF,Fiorentina,it Serie A,28,1989,17.9,32,24,13,14,5,11,31,35.5,20,251,82,32.7,137,91,23,41,4,0,37,8,40,59,1,Matches
1387,Wesley Lautoa,nc NCL,DFMF,Dijon,fr Ligue 1,29,1987,6.9,17,10,10,7,0,2,9,22.2,7,78,22,28.2,36,33,9,10,4,0,6,18,35,22,0,Matches
1388,Diego Laxalt,uy URU,DFMF,Genoa,it Serie A,24,1993,31.2,56,39,34,15,7,26,70,37.1,44,489,133,27.2,235,154,100,76,4,1,72,21,77,40,0,Matches
1389,Miguel Layún,mx MEX,DF,Sevilla,es La Liga,29,1988,13.2,23,9,11,10,2,9,28,32.1,19,206,47,22.8,111,77,18,37,3,0,34,12,35,31,0,Matches
1390,Achraf Lazaar,ma MAR,MFDF,Benevento,it Serie A,25,1992,5.3,13,10,11,2,0,4,15,26.7,11,109,30,27.5,50,30,29,7,1,0,6,3,16,10,0,Matches
1391,Valentino Lazaro,at AUT,MFFW,Hertha BSC,de Bundesliga,21,1996,20.7,31,24,11,11,9,13,43,30.2,30,538,128,23.8,155,254,129,31,2,0,29,12,43,37,0,Matches
1392,Darko Lazović,rs SRB,MFDF,Genoa,it Serie A,26,1990,13.8,22,15,16,6,0,6,15,40.0,9,176,44,25.0,65,81,30,13,1,0,12,11,33,12,0,Matches
1393,Manuel Lazzari,it ITA,DFMF,SPAL,it Serie A,23,1993,34.6,56,40,29,19,8,23,66,34.8,43,423,121,28.6,202,153,68,62,7,0,55,21,77,57,0,Matches
1394,Mickaël Le Bihan,fr FRA,FWMF,Nice,fr Ligue 1,27,1990,1.2,0,0,0,0,0,0,2,0.0,2,22,3,13.6,0,8,14,0,0,0,0,1,1,0,0,Matches
1395,Maxime Le Marchand,fr FRA,DF,Nice,fr Ligue 1,27,1989,28.2,50,34,35,12,3,17,39,43.6,22,253,86,34.0,149,81,23,67,16,0,51,42,92,70,1,Matches
1396,James Lea Siliki,cm CMR,MF,Rennes,fr Ligue 1,21,1996,20.2,25,14,8,16,1,4,26,15.4,22,386,97,25.1,116,197,73,23,2,0,21,23,48,14,0,Matches
1397,Mathew Leckie,au AUS,FWMF,Hertha BSC,de Bundesliga,26,1991,20.6,31,25,15,12,4,9,27,33.3,18,484,103,21.3,158,240,86,29,4,0,25,21,52,34,1,Matches
1398,Benjamin Lecomte,fr FRA,GK,Montpellier,fr Ligue 1,26,1991,38.0,0,0,0,0,0,0,1,0.0,1,0,0,,0,0,0,0,0,0,0,0,0,0,2,Matches
1399,Pierre Lees-Melou,fr FRA,MFFW,Nice,fr Ligue 1,24,1993,32.1,70,45,35,26,9,21,68,30.9,47,707,176,24.9,204,354,149,69,13,1,56,32,102,22,1,Matches
1400,Matthias Lehmann,de GER,MF,Köln,de Bundesliga,34,1983,16.8,30,16,12,16,2,8,21,38.1,13,233,67,28.8,103,118,12,20,7,0,13,12,42,31,0,Matches
1401,Lucas Leiva,br BRA,MF,Lazio,it Serie A,30,1987,32.0,107,74,49,51,7,38,113,33.6,75,658,253,38.4,255,355,48,42,6,0,36,43,150,55,0,Matches
1402,Florian Lejeune,fr FRA,DF,Newcastle Utd,eng Premier League,26,1991,23.4,43,24,36,6,1,20,33,60.6,13,236,87,36.9,174,56,6,41,18,1,23,55,98,198,0,Matches
1403,Iñigo Lekue,es ESP,DFFW,Athletic Club,es La Liga,24,1993,23.5,60,28,36,17,7,24,44,54.5,20,400,103,25.8,166,166,68,41,2,0,39,27,87,33,0,Matches
1404,Thomas Lemar,fr FRA,MFFW,Monaco,fr Ligue 1,21,1995,26.4,25,12,7,13,5,8,38,21.1,30,535,133,24.9,105,262,168,26,0,0,26,20,45,8,0,Matches
1405,Mario Lemina,ga GAB,MF,Southampton,eng Premier League,23,1993,19.1,67,52,31,28,8,19,38,50.0,19,310,122,39.4,113,151,46,19,7,1,12,33,100,43,1,Matches
1406,Mauricio Lemos,uy URU,DF,Sassuolo,it Serie A,21,1995,7.8,17,11,12,4,1,9,13,69.2,4,81,27,33.3,56,23,2,17,6,0,11,3,20,30,0,Matches
1407,Mauricio Lemos,uy URU,DFMF,Las Palmas,es La Liga,21,1995,14.0,18,11,15,3,0,6,19,31.6,13,114,45,39.5,73,40,1,23,15,0,8,17,35,45,1,Matches
1408,Dylan Lempereur,fr FRA,DF,Metz,fr Ligue 1,18,1998,1.6,5,3,2,2,1,1,5,20.0,4,30,7,23.3,22,7,1,1,1,0,0,1,6,5,1,Matches
1409,Clément Lenglet,fr FRA,DF,Sevilla,es La Liga,22,1995,33.3,56,40,32,24,0,14,34,41.2,20,253,92,36.4,155,95,3,61,29,2,32,30,86,118,0,Matches
1410,Aaron Lennon,eng ENG,FWMF,Everton,eng Premier League,30,1987,8.8,18,10,9,7,2,5,20,25.0,15,197,38,19.3,49,102,46,19,1,0,18,7,25,9,0,Matches
1411,Aaron Lennon,eng ENG,MF,Burnley,eng Premier League,30,1987,12.4,19,10,7,11,1,5,22,22.7,17,232,61,26.3,74,102,56,29,5,0,24,13,32,10,0,Matches
1412,Bernd Leno,de GER,GK,Leverkusen,de Bundesliga,25,1992,33.0,0,0,0,0,0,0,3,0.0,3,2,0,0.0,2,0,0,0,0,0,0,0,0,0,0,Matches
1413,Pedro León,es ESP,FWMF,Eibar,es La Liga,30,1986,10.3,4,3,1,3,0,0,7,0.0,7,183,45,24.6,33,78,72,20,1,0,19,6,10,4,0,Matches
1414,Sergio León,es ESP,FW,Betis,es La Liga,28,1989,22.0,10,7,2,6,2,4,14,28.6,10,310,91,29.4,21,133,156,18,0,0,18,5,15,3,0,Matches
1415,Lukas Lerager,dk DEN,MF,Bordeaux,fr Ligue 1,24,1993,36.5,95,67,38,46,11,29,108,26.9,79,809,221,27.3,215,442,152,65,13,0,52,54,149,43,0,Matches
1416,Mehdi Léris,fr FRA,MFFW,Chievo,it Serie A,19,1998,0.5,1,1,1,0,0,0,1,0.0,1,22,3,13.6,9,6,7,0,0,0,0,2,3,0,0,Matches
1417,Jefferson Lerma,co COL,MF,Levante,es La Liga,22,1994,23.7,57,39,30,25,2,12,36,33.3,24,358,103,28.8,131,193,34,45,11,0,34,38,95,31,0,Matches
1418,Maxime Lestienne,be BEL,MFFW,Málaga,es La Liga,25,1992,7.4,5,5,4,0,1,2,16,12.5,14,173,31,17.9,52,85,36,8,1,0,7,7,12,3,0,Matches
1419,Alexandre Letellier,fr FRA,GK,Angers,fr Ligue 1,26,1990,13.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
1420,Gaetano Letizia,it ITA,DF,Benevento,it Serie A,27,1990,23.8,42,29,27,13,2,20,57,35.1,37,317,85,26.8,171,105,41,41,5,0,36,28,70,30,3,Matches
1421,Timo Letschert,nl NED,DF,Sassuolo,it Serie A,24,1993,4.6,14,12,12,2,0,3,7,42.9,4,83,31,37.3,38,41,4,6,1,0,5,5,19,21,0,Matches
1422,Robert Lewandowski,pl POL,FW,Bayern Munich,de Bundesliga,28,1988,24.1,4,2,2,0,2,2,3,66.7,1,279,93,33.3,7,68,204,11,4,0,7,6,10,9,0,Matches
1423,Igor Lewczuk,pl POL,DF,Bordeaux,fr Ligue 1,32,1985,4.9,11,7,8,3,0,2,6,33.3,4,55,19,34.5,31,23,1,6,3,0,3,5,16,10,0,Matches
1424,Stephan Lichtsteiner,ch SUI,DF,Juventus,it Serie A,33,1984,18.9,36,21,17,15,4,12,27,44.4,15,225,65,28.9,103,79,43,25,2,0,23,11,47,23,0,Matches
1425,Dimitri Liénard,fr FRA,MF,Strasbourg,fr Ligue 1,29,1988,28.9,64,42,35,20,9,28,81,34.6,53,458,123,26.9,163,227,68,43,1,0,42,49,113,29,2,Matches
1426,Philipp Lienhart,at AUT,DF,Freiburg,de Bundesliga,21,1996,9.6,10,2,8,2,0,1,9,11.1,8,51,12,23.5,40,11,0,21,12,0,9,5,15,47,0,Matches
1427,Lucas Lima,br BRA,DFFW,Nantes,fr Ligue 1,25,1991,29.5,65,36,40,20,5,26,76,34.2,50,340,97,28.5,145,132,63,61,6,1,55,40,105,47,1,Matches
1428,Victor Lindelöf,se SWE,DF,Manchester Utd,eng Premier League,23,1994,14.3,19,10,10,8,1,10,15,66.7,5,159,58,36.5,93,62,4,19,11,1,8,27,46,65,1,Matches
1429,Karol Linetty,pl POL,MF,Sampdoria,it Serie A,22,1995,23.8,75,50,27,37,11,30,102,29.4,72,630,177,28.1,181,326,123,45,3,0,42,18,93,15,0,Matches
1430,Jesse Lingard,eng ENG,MFFW,Manchester Utd,eng Premier League,24,1992,20.2,28,19,9,12,7,10,30,33.3,20,563,145,25.8,87,290,186,26,5,0,21,14,42,13,0,Matches
1431,Pol Lirola,es ESP,DFMF,Sassuolo,it Serie A,19,1997,22.5,32,24,24,6,2,14,37,37.8,23,250,77,30.8,142,72,36,29,4,0,25,14,46,68,2,Matches
1432,Jake Livermore,eng ENG,MF,West Brom,eng Premier League,27,1989,29.7,74,43,25,33,16,28,71,39.4,43,592,177,29.9,178,287,127,49,10,0,39,41,115,34,1,Matches
1433,Raúl Lizoain,es ESP,GK,Las Palmas,es La Liga,26,1991,11.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
1434,Adem Ljajić,rs SRB,MFFW,Torino,it Serie A,25,1991,24.1,14,11,5,5,4,4,10,40.0,6,372,112,30.1,46,176,150,25,0,0,25,7,21,7,0,Matches
1435,Diego Llorente,es ESP,DF,Real Sociedad,es La Liga,23,1993,25.8,33,21,17,15,1,11,25,44.0,14,234,79,33.8,116,105,13,45,17,1,28,41,74,76,0,Matches
1436,Fernando Llorente,es ESP,FW,Tottenham,eng Premier League,32,1985,2.6,6,4,1,4,1,2,4,50.0,2,25,11,44.0,3,12,10,0,0,0,0,1,7,6,0,Matches
1437,Marcos Llorente,es ESP,MF,Real Madrid,es La Liga,22,1995,6.1,6,3,2,3,1,2,10,20.0,8,96,32,33.3,42,43,11,9,0,0,9,3,9,6,0,Matches
1438,Hugo Lloris,fr FRA,GK,Tottenham,eng Premier League,30,1986,36.0,0,0,0,0,0,0,3,0.0,3,7,0,0.0,7,0,0,0,0,0,0,0,0,4,4,Matches
1439,Giovani Lo Celso,ar ARG,MF,Paris S-G,fr Ligue 1,21,1996,19.7,68,59,25,29,14,18,53,34.0,35,421,135,32.1,127,190,104,35,5,0,30,20,88,3,0,Matches
1440,Simone Lo Faso,it ITA,FW,Fiorentina,it Serie A,19,1998,0.4,1,0,1,0,0,0,1,0.0,1,17,2,11.8,6,6,5,0,0,0,0,1,2,0,0,Matches
1441,Stanislav Lobotka,sk SVK,MF,Celta Vigo,es La Liga,22,1994,34.0,55,44,26,28,1,17,51,33.3,34,634,195,30.8,211,347,76,46,11,0,35,36,91,20,0,Matches
1442,Jürgen Locadia,nl NED,FWMF,Brighton,eng Premier League,23,1993,2.5,2,2,1,1,0,0,1,0.0,1,38,5,13.2,10,15,13,1,0,0,1,2,4,0,0,Matches
1443,Manuel Locatelli,it ITA,MF,Milan,it Serie A,19,1998,7.6,17,12,5,11,1,4,20,20.0,16,127,32,25.2,42,64,21,9,2,0,7,7,24,15,0,Matches
1444,Ruben Loftus-Cheek,eng ENG,MF,Crystal Palace,eng Premier League,21,1996,20.8,30,23,8,19,3,13,24,54.2,11,361,112,31.0,106,191,64,33,3,0,30,26,56,31,1,Matches
1445,Enzo Loiodice,fr FRA,MF,Dijon,fr Ligue 1,16,2000,1.9,7,4,4,3,0,4,5,80.0,1,17,5,29.4,3,10,4,1,0,0,1,1,8,1,0,Matches
1446,Joe Lolley,eng ENG,FWMF,Huddersfield,eng Premier League,24,1992,2.5,3,2,2,1,0,0,3,0.0,3,59,17,28.8,9,31,19,1,0,0,1,2,5,0,1,Matches
1447,David Lombán,es ESP,DF,Eibar,es La Liga,30,1987,11.0,14,8,8,5,1,6,11,54.5,5,66,22,33.3,39,25,2,14,6,0,8,15,29,39,1,Matches
1448,Cristiano Lombardi,it ITA,DFMF,Benevento,it Serie A,21,1995,12.4,31,25,18,10,3,3,20,15.0,17,234,54,23.1,90,101,43,20,3,0,17,13,44,15,0,Matches
1449,Kevin Long,ie IRL,DF,Burnley,eng Premier League,26,1990,16.0,31,19,25,6,0,9,23,39.1,14,173,56,32.4,113,57,3,37,17,0,20,25,56,190,1,Matches
1450,Shane Long,ie IRL,FW,Southampton,eng Premier League,30,1987,17.6,26,16,3,16,7,5,22,22.7,17,325,83,25.5,20,164,141,17,5,0,12,9,35,29,0,Matches
1451,Ademola Lookman,eng ENG,FWMF,Everton,eng Premier League,19,1997,1.8,3,2,1,2,0,2,4,50.0,2,58,15,25.9,17,29,12,4,0,0,4,2,5,0,0,Matches
1452,Ademola Lookman,eng ENG,MFFW,RB Leipzig,de Bundesliga,19,1997,6.4,4,3,3,1,0,1,4,25.0,3,89,30,33.7,17,48,24,5,0,0,5,3,7,1,0,Matches
1453,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,26,1990,34.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,1,0,0,1,0,0,0,0,Matches
1454,Rony Lopes,pt POR,FWMF,Monaco,fr Ligue 1,21,1995,28.1,46,26,13,19,14,11,60,18.3,49,562,153,27.2,103,262,197,41,0,0,41,18,64,9,1,Matches
1455,Pedro López Muñoz,es ESP,DF,Levante,es La Liga,33,1983,17.7,29,15,17,9,3,6,18,33.3,12,207,53,25.6,132,53,22,37,9,1,28,26,55,36,0,Matches
1456,Adrián López,es ESP,FWMF,La Coruña,es La Liga,29,1988,26.1,21,11,6,11,4,7,31,22.6,24,419,87,20.8,89,193,137,33,4,0,29,5,26,34,1,Matches
1457,Alberto López,es ESP,DF,Málaga,es La Liga,22,1995,0.5,0,0,0,0,0,0,0,,0,4,2,50.0,2,2,0,1,0,0,1,1,1,2,0,Matches
1458,Andoni López,es ESP,DF,Athletic Club,es La Liga,21,1996,1.0,0,0,0,0,0,0,3,0.0,3,17,7,41.2,11,3,3,2,0,0,2,1,1,1,0,Matches
1459,David López,es ESP,DFMF,Espanyol,es La Liga,27,1989,37.0,62,41,47,15,0,16,54,29.6,38,322,96,29.8,183,114,25,55,25,0,30,43,105,122,1,Matches
1460,Diego López,es ESP,GK,Espanyol,es La Liga,35,1981,9.5,0,0,0,0,0,0,1,0.0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
1461,Iván López,es ESP,DF,Levante,es La Liga,23,1993,1.9,2,1,0,1,1,1,1,100.0,0,7,3,42.9,1,3,3,4,2,0,2,9,11,0,0,Matches
1462,Javi López,es ESP,DF,Espanyol,es La Liga,31,1986,10.7,33,21,24,6,3,6,22,27.3,16,137,47,34.3,75,45,17,16,2,0,14,20,53,30,1,Matches
1463,Lisandro López,ar ARG,DF,Inter,it Serie A,27,1989,0.5,2,2,2,0,0,0,2,0.0,2,5,3,60.0,4,1,0,0,0,0,0,1,3,5,0,Matches
1464,Maxi López,ar ARG,FW,Udinese,it Serie A,33,1984,18.7,13,8,2,8,3,2,7,28.6,5,210,61,29.0,10,108,92,12,1,0,11,1,14,17,0,Matches
1465,Maxime Lopez,fr FRA,MF,Marseille,fr Ligue 1,19,1997,15.3,24,18,10,9,5,9,39,23.1,30,245,84,34.3,65,119,61,18,0,0,18,7,31,9,0,Matches
1466,Pau López,es ESP,GK,Espanyol,es La Liga,22,1994,28.5,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,Matches
1467,Pedro López,es ESP,GK,Betis,es La Liga,22,1995,4.6,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
1468,Víctor López,es ESP,MFFW,Alavés,es La Liga,20,1997,0.7,1,1,0,1,0,0,3,0.0,3,16,3,18.8,4,7,5,3,0,0,3,0,1,0,0,Matches
1469,Jonas Lössl,dk DEN,GK,Huddersfield,eng Premier League,28,1989,38.0,0,0,0,0,0,0,4,0.0,4,12,3,25.0,12,0,0,0,0,0,0,0,0,2,3,Matches
1470,Dejan Lovren,hr CRO,DF,Liverpool,eng Premier League,28,1989,23.6,32,17,17,12,3,14,26,53.8,12,162,70,43.2,98,57,7,32,15,0,17,52,84,215,3,Matches
1471,Chris Löwe,de GER,DF,Huddersfield,eng Premier League,28,1989,17.6,42,15,26,13,3,21,47,44.7,26,219,54,24.7,130,66,23,37,10,2,27,35,77,73,1,Matches
1472,Matthew Lowton,eng ENG,DF,Burnley,eng Premier League,28,1989,25.5,56,32,25,28,3,30,72,41.7,42,293,93,31.7,144,117,32,71,17,1,54,46,102,145,0,Matches
