,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
231,Ben Johnson,eng ENG,DF,West Ham,22-054,2000,15,13,1116,12.4,1,0,1,0,0,1,0,0.08,0.00,0.08,0.08,0.08,0.1,0.1,0.6,0.7,0.01,0.05,0.05,0.01,0.05,Matches
232,Curtis Jones,eng ENG,MF,Liverpool,21-048,2001,12,7,639,7.1,1,1,1,0,0,0,0,0.14,0.14,0.28,0.14,0.28,0.7,0.7,0.4,1.1,0.09,0.06,0.15,0.09,0.15,Matches
233,Phil Jones,eng ENG,DF,Manchester Utd,30-026,1992,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02,Matches
234,Jorginho,it ITA,MF,Chelsea,30-089,1991,24,21,1868,20.8,6,2,0,6,6,4,0,0.29,0.10,0.39,0.00,0.10,5.0,0.4,2.4,2.8,0.24,0.12,0.36,0.02,0.14,Matches
235,Diogo Jota,pt POR,FW,Liverpool,25-105,1996,26,20,1750,19.4,13,1,13,0,0,2,0,0.67,0.05,0.72,0.67,0.72,13.0,13.0,4.1,17.1,0.67,0.21,0.88,0.67,0.88,Matches
236,James Justin,eng ENG,DF,Leicester City,24-024,1998,5,3,278,3.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.11,0.11,0.00,0.11,Matches
237,Mathias Jørgensen,dk DEN,DF,Brentford,31-330,1990,7,5,428,4.8,1,0,1,0,0,2,0,0.21,0.00,0.21,0.21,0.21,0.1,0.1,0.1,0.2,0.02,0.02,0.04,0.02,0.04,Matches
238,Ozan Kabak,tr TUR,DF,Norwich City,21-359,2000,11,11,922,10.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.02,0.00,0.02,0.02,0.02,Matches
239,Christian Kabasele,be BEL,DF,Watford,31-023,1991,8,4,473,5.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.06,0.01,0.07,0.06,0.07,Matches
240,Samuel Kalu,ng NGA,FWMF,Watford,24-205,1997,2,0,47,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04,Matches
241,Hassane Kamara,ci CIV,DF,Watford,27-181,1994,11,11,983,10.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.4,0.01,0.03,0.04,0.01,0.04,Matches
242,Harry Kane,eng ENG,FW,Tottenham,28-234,1993,27,26,2332,25.9,12,3,10,2,2,3,0,0.46,0.12,0.58,0.39,0.50,14.0,12.5,5.4,17.9,0.54,0.21,0.75,0.48,0.69,Matches
243,N'Golo Kanté,fr FRA,MF,Chelsea,30-355,1991,19,14,1197,13.3,2,3,2,0,0,1,0,0.15,0.23,0.38,0.15,0.38,1.2,1.2,1.5,2.7,0.09,0.11,0.20,0.09,0.20,Matches
244,Edo Kayembe,cd COD,MF,Watford,23-228,1998,7,5,415,4.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.01,0.05,0.06,0.01,0.06,Matches
245,Moise Kean,it ITA,FW,Everton,22-019,2000,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
246,Michael Keane,eng ENG,DF,Everton,29-067,1993,25,25,2205,24.5,2,2,2,0,0,1,0,0.08,0.08,0.16,0.08,0.16,0.9,0.9,0.6,1.5,0.04,0.02,0.06,0.04,0.06,Matches
247,Naby Keïta,gn GUI,MF,Liverpool,27-037,1995,15,10,830,9.2,2,1,2,0,0,1,0,0.22,0.11,0.33,0.22,0.33,1.2,1.2,1.1,2.4,0.13,0.12,0.26,0.13,0.26,Matches
248,Caoimhín Kelleher,ie IRL,GK,Liverpool,23-116,1998,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
249,Jonjoe Kenny,eng ENG,DF,Everton,25-004,1997,9,8,703,7.8,0,1,0,0,0,3,1,0.00,0.13,0.13,0.00,0.13,0.3,0.3,0.3,0.5,0.04,0.03,0.07,0.04,0.07,Matches
250,Max Kilman,eng ENG,DF,Wolves,24-300,1997,28,28,2507,27.9,1,0,1,0,0,3,0,0.04,0.00,0.04,0.04,0.04,1.0,1.0,0.0,1.0,0.03,0.00,0.04,0.03,0.04,Matches
251,Joshua King,no NOR,FW,Watford,30-063,1992,26,24,1967,21.9,5,3,4,1,1,4,0,0.23,0.14,0.37,0.18,0.32,7.7,6.9,3.1,10.0,0.35,0.14,0.49,0.32,0.46,Matches
252,Kristoffer Klaesson,no NOR,GK,Leeds United,21-112,2000,1,0,36,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
253,Mateusz Klich,pl POL,MF,Leeds United,31-279,1990,25,20,1650,18.3,1,2,1,0,0,4,0,0.05,0.11,0.16,0.05,0.16,2.3,2.3,2.0,4.4,0.13,0.11,0.24,0.13,0.24,Matches
254,Robin Koch,de GER,MFDF,Leeds United,25-245,1996,13,11,1012,11.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.5,1.0,0.04,0.05,0.09,0.04,0.09,Matches
255,Sead Kolašinac,ba BIH,DF,Arsenal,28-272,1993,2,1,91,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
256,Ibrahima Konaté,fr FRA,DF,Liverpool,22-298,1999,8,8,720,8.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.01,0.03,0.01,0.03,Matches
257,Ezri Konsa,eng ENG,DF,Aston Villa,24-147,1997,22,22,1888,21.0,2,0,2,0,0,5,2,0.10,0.00,0.10,0.10,0.10,1.4,1.4,0.3,1.7,0.07,0.01,0.08,0.07,0.08,Matches
258,Cheikhou Kouyaté,sn SEN,MF,Crystal Palace,32-088,1989,22,19,1665,18.5,0,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,0.5,0.5,0.7,1.2,0.03,0.04,0.06,0.03,0.06,Matches
259,Mateo Kovačić,hr CRO,MF,Chelsea,27-317,1994,20,13,1277,14.2,2,5,2,0,0,4,0,0.14,0.35,0.49,0.14,0.49,1.3,1.3,2.8,4.0,0.09,0.20,0.28,0.09,0.28,Matches
260,Emil Krafth,se SWE,DF,Newcastle Utd,27-229,1994,13,11,1033,11.5,0,1,0,0,0,4,0,0.00,0.09,0.09,0.00,0.09,0.2,0.2,0.6,0.8,0.02,0.05,0.07,0.02,0.07,Matches
261,Alex Král,cz CZE,MF,West Ham,23-304,1998,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
262,Tim Krul,nl NED,GK,Norwich City,33-350,1988,22,22,1980,22.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.02,0.02,0.00,0.02,Matches
263,Juraj Kucka,sk SVK,MF,Watford,35-021,1987,22,18,1586,17.6,1,1,1,0,0,4,1,0.06,0.06,0.11,0.06,0.11,2.0,2.0,1.0,3.0,0.12,0.06,0.17,0.12,0.17,Matches
264,Dejan Kulusevski,se SWE,MFFW,Tottenham,21-328,2000,8,6,591,6.6,2,4,2,0,0,1,0,0.30,0.61,0.91,0.30,0.91,2.2,2.2,1.8,4.0,0.34,0.27,0.61,0.34,0.61,Matches
265,Alexandre Lacazette,fr FRA,FWMF,Arsenal,30-295,1991,22,17,1452,16.1,4,7,2,2,3,0,0,0.25,0.43,0.68,0.12,0.56,7.6,5.3,1.9,7.2,0.47,0.12,0.59,0.33,0.44,Matches
266,Adam Lallana,eng ENG,MF,Brighton,33-313,1988,21,18,1514,16.8,0,1,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,1.2,1.2,0.7,1.9,0.07,0.04,0.11,0.07,0.11,Matches
267,Tariq Lamptey,eng ENG,DFFW,Brighton,21-170,2000,22,13,1277,14.2,0,2,0,0,0,2,0,0.00,0.14,0.14,0.00,0.14,0.6,0.6,1.8,2.4,0.04,0.13,0.17,0.04,0.17,Matches
268,Manuel Lanzini,ar ARG,MF,West Ham,29-032,1993,22,12,1240,13.8,4,2,2,2,2,2,0,0.29,0.15,0.44,0.15,0.29,2.5,1.0,1.9,2.9,0.18,0.14,0.32,0.07,0.21,Matches
269,Aymeric Laporte,es ESP,DF,Manchester City,27-296,1994,24,24,2080,23.1,3,0,3,0,0,5,1,0.13,0.00,0.13,0.13,0.13,3.5,3.5,0.3,3.8,0.15,0.01,0.16,0.15,0.16,Matches
270,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,28-128,1993,20,19,1695,18.8,1,0,1,0,0,5,0,0.05,0.00,0.05,0.05,0.05,0.7,0.7,0.3,0.9,0.04,0.01,0.05,0.04,0.05,Matches
271,Pierre Lees-Melou,fr FRA,MF,Norwich City,28-298,1993,24,18,1606,17.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,1.3,2.4,0.06,0.07,0.14,0.06,0.14,Matches
272,Aaron Lennon,eng ENG,MFFW,Burnley,34-337,1987,18,12,1073,11.9,2,0,2,0,0,2,0,0.17,0.00,0.17,0.17,0.17,0.7,0.7,0.3,0.9,0.06,0.02,0.08,0.06,0.08,Matches
273,Bernd Leno,de GER,GK,Arsenal,30-015,1992,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
274,Jamal Lewis,nir NIR,DF,Newcastle Utd,24-053,1998,5,4,262,2.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
275,Victor Lindelöf,se SWE,DF,Manchester Utd,27-245,1994,20,18,1635,18.2,0,2,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,0.2,0.2,0.5,0.7,0.01,0.03,0.04,0.01,0.04,Matches
276,Jesse Lingard,eng ENG,FW,Manchester Utd,29-094,1992,13,1,210,2.3,2,0,2,0,0,1,0,0.86,0.00,0.86,0.86,0.86,0.3,0.3,0.2,0.5,0.15,0.08,0.23,0.15,0.23,Matches
277,Valentino Livramento,eng ENG,DF,Southampton,19-127,2002,23,22,1995,22.2,1,1,1,0,0,2,0,0.05,0.05,0.09,0.05,0.09,1.1,1.1,2.1,3.2,0.05,0.09,0.15,0.05,0.15,Matches
278,Diego Llorente,es ESP,DF,Leeds United,28-215,1993,21,21,1710,19.0,2,0,2,0,0,6,0,0.11,0.00,0.11,0.11,0.11,0.8,0.8,0.1,0.9,0.04,0.00,0.05,0.04,0.05,Matches
279,Hugo Lloris,fr FRA,GK,Tottenham,35-083,1986,28,28,2520,28.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.5,0.00,0.02,0.02,0.00,0.02,Matches
280,Giovani Lo Celso,ar ARG,MFFW,Tottenham,25-344,1996,9,2,238,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.6,1.4,0.28,0.24,0.52,0.28,0.52,Matches
281,Jürgen Locadia,nl NED,FW,Brighton,28-132,1993,1,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.45,0.00,0.45,0.45,0.45,Matches
282,Ruben Loftus-Cheek,eng ENG,MF,Chelsea,26-055,1996,15,7,780,8.7,0,2,0,0,0,1,0,0.00,0.23,0.23,0.00,0.23,0.9,0.9,0.9,1.8,0.11,0.10,0.21,0.11,0.21,Matches
283,Shane Long,ie IRL,FWMF,Southampton,35-056,1987,8,1,140,1.6,1,0,1,0,0,0,0,0.64,0.00,0.64,0.64,0.64,0.5,0.5,0.0,0.6,0.34,0.03,0.37,0.34,0.37,Matches
284,Sean Longstaff,eng ENG,MF,Newcastle Utd,24-140,1997,18,11,1100,12.2,1,1,1,0,0,1,0,0.08,0.08,0.16,0.08,0.16,1.1,1.1,0.4,1.5,0.09,0.03,0.12,0.09,0.12,Matches
285,Ademola Lookman,eng ENG,FWMF,Leicester City,24-150,1997,19,12,1139,12.7,4,0,4,0,0,2,0,0.32,0.00,0.32,0.32,0.32,3.8,3.8,1.8,5.6,0.30,0.14,0.44,0.30,0.44,Matches
286,Jonas Lössl,dk DEN,GK,Brentford,33-046,1989,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
287,Imran Louza,ma MAR,MF,Watford,22-322,1999,15,12,995,11.1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.8,1.2,0.04,0.07,0.11,0.04,0.11,Matches
288,Matthew Lowton,eng ENG,DF,Burnley,32-283,1989,18,17,1515,16.8,1,2,1,0,0,2,0,0.06,0.12,0.18,0.06,0.18,0.5,0.5,1.2,1.8,0.03,0.07,0.10,0.03,0.10,Matches
289,Douglas Luiz,br BRA,MF,Aston Villa,23-314,1998,24,23,1973,21.9,1,3,1,0,0,6,0,0.05,0.14,0.18,0.05,0.18,1.2,1.2,2.0,3.2,0.06,0.09,0.15,0.06,0.15,Matches
290,Romelu Lukaku,be BEL,FW,Chelsea,28-310,1993,19,12,1212,13.5,5,0,5,0,0,0,0,0.37,0.00,0.37,0.37,0.37,4.5,4.5,2.2,6.7,0.34,0.16,0.50,0.34,0.50,Matches
291,Lyanco,br BRA,DF,Southampton,25-046,1997,11,5,551,6.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.03,0.02,0.05,0.03,0.05,Matches
292,Alexis Mac Allister,ar ARG,MFFW,Brighton,23-085,1998,24,13,1337,14.9,4,2,3,1,1,3,0,0.27,0.13,0.40,0.20,0.34,3.3,2.6,1.1,3.7,0.23,0.08,0.30,0.17,0.25,Matches
293,James Maddison,eng ENG,MFFW,Leicester City,25-116,1996,25,19,1629,18.1,7,3,7,0,0,2,0,0.39,0.17,0.55,0.39,0.55,5.5,5.5,2.7,8.2,0.30,0.15,0.45,0.30,0.45,Matches
294,Harry Maguire,eng ENG,DF,Manchester Utd,29-014,1993,24,23,2044,22.7,1,0,1,0,0,9,1,0.04,0.00,0.04,0.04,0.04,1.4,1.4,0.0,1.5,0.06,0.00,0.07,0.06,0.07,Matches
295,Riyad Mahrez,dz ALG,FW,Manchester City,31-026,1991,22,12,1213,13.5,10,4,6,4,4,0,0,0.74,0.30,1.04,0.45,0.74,8.2,5.2,3.2,8.3,0.61,0.23,0.84,0.38,0.62,Matches
296,Ainsley Maitland-Niles,eng ENG,MF,Arsenal,24-202,1997,8,2,268,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.4,0.01,0.12,0.13,0.01,0.13,Matches
297,Sadio Mané,sn SEN,FW,Liverpool,29-343,1992,26,25,2227,24.7,12,1,12,0,0,3,0,0.48,0.04,0.53,0.48,0.53,14.4,14.4,3.6,17.9,0.58,0.15,0.73,0.58,0.73,Matches
298,Javier Manquillo,es ESP,DF,Newcastle Utd,27-318,1994,18,14,1199,13.3,1,2,1,0,0,5,0,0.08,0.15,0.23,0.08,0.23,0.5,0.5,0.3,0.8,0.04,0.03,0.06,0.04,0.06,Matches
299,Fernando Marçal,br BRA,DF,Wolves,33-028,1989,16,15,1274,14.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.5,1.0,0.04,0.03,0.07,0.04,0.07,Matches
300,Solly March,eng ENG,DFFW,Brighton,27-242,1994,23,11,1239,13.8,0,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,1.0,1.0,1.8,2.8,0.07,0.13,0.21,0.07,0.21,Matches
301,Pablo Marí,es ESP,DF,Arsenal,28-200,1993,2,2,180,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.15,0.05,0.21,0.15,0.21,Matches
302,Anthony Martial,fr FRA,FW,Manchester Utd,26-104,1995,8,2,212,2.4,1,0,1,0,0,0,0,0.42,0.00,0.42,0.42,0.42,0.4,0.4,0.1,0.6,0.19,0.06,0.25,0.19,0.25,Matches
303,Martinelli,br BRA,FWMF,Arsenal,20-274,2001,19,15,1246,13.8,5,3,5,0,0,3,1,0.36,0.22,0.58,0.36,0.58,4.3,4.3,1.5,5.9,0.31,0.11,0.42,0.31,0.42,Matches
304,Emiliano Martínez,ar ARG,GK,Aston Villa,29-198,1992,27,27,2430,27.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
305,Adam Masina,ma MAR,DF,Watford,28-076,1994,11,11,866,9.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.5,0.7,0.02,0.05,0.08,0.02,0.08,Matches
306,Arthur Masuaku,cd COD,DFFW,West Ham,28-132,1993,11,4,505,5.6,1,1,1,0,0,1,0,0.18,0.18,0.36,0.18,0.36,0.1,0.1,0.9,1.0,0.02,0.16,0.17,0.02,0.17,Matches
307,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,24-264,1997,14,7,652,7.2,3,1,3,0,0,1,0,0.41,0.14,0.55,0.41,0.55,2.5,2.5,1.1,3.6,0.34,0.15,0.50,0.34,0.50,Matches
308,Nemanja Matić,rs SRB,MF,Manchester Utd,33-230,1988,15,10,916,10.2,0,2,0,0,0,2,0,0.00,0.20,0.20,0.00,0.20,0.1,0.1,0.9,1.0,0.01,0.08,0.10,0.01,0.10,Matches
309,Joël Matip,cm CMR,DF,Liverpool,30-223,1991,23,23,2070,23.0,1,2,1,0,0,1,0,0.04,0.09,0.13,0.04,0.13,1.9,1.9,0.8,2.7,0.08,0.03,0.12,0.08,0.12,Matches
310,Neal Maupay,fr FRA,FW,Brighton,25-217,1996,27,23,2047,22.7,8,2,7,1,1,6,0,0.35,0.09,0.44,0.31,0.40,6.2,5.4,2.1,7.5,0.27,0.09,0.36,0.24,0.33,Matches
311,Bryan Mbeumo,fr FRA,FW,Brentford,22-224,1999,26,25,2139,23.8,3,3,2,1,1,4,0,0.13,0.13,0.25,0.08,0.21,6.7,6.0,2.2,8.2,0.28,0.09,0.38,0.25,0.34,Matches
312,James McArthur,sct SCO,MF,Crystal Palace,34-163,1987,15,13,1165,12.9,0,2,0,0,0,3,0,0.00,0.15,0.15,0.00,0.15,0.3,0.3,0.9,1.2,0.02,0.07,0.09,0.02,0.09,Matches
313,James Mcatee,eng ENG,MFFW,Manchester City,19-152,2002,2,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.19,0.00,0.19,0.19,0.19,Matches
314,Kasey McAteer,eng ENG,FW,Leicester City,20-117,2001,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
315,Liam McCarron,sct SCO,FW,Leeds United,21-012,2001,1,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
316,Alex McCarthy,eng ENG,GK,Southampton,32-106,1989,15,15,1350,15.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
317,John McGinn,sct SCO,MF,Aston Villa,27-152,1994,25,25,2190,24.3,3,2,3,0,0,6,0,0.12,0.08,0.21,0.12,0.21,1.2,1.2,3.3,4.5,0.05,0.13,0.18,0.05,0.18,Matches
318,Stuart McKinstry,sct SCO,MF,Leeds United,19-182,2002,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
319,Kenny McLean,sct SCO,MF,Norwich City,30-070,1992,27,25,2365,26.3,1,0,1,0,0,2,0,0.04,0.00,0.04,0.04,0.04,1.8,1.8,0.5,2.3,0.07,0.02,0.09,0.07,0.09,Matches
320,Dwight McNeil,eng ENG,MF,Burnley,22-117,1999,27,26,2343,26.0,0,1,0,0,0,1,0,0.00,0.04,0.04,0.00,0.04,1.6,1.6,3.1,4.7,0.06,0.12,0.18,0.06,0.18,Matches
321,Scott McTominay,sct SCO,MF,Manchester Utd,25-101,1996,24,22,1883,20.9,1,1,1,0,0,8,0,0.05,0.05,0.10,0.05,0.10,0.9,0.9,1.4,2.2,0.04,0.07,0.11,0.04,0.11,Matches
322,Ben Mee,eng ENG,DF,Burnley,32-177,1989,21,21,1839,20.4,3,0,3,0,0,3,0,0.15,0.00,0.15,0.15,0.15,1.8,1.8,0.1,1.9,0.09,0.00,0.09,0.09,0.09,Matches
323,Benjamin Mendy,fr FRA,DF,Manchester City,27-245,1994,1,1,78,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.30,0.30,0.00,0.30,Matches
324,Edouard Mendy,sn SEN,GK,Chelsea,30-018,1992,24,24,2160,24.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
325,Nampalys Mendy,sn SEN,MF,Leicester City,29-269,1992,2,1,75,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
326,Illan Meslier,fr FRA,GK,Leeds United,22-017,2000,30,30,2664,29.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
327,Luka Milivojević,rs SRB,MF,Crystal Palace,30-346,1991,12,8,652,7.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.6,0.8,0.03,0.08,0.12,0.03,0.12,Matches
328,James Milner,eng ENG,MFDF,Liverpool,36-074,1986,19,7,635,7.1,0,1,0,0,0,2,0,0.00,0.14,0.14,0.00,0.14,0.2,0.2,1.4,1.7,0.03,0.20,0.24,0.03,0.24,Matches
329,Yerry Mina,co COL,DF,Everton,27-177,1994,10,8,649,7.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.04,0.00,0.04,0.04,0.04,Matches
330,Takumi Minamino,jp JPN,FWMF,Liverpool,27-062,1995,10,0,96,1.1,2,0,2,0,0,1,0,1.87,0.00,1.87,1.87,1.87,1.5,1.5,0.4,1.9,1.40,0.42,1.82,1.40,1.82,Matches
331,Tyrone Mings,eng ENG,DF,Aston Villa,29-006,1993,26,25,2289,25.4,1,3,1,0,0,8,0,0.04,0.12,0.16,0.04,0.16,1.2,1.2,1.2,2.4,0.05,0.05,0.09,0.05,0.09,Matches
332,Tyrick Mitchell,eng ENG,DF,Crystal Palace,22-199,1999,29,29,2600,28.9,0,2,0,0,0,0,0,0.00,0.07,0.07,0.00,0.07,0.3,0.3,1.2,1.4,0.01,0.04,0.05,0.01,0.05,Matches
333,Jakub Moder,pl POL,MFFW,Brighton,22-346,1999,27,19,1696,18.8,0,3,0,0,0,1,0,0.00,0.16,0.16,0.00,0.16,2.4,2.4,1.7,4.1,0.13,0.09,0.22,0.13,0.22,Matches
334,Wesley Moraes,br BRA,FW,Aston Villa,25-113,1996,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
335,Tyler Morton,eng ENG,MF,Liverpool,19-139,2002,2,1,66,0.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
336,Mason Mount,eng ENG,MFFW,Chelsea,23-068,1999,24,19,1667,18.5,8,7,7,1,1,2,0,0.43,0.38,0.81,0.38,0.76,6.7,6.0,4.7,10.7,0.36,0.26,0.62,0.32,0.58,Matches
337,Lucas Moura,br BRA,FWMF,Tottenham,29-218,1992,25,17,1540,17.1,2,4,2,0,0,3,0,0.12,0.23,0.35,0.12,0.35,3.3,3.3,3.1,6.4,0.20,0.18,0.37,0.20,0.37,Matches
338,João Moutinho,pt POR,MF,Wolves,35-192,1986,27,26,2256,25.1,2,1,2,0,0,2,0,0.08,0.04,0.12,0.08,0.12,0.8,0.8,2.2,3.0,0.03,0.09,0.12,0.03,0.12,Matches
339,Bali Mumba,eng ENG,DF,Norwich City,20-162,2001,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
340,Jacob Murphy,eng ENG,DFFW,Newcastle Utd,27-023,1995,24,12,1219,13.5,1,1,1,0,0,4,0,0.07,0.07,0.15,0.07,0.15,2.1,2.1,1.7,3.7,0.15,0.12,0.28,0.15,0.28,Matches
341,Enock Mwepu,zm ZAM,MF,Brighton,24-077,1998,11,7,639,7.1,1,3,1,0,0,1,0,0.14,0.42,0.56,0.14,0.56,1.4,1.4,1.1,2.5,0.20,0.16,0.36,0.20,0.36,Matches
342,Vitaliy Mykolenko,ua UKR,DF,Everton,22-294,1999,3,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.10,0.10,0.00,0.10,Matches
343,Marvelous Nakamba,zw ZIM,MF,Aston Villa,28-059,1994,12,8,758,8.4,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches
344,Wilfred Ndidi,ng NGA,MFDF,Leicester City,25-093,1996,19,18,1618,18.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.0,1.0,0.06,0.00,0.06,0.06,0.06,Matches
345,Tanguy Ndombele,fr FRA,MF,Tottenham,25-081,1996,9,6,484,5.4,1,1,1,0,0,1,0,0.19,0.19,0.37,0.19,0.37,0.5,0.5,0.4,0.9,0.09,0.07,0.16,0.09,0.16,Matches
346,Reiss Nelson,eng ENG,FW,Arsenal,22-099,1999,1,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.16,0.18,0.35,0.16,0.35,Matches
