Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
483,Ángel Rodríguez,es ESP,FWMF,Mallorca,34-328,1987,12.3,17,8,7,8,2,1,9,11.1,8,209,43,20.6,31,104,74,10,1,0,9,2,19,9,0,Matches
484,Dani Rodríguez,es ESP,FWMF,Mallorca,33-287,1988,24.8,34,27,15,13,6,7,29,24.1,22,473,126,26.6,97,256,120,22,2,0,20,29,63,10,0,Matches
485,Guido Rodríguez,ar ARG,MF,Betis,27-342,1994,19.1,62,41,27,32,3,31,67,46.3,36,428,119,27.8,149,239,40,44,9,0,35,37,99,43,0,Matches
486,Rodrygo,br BRA,FW,Real Madrid,21-070,2001,8.7,13,9,7,2,4,2,9,22.2,7,162,39,24.1,36,63,63,13,0,0,13,12,25,1,0,Matches
487,Leonardo Román,es ESP,GK,Mallorca,21-257,2000,2.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
488,Iván Romero,es ESP,FW,Sevilla,20-344,2001,1.9,1,1,0,1,0,0,0,,0,51,14,27.5,2,18,31,2,0,0,2,3,4,0,0,Matches
489,Rubén,es ESP,DF,Espanyol,21-044,2001,0.2,1,0,0,1,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,1,4,0,Matches
490,Aitor Ruibal,es ESP,FWDF,Betis,25-363,1996,7.5,24,15,14,5,5,9,28,32.1,19,160,42,26.3,55,67,38,9,0,0,9,14,38,3,0,Matches
491,Isma Ruiz,es ESP,MF,Granada,21-034,2001,3.0,3,1,3,0,0,3,8,37.5,5,73,26,35.6,39,31,3,7,3,0,4,7,10,3,0,Matches
492,Víctor Ruiz,es ESP,DF,Betis,33-054,1989,13.8,11,6,5,4,2,4,6,66.7,2,77,31,40.3,38,33,6,24,11,0,13,36,47,59,2,Matches
493,Gerónimo Rulli,ar ARG,GK,Villarreal,29-304,1992,25.0,0,0,0,0,0,0,3,0.0,3,4,0,0.0,4,0,0,0,0,0,0,0,0,0,4,Matches
494,Franco Russo,ar ARG,DF,Mallorca,27-146,1994,14.4,19,12,11,7,1,4,14,28.6,10,107,36,33.6,60,42,5,26,12,0,14,34,53,63,2,Matches
495,Mathew Ryan,au AUS,GK,Real Sociedad,29-346,1992,3.0,0,0,0,0,0,0,0,,0,1,1,100.0,1,0,0,0,0,0,0,0,0,0,0,Matches
496,Youssouf Sabaly,sn SEN,DF,Betis,29-015,1993,3.0,2,1,2,0,0,1,2,50.0,1,22,6,27.3,9,8,5,8,0,0,8,10,12,4,0,Matches
497,Salvi,es ESP,MF,Cádiz,30-355,1991,14.6,17,10,7,8,2,3,16,18.8,13,225,52,23.1,54,111,60,22,2,0,20,7,24,21,0,Matches
498,Fede San Emeterio,es ESP,MF,Cádiz,25-004,1997,5.5,13,9,5,8,0,3,6,50.0,3,126,45,35.7,42,79,5,1,0,0,1,4,17,3,0,Matches
499,Oihan Sancet,es ESP,FW,Athletic Club,21-329,2000,14.3,18,11,3,10,5,4,6,66.7,2,253,74,29.2,20,103,130,8,1,0,7,7,25,11,0,Matches
500,Antonio Sánchez,es ESP,MFFW,Mallorca,25-078,1997,11.7,34,20,13,13,8,15,31,48.4,16,283,70,24.7,78,136,69,33,3,0,30,25,59,19,1,Matches
