Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,Matches
80,Sergio Busquets,es ESP,MF,Barcelona,33-247,1988,26,26,2298,25.5,1,0,1,0,0,6,0,0.04,0.00,0.04,0.04,0.04,0.3,0.3,1.5,1.8,0.01,0.06,0.07,0.01,0.07,Matches
81,Adrián Butzke,es ESP,FW,Granada,22-355,1999,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
82,Erick Cabaco,uy URU,DF,Getafe,26-335,1995,8,4,349,3.9,0,1,0,0,0,4,1,0.00,0.26,0.26,0.00,0.26,0.0,0.0,0.4,0.4,0.00,0.09,0.09,0.00,0.09,Matches
83,Leandro Cabrera,uy URU,DF,Espanyol,30-276,1991,27,27,2430,27.0,2,0,2,0,0,6,0,0.07,0.00,0.07,0.07,0.07,1.0,1.0,0.1,1.2,0.04,0.01,0.04,0.04,0.04,Matches
84,Martín Cáceres,uy URU,DF,Levante,34-347,1987,8,7,580,6.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.02,0.02,0.00,0.02,Matches
85,Cala,es ESP,DF,Cádiz,32-114,1989,13,10,930,10.3,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.0,0.6,0.05,0.00,0.06,0.05,0.06,Matches
86,Calderón,es ESP,DF,Betis,22-072,2000,1,0,65,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.19,0.19,0.00,0.19,Matches
87,Fernando Calero,es ESP,DF,Espanyol,26-187,1995,7,5,391,4.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
88,Víctor Camarasa,es ESP,MFFW,Betis,27-296,1994,7,0,108,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
89,Eduardo Camavinga,fr FRA,MF,Real Madrid,19-130,2002,17,6,639,7.1,2,0,2,0,0,4,0,0.28,0.00,0.28,0.28,0.28,0.9,0.9,0.4,1.3,0.11,0.06,0.17,0.11,0.17,Matches
