name,weekly_gross_eur,annual_gross_eur,weekly_net_eur,annual_net_eur,weekly_gross_gbp,annual_gross_gbp,weekly_net_gbp,annual_net_gbp,weekly_gross_usd,annual_gross_usd,weekly_net_usd,annual_net_usd,length,total_gross_eur,total_net_eur,total_gross_gbp,total_net_gbp,total_gross_usd,total_net_usd,status,position,position_detail,age,country,club
Papu Gómez,120192.30769230769,6250000,57692.307692307695,3000000,100145.78846153847,5207581,48069.980769230766,2499639,136072.38461538462,7075764,65314.75,3396367,3-yrs,18750000,9000000,15622743,7498917,21227293,10189101,Reserve,F,SS,33,Argentina,Sevilla
Samuel Umtiti,120192.30769230769,6250000,57692.307692307695,3000000,100145.78846153847,5207581,48069.980769230766,2499639,136072.38461538462,7075764,65314.75,3396367,5-yrs,31250000,15000000,26037905,12498195,35378822,16981834,Reserve,D,CB,28,France,Barcelona
Rodrigo de Paul,120192.30769230769,6250000,57692.307692307695,3000000,100145.78846153847,5207581,48069.980769230766,2499639,136072.38461538462,7075764,65314.75,3396367,5-yrs,31250000,15000000,26037905,12498195,35378822,16981834,Starter,M,CM,27,Argentina,Atletico Madrid
Gonçalo Guedes,117307.69230769231,6100000,56346.153846153844,2930000,97742.28846153847,5082599,46948.346153846156,2441314,132806.65384615384,6905946,63790.730769230766,3317118,2-yrs,12200000,5860000,10165198,4882628,13811892,6634237,Reserve,F,LW,25,Portugal,Valencia
Martin Braithwaite,115384.61538461539,6000000,55384.61538461538,2880000,96139.96153846153,4999278,46147.17307692308,2399653,130629.5,6792734,62702.153846153844,3260512,3-yrs,18000000,8640000,14997833,7198960,20378201,9781537,Reserve,F,CF,30,Denmark,Barcelona
Sergiño Dest,115384.61538461539,6000000,55384.61538461538,2880000,96139.96153846153,4999278,46147.17307692308,2399653,130629.5,6792734,62702.153846153844,3260512,4-yrs,24000000,11520000,19997111,9598613,27170935,13042049,Reserve,D,RB,21,United States,Barcelona
Anthony Martial,115384.61538461539,6000000,55384.61538461538,2880000,96139.96153846153,4999278,46147.17307692308,2399653,130629.5,6792734,62702.153846153844,3260512,1-yr,6000000,2880000,4999278,2399653,6792734,3260512,Starter,F,CF,26,France,Sevilla
Neto,115384.61538461539,6000000,55384.61538461538,2880000,96139.96153846153,4999278,46147.17307692308,2399653,130629.5,6792734,62702.153846153844,3260512,2-yrs,12000000,5760000,9998556,4799307,13585468,6521024,Reserve,K,GK,32,Brazil,Barcelona
Clément Lenglet,115384.61538461539,6000000,55384.61538461538,2880000,96139.96153846153,4999278,46147.17307692308,2399653,130629.5,6792734,62702.153846153844,3260512,5-yrs,30000000,14400000,24996389,11998267,33963669,16302561,Reserve,D,CB,26,France,Barcelona
Héctor Herrera,115384.61538461539,6000000,55384.61538461538,2880000,96139.96153846153,4999278,46147.17307692308,2399653,130629.5,6792734,62702.153846153844,3260512,1-yr,6000000,2880000,4999278,2399653,6792734,3260512,Reserve,M,CM,31,Mexico,Atletico Madrid
Iñaki Williams,114807.69230769231,5970000,55192.307692307695,2870000,95659.25,4974281,45986.942307692305,2391321,129976.34615384616,6758770,62484.442307692305,3249191,7-yrs,41790000,20090000,34819970,16739249,47311391,22744337,Reserve,F,CF,27,Spain,Athletic Club
Gerard Moreno,103653.84615384616,5390000,49807.692307692305,2590000,86365.73076923077,4491018,41500.42307692308,2158022,117348.82692307692,6102139,56388.403846153844,2932197,6-yrs,32340000,15540000,26946107,12948130,36612835,17593181,Starter,F,CF,29,Spain,Villarreal
Gabriel Paulista,102500,5330000,49230.769230769234,2560000,85404.32692307692,4441025,41019.71153846154,2133025,116042.53846153847,6034212,55735.25,2898233,3-yrs,15990000,7680000,13323075,6399076,18102636,8694699,Reserve,D,CB,31,Brazil,Valencia
Vicente Iborra,99230.76923076923,5160000,47692.307692307695,2480000,82680.36538461539,4299379,39737.846153846156,2066368,112341.36538461539,5841751,53993.519230769234,2807663,3-yrs,15480000,7440000,12898137,6199104,17525253,8422990,Reserve,M,CM,34,Spain,Villarreal
Iñigo Martínez,96153.84615384616,5000000,46153.846153846156,2400000,80116.63461538461,4166065,38455.980769230766,1999711,108857.92307692308,5660612,52251.807692307695,2717094,2-yrs,10000000,4800000,8332130,3999422,11321223,5434187,Starter,D,CB,30,Spain,Athletic Club
Moussa Wagué,96153.84615384616,5000000,46153.846153846156,2400000,80116.63461538461,4166065,38455.980769230766,1999711,108857.92307692308,5660612,52251.807692307695,2717094,2-yrs,10000000,4800000,8332130,3999422,11321223,5434187,Reserve,D,RB,23,Senegal,Barcelona
Munir El Haddadi,95769.23076923077,4980000,45961.53846153846,2390000,79796.17307692308,4149401,38295.75,1991379,108422.48076923077,5637969,52034.07692307692,2705772,2-yrs,9960000,4780000,8298801,3982758,11275938,5411545,Reserve,F,CF,26,Morocco,Sevilla
Bryan Gil,95000,4940000,45576.92307692308,2370000,79155.23076923077,4116072,37975.28846153846,1974715,107551.61538461539,5592684,51598.653846153844,2683130,1-yr,4940000,2370000,4116072,1974715,5592684,2683130,Starter,F,LW,20,Spain,Valencia
Fernando Reges,93653.84615384616,4870000,45000,2340000,78033.59615384616,4057747,37494.57692307692,1949718,106027.61538461539,5513436,50945.5,2649166,3-yrs,14610000,7020000,12173241,5849155,16540307,7947499,Reserve,M,DM,34,Brazil,Sevilla
Borja Mayoral,92115.38461538461,4790000,44230.769230769234,2300000,76751.73076923077,3991090,36853.653846153844,1916390,104285.88461538461,5422866,50074.63461538462,2603881,1-yr,4790000,2300000,3991090,1916390,5422866,2603881,Reserve,F,CF,24,Spain,Getafe
Joan Jordán,90769.23076923077,4720000,43653.846153846156,2270000,75630.09615384616,3932765,36372.942307692305,1891393,102761.86538461539,5343617,49421.5,2569918,6-yrs,28320000,13620000,23596591,11348361,32061704,15419506,Starter,M,CM,27,Spain,Sevilla
Denis Suárez,90000,4680000,43269.230769230766,2250000,74989.17307692308,3899437,36052.480769230766,1874729,101891,5298332,48986.057692307695,2547275,2-yrs,9360000,4500000,7798873,3749458,10596665,5094550,Starter,F,AM,28,Spain,Celta Vigo
Nolito,88076.92307692308,4580000,42307.692307692305,2200000,73386.82692307692,3816115,35251.32692307692,1833069,99713.84615384616,5185120,47897.480769230766,2490669,1-yr,4580000,2200000,3816115,1833069,5185120,2490669,Reserve,F,LW,35,Spain,Celta Vigo
Vedat Muriqi,88076.92307692308,4580000,42307.692307692305,2200000,73386.82692307692,3816115,35251.32692307692,1833069,99713.84615384616,5185120,47897.480769230766,2490669,1-yr,4580000,2200000,3816115,1833069,5185120,2490669,Starter,F,CF,27,Kosovo,Mallorca
Stefan Savic,86538.46153846153,4500000,41538.46153846154,2160000,72104.96153846153,3749458,34610.38461538462,1799740,97972.11538461539,5094550,47026.61538461538,2445384,3-yrs,13500000,6480000,11248375,5399220,15283651,7336153,Starter,D,CB,31,Montenegro,Atletico Madrid
David López,86538.46153846153,4500000,41538.46153846154,2160000,72104.96153846153,3749458,34610.38461538462,1799740,97972.11538461539,5094550,47026.61538461538,2445384,2-yrs,9000000,4320000,7498917,3599480,10189101,4890768,Reserve,M,DM,32,Spain,Espanyol
Iker Muniain,84615.38461538461,4400000,40576.92307692308,2110000,70502.63461538461,3666137,33809.21153846154,1758079,95794.96153846153,4981338,45938.03846153846,2388778,3-yrs,13200000,6330000,10998411,5274238,14944014,7166334,Starter,F,LW,29,Spain,Athletic Club
Asier Illarramendi,83846.15384615384,4360000,40192.307692307695,2090000,69861.71153846153,3632809,33488.75,1741415,94924.09615384616,4936053,45502.61538461538,2366136,2-yrs,8720000,4180000,7265617,3482830,9872106,4732271,Reserve,M,DM,31,Spain,Real Sociedad
Unai Simón,83653.84615384616,4350000,40192.307692307695,2090000,69701.46153846153,3624476,33488.75,1741415,94706.38461538461,4924732,45502.61538461538,2366136,4-yrs,17400000,8360000,14497906,6965660,19698928,9464542,Starter,K,GK,24,Spain,Athletic Club
Giovani Lo Celso,83076.92307692308,4320000,39807.692307692305,2070000,69220.76923076923,3599480,33168.28846153846,1724751,94053.23076923077,4890768,45067.17307692308,2343493,1-yr,4320000,2070000,3599480,1724751,4890768,2343493,Reserve,M,CM,25,Argentina,Villarreal
Yuri Berchiche,80769.23076923077,4200000,38846.153846153844,2020000,67297.96153846153,3499494,32367.115384615383,1683090,91440.65384615384,4754914,43978.596153846156,2286887,3-yrs,12600000,6060000,10498483,5049271,14264741,6860661,Reserve,D,LB,31,Spain,Athletic Club
Germán Pezzella,80192.30769230769,4170000,38461.53846153846,2000000,66817.26923076923,3474498,32046.653846153848,1666426,90787.5,4720950,43543.17307692308,2264245,4-yrs,16680000,8000000,13897992,6665704,18883800,9056978,Starter,D,CB,30,Argentina,Real Betis
José Giménez,76923.07692307692,4000000,36923.07692307692,1920000,64093.307692307695,3332852,30764.78846153846,1599769,87086.32692307692,4528489,41801.442307692305,2173675,4-yrs,16000000,7680000,13331408,6399076,18113957,8694699,Starter,D,CB,27,Uruguay,Atletico Madrid
Jesús Navas,76923.07692307692,4000000,36923.07692307692,1920000,64093.307692307695,3332852,30764.78846153846,1599769,87086.32692307692,4528489,41801.442307692305,2173675,3-yrs,12000000,5760000,9998556,4799307,13585468,6521024,Reserve,D,RB,36,Spain,Sevilla
Riqui Puig,76923.07692307692,4000000,36923.07692307692,1920000,64093.307692307695,3332852,30764.78846153846,1599769,87086.32692307692,4528489,41801.442307692305,2173675,2-yrs,8000000,3840000,6665704,3199538,9056978,4347350,Reserve,M,CM,22,Spain,Barcelona
Adnan Januzaj,76923.07692307692,4000000,36923.07692307692,1920000,64093.307692307695,3332852,30764.78846153846,1599769,87086.32692307692,4528489,41801.442307692305,2173675,1-yr,4000000,1920000,3332852,1599769,4528489,2173675,Reserve,F,RW,26,Belgium,Real Sociedad
Mikel Merino,75192.30769230769,3910000,36153.846153846156,1880000,62651.21153846154,3257863,30123.846153846152,1566440,85126.88461538461,4426598,40930.57692307692,2128390,4-yrs,15640000,7520000,13031451,6265762,17706393,8513560,Starter,M,CM,25,Spain,Real Sociedad
Renan Lodi,73076.92307692308,3800000,35000,1820000,60888.63461538462,3166209,29162.46153846154,1516448,82732.01923076923,4302065,39624.28846153846,2060463,4-yrs,15200000,7280000,12664837,6065790,17208259,8241850,Reserve,D,LB,23,Brazil,Atletico Madrid
Jasper Cillessen,72115.38461538461,3750000,34615.38461538462,1800000,60087.480769230766,3124549,28841.98076923077,1499783,81643.44230769231,4245459,39188.846153846156,2037820,2-yrs,7500000,3600000,6249097,2999567,8490917,4075640,Reserve,K,GK,32,Netherlands,Valencia
Maxime Gonalons,71153.84615384616,3700000,34230.769230769234,1780000,59286.307692307695,3082888,28521.51923076923,1483119,80554.86538461539,4188853,38753.42307692308,2015178,2-yrs,7400000,3560000,6165776,2966238,8377705,4030355,Starter,M,DM,32,France,Granada
Mikel Oyarzabal,67884.61538461539,3530000,32500,1690000,56562.346153846156,2941242,27079.423076923078,1408130,76853.69230769231,3996392,36793.980769230766,1913287,3-yrs,10590000,5070000,8823725,4224390,11989175,5739860,Starter,F,LW,24,Spain,Real Sociedad
Jesús Corona,67307.69230769231,3500000,32307.69230769231,1680000,56081.63461538462,2916245,26919.19230769231,1399798,76200.53846153847,3962428,36576.25,1901965,4-yrs,14000000,6720000,11664982,5599191,15849712,7607862,Reserve,F,RW,29,Mexico,Sevilla
Ángel Correa,67307.69230769231,3500000,32307.69230769231,1680000,56081.63461538462,2916245,26919.19230769231,1399798,76200.53846153847,3962428,36576.25,1901965,5-yrs,17500000,8400000,14581227,6998989,19812140,9509827,Reserve,F,SS,26,Argentina,Atletico Madrid
José Gayà,67307.69230769231,3500000,32307.69230769231,1680000,56081.63461538462,2916245,26919.19230769231,1399798,76200.53846153847,3962428,36576.25,1901965,2-yrs,7000000,3360000,5832491,2799596,7924856,3803931,Starter,D,LB,26,Spain,Valencia
William Carvalho,66923.07692307692,3480000,32115.384615384617,1670000,55761.17307692308,2899581,26758.96153846154,1391466,75765.11538461539,3939786,36358.53846153846,1890644,2-yrs,6960000,3340000,5799162,2782931,7879571,3781288,Reserve,M,CM,29,Portugal,Real Betis
Thomas Delaney,66730.76923076923,3470000,32115.384615384617,1670000,55600.942307692305,2891249,26758.96153846154,1391466,75547.38461538461,3928464,36358.53846153846,1890644,4-yrs,13880000,6680000,11564996,5565863,15713858,7562577,Reserve,M,DM,30,Denmark,Sevilla
Sergio Asenjo,66538.46153846153,3460000,31923.076923076922,1660000,55440.71153846154,2882917,26598.73076923077,1383134,75329.67307692308,3917143,36140.82692307692,1879323,1-yr,3460000,1660000,2882917,1383134,3917143,1879323,Reserve,K,GK,32,Spain,Villarreal
