Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
100,Samu Castillejo,es ESP,FWMF,Milan,27-061,1995,1.4,56,68,82.4,1028,235,29,31,93.5,13,14,92.9,13,19,68.4,0,0.2,-0.2,2,3,4,3,4,Matches
101,Gaetano Castrovilli,it ITA,MF,Fiorentina,25-031,1997,12.7,315,435,72.4,5557,1554,136,165,82.4,141,177,79.7,27,61,44.3,1,1.3,-0.3,9,24,19,1,47,Matches
102,Danilo Cataldi,it ITA,MF,Lazio,27-226,1994,14.2,838,967,86.7,15545,4400,373,395,94.4,344,387,88.9,107,163,65.6,1,1.7,-0.7,12,71,10,0,56,Matches
103,Pietro Ceccaroni,it ITA,DF,Venezia,26-089,1995,24.7,1017,1212,83.9,21064,8089,281,314,89.5,592,638,92.8,140,242,57.9,1,0.1,+0.9,3,54,4,2,52,Matches
104,Federico Ceccherini,it ITA,DF,Hellas Verona,29-313,1992,19.6,751,930,80.8,14245,5042,294,346,85.0,340,383,88.8,100,166,60.2,0,0.7,-0.7,8,60,6,0,67,Matches
105,Emil Ceide,no NOR,FW,Sassuolo,20-198,2001,0.2,5,12,41.7,68,27,2,3,66.7,3,5,60.0,0,0,,0,0.0,0.0,0,0,1,0,2,Matches
106,Luca Ceppitelli,it ITA,DF,Cagliari,32-221,1989,12.6,541,642,84.3,10905,3341,180,194,92.8,272,297,91.6,81,133,60.9,1,0.0,+1.0,0,23,2,0,32,Matches
107,Damir Ceter,co COL,FW,Cagliari,24-138,1997,0.1,1,2,50.0,55,0,0,1,0.0,0,0,,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
108,Julian Chabot,de GER,DF,Sampdoria,24-036,1998,5.4,202,245,82.4,4756,1713,53,59,89.8,99,108,91.7,48,76,63.2,0,0.0,0.0,0,15,1,0,19,Matches
109,Giorgio Chiellini,it ITA,DF,Juventus,37-218,1984,10.5,563,667,84.4,12649,4102,137,150,91.3,301,341,88.3,117,162,72.2,0,0.1,-0.1,3,50,1,0,39,Matches
110,Federico Chiesa,it ITA,MFFW,Juventus,24-146,1997,9.6,219,284,77.1,4221,1300,96,115,83.5,81,101,80.2,33,53,62.3,1,1.2,-0.2,17,13,12,6,29,Matches
111,Vlad Chiricheș,ro ROU,DF,Sassuolo,32-126,1989,21.1,1032,1123,91.9,21749,5961,340,361,94.2,483,519,93.1,193,219,88.1,0,0.1,-0.1,3,30,1,0,38,Matches
112,Riccardo Ciervo,it ITA,MFDF,Sampdoria,19-353,2002,2.5,52,73,71.2,991,226,19,25,76.0,22,30,73.3,8,12,66.7,1,0.2,+0.8,4,4,1,1,3,Matches
113,Giorgio Cittadini,it ITA,DF,Atalanta,19-336,2002,0.0,1,2,50.0,22,21,0,0,,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,1,Matches
114,Ebrima Colley,gm GAM,FWMF,Spezia,22-047,2000,4.4,88,128,68.8,1614,527,39,46,84.8,39,55,70.9,10,24,41.7,0,1.6,-1.6,6,6,8,3,14,Matches
115,Omar Colley,gm GAM,DF,Sampdoria,29-147,1992,22.5,859,1032,83.2,18036,5174,217,249,87.1,491,535,91.8,130,219,59.4,0,0.0,0.0,0,54,1,0,52,Matches
116,Andrea Consigli,it ITA,GK,Sassuolo,35-052,1987,29.0,911,1165,78.2,25909,14082,190,193,98.4,346,351,98.6,365,611,59.7,0,0.1,-0.1,1,6,1,0,0,Matches
117,Andrea Conti,it ITA,DFMF,Sampdoria,28-018,1994,2.5,61,77,79.2,919,377,39,45,86.7,16,24,66.7,6,7,85.7,0,0.0,0.0,0,3,1,0,3,Matches
118,Andrea Conti,it ITA,DF,Milan,28-018,1994,0.1,4,5,80.0,67,6,3,3,100.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
119,Diego Coppola,it ITA,DF,Hellas Verona,18-082,2003,1.1,31,34,91.2,661,131,8,9,88.9,15,16,93.8,7,8,87.5,0,0.0,0.0,0,0,0,0,0,Matches
120,Joaquín Correa,ar ARG,FW,Inter,27-219,1994,6.6,151,189,79.9,2120,520,93,113,82.3,48,56,85.7,6,9,66.7,1,1.1,-0.1,12,12,12,1,21,Matches
121,Lassana Coulibaly,ml MLI,MF,Salernitana,25-344,1996,18.5,502,605,83.0,8540,2454,239,277,86.3,205,238,86.1,50,65,76.9,0,0.3,-0.3,8,51,8,0,45,Matches
122,Mamadou Coulibaly,sn SEN,MFFW,Salernitana,23-045,1999,8.2,206,278,74.1,3610,1083,94,114,82.5,85,104,81.7,23,37,62.2,0,0.2,-0.2,5,23,2,1,22,Matches
123,Alessio Cragno,it ITA,GK,Cagliari,27-265,1994,27.0,600,954,62.9,22364,15993,91,91,100.0,180,186,96.8,327,675,48.4,0,0.0,0.0,0,19,0,0,0,Matches
124,Domenico Criscito,it ITA,DF,Genoa,35-080,1986,14.4,626,798,78.4,12503,4871,212,234,90.6,323,369,87.5,83,173,48.0,1,0.5,+0.5,6,46,6,1,63,Matches
125,Bryan Cristante,it ITA,MF,Roma,27-017,1995,23.1,1155,1389,83.2,24905,7414,358,421,85.0,560,629,89.0,223,308,72.4,0,1.0,-1.0,12,178,17,2,146,Matches
126,Domen Črnigoj,si SVN,MFDF,Venezia,26-122,1995,15.1,359,497,72.2,6726,2015,176,213,82.6,118,158,74.7,53,87,60.9,1,0.8,+0.2,9,29,5,4,30,Matches
127,Giovanni Crociata,it ITA,FW,Empoli,24-221,1997,0.2,7,9,77.8,92,18,5,6,83.3,2,3,66.7,0,0,,0,0.0,0.0,0,1,1,0,1,Matches
128,Juan Cuadrado,co COL,DFMF,Juventus,33-298,1988,22.1,1298,1533,84.7,27020,8404,482,527,91.5,583,651,89.6,225,329,68.4,2,3.9,-1.9,43,87,33,15,133,Matches
129,Mickaël Cuisance,fr FRA,MF,Venezia,22-216,1999,5.8,153,211,72.5,2921,783,64,78,82.1,64,82,78.0,23,41,56.1,0,0.4,-0.4,6,16,3,0,11,Matches
130,Patrick Cutrone,it ITA,FW,Empoli,24-076,1998,12.8,149,219,68.0,2448,472,81,103,78.6,50,70,71.4,15,26,57.7,0,0.8,-0.8,7,7,6,1,15,Matches
131,Danilo D'Ambrosio,it ITA,DF,Inter,33-192,1988,7.8,486,540,90.0,9566,2729,192,205,93.7,222,235,94.5,68,92,73.9,0,0.0,0.0,1,26,3,0,20,Matches
132,Mikkel Damsgaard,dk DEN,MFFW,Sampdoria,21-260,2000,5.7,178,231,77.1,2915,752,89,104,85.6,68,89,76.4,17,29,58.6,0,0.4,-0.4,9,16,7,1,24,Matches
133,Danilo,br BRA,DF,Juventus,30-248,1991,15.0,890,1025,86.8,17758,6422,299,316,94.6,461,508,90.7,119,181,65.7,1,0.6,+0.4,8,83,8,4,60,Matches
134,Ebrima Darboe,gm GAM,MF,Roma,20-287,2001,0.7,38,40,95.0,921,150,6,6,100.0,20,22,90.9,11,11,100.0,0,0.0,0.0,0,4,0,0,1,Matches
