Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,Matches
412,Mario Perrone,it ITA,DF,Salernitana,19-042,2003,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
413,Matteo Pessina,it ITA,MFFW,Atalanta,24-333,1997,20,14,1114,12.4,1,1,1,0,0,0,0,0.08,0.08,0.16,0.08,0.16,2.7,2.7,1.0,3.7,0.22,0.08,0.30,0.22,0.30,Matches
414,Andrea Petagna,it ITA,FW,Napoli,26-263,1995,22,3,518,5.8,3,0,3,0,0,1,0,0.52,0.00,0.52,0.52,0.52,1.6,1.6,0.7,2.3,0.28,0.12,0.40,0.28,0.40,Matches
415,Giuseppe Pezzella,it ITA,DF,Atalanta,24-111,1997,18,8,868,9.6,0,1,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10,0.4,0.4,0.8,1.2,0.04,0.08,0.12,0.04,0.12,Matches
416,Krzysztof Piątek,pl POL,FW,Fiorentina,26-262,1995,8,7,527,5.9,3,0,3,0,1,0,0,0.51,0.00,0.51,0.51,0.51,2.5,1.7,0.6,2.3,0.42,0.10,0.53,0.30,0.40,Matches
417,Roberto Piccoli,it ITA,FW,Genoa,21-052,2001,2,0,46,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
418,Roberto Piccoli,it ITA,FW,Atalanta,21-052,2001,12,1,196,2.2,1,0,1,0,0,0,0,0.46,0.00,0.46,0.46,0.46,1.1,1.1,0.2,1.4,0.53,0.09,0.62,0.53,0.62,Matches
419,Andrea Pinamonti,it ITA,FW,Empoli,22-305,1999,28,24,2149,23.9,9,1,6,3,3,2,0,0.38,0.04,0.42,0.25,0.29,8.8,6.5,1.1,7.7,0.37,0.05,0.42,0.27,0.32,Matches
420,Marko Pjaca,hr CRO,FWMF,Torino,26-318,1995,20,10,948,10.5,3,0,3,0,0,0,0,0.28,0.00,0.28,0.28,0.28,1.6,1.6,0.7,2.4,0.15,0.07,0.22,0.15,0.22,Matches
421,Tommaso Pobega,it ITA,MF,Torino,22-248,1999,26,20,1797,20.0,4,2,4,0,0,10,0,0.20,0.10,0.30,0.20,0.30,3.5,3.5,0.6,4.1,0.18,0.03,0.21,0.18,0.21,Matches
422,Suf Podgoreanu,il ISR,FW,Spezia,20-059,2002,5,1,113,1.3,0,1,0,0,0,0,0,0.00,0.80,0.80,0.00,0.80,0.0,0.0,0.0,0.1,0.03,0.03,0.06,0.03,0.06,Matches
423,Matteo Politano,it ITA,FW,Napoli,28-229,1993,27,17,1430,15.9,1,3,1,0,0,2,0,0.06,0.19,0.25,0.06,0.25,2.3,2.3,3.8,6.2,0.15,0.24,0.39,0.15,0.39,Matches
424,Manolo Portanova,it ITA,MFFW,Genoa,21-291,2000,17,11,948,10.5,1,0,1,0,0,4,0,0.09,0.00,0.09,0.09,0.09,1.9,1.9,0.6,2.6,0.18,0.06,0.24,0.18,0.24,Matches
