,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
443,Panagiotis Retsos,gr GRE,DFMF,Hellas Verona,23-223,1998,0.5,1,0,0,0,1,0,2,0.0,2,7,1,14.3,4,2,1,2,0,0,2,1,2,1,0,Matches
444,Bryan Reynolds,us USA,DF,Roma,20-265,2001,0.0,0,0,0,0,0,0,0,,0,1,0,0.0,0,1,0,0,0,0,0,0,0,1,0,Matches
445,Franck Ribéry,fr FRA,MFFW,Salernitana,38-347,1983,13.5,11,10,3,7,1,3,7,42.9,4,182,58,31.9,35,83,64,13,0,0,13,9,20,1,0,Matches
446,Samuele Ricci,it ITA,MF,Torino,20-211,2001,1.2,2,0,1,0,1,1,1,100.0,0,17,7,41.2,3,12,2,2,0,0,2,0,2,1,0,Matches
447,Samuele Ricci,it ITA,MF,Empoli,20-211,2001,17.0,42,30,20,18,4,13,27,48.1,14,337,101,30.0,147,156,34,25,6,0,19,48,90,16,0,Matches
448,Tomás Rincón,ve VEN,MF,Sampdoria,34-066,1988,6.8,20,13,8,8,4,10,21,47.6,11,131,40,30.5,46,67,18,11,1,0,10,15,35,8,0,Matches
449,Tomás Rincón,ve VEN,MFFW,Torino,34-066,1988,1.8,2,1,2,0,0,0,2,0.0,2,26,3,11.5,10,11,5,2,1,0,1,2,4,4,0,Matches
450,Ricardo Rodríguez,ch SUI,DF,Torino,29-207,1992,20.5,27,11,9,15,3,9,23,39.1,14,236,79,33.5,82,132,22,28,6,1,22,33,60,56,0,Matches
451,Rogério,br BRA,DF,Sassuolo,24-066,1998,16.2,17,11,10,4,3,6,16,37.5,10,133,44,33.1,72,46,15,27,6,1,21,29,46,35,2,Matches
452,Alessio Romagnoli,it ITA,DF,Milan,27-067,1995,15.5,26,14,15,11,0,10,15,66.7,5,144,50,34.7,62,73,9,26,11,1,15,27,53,51,0,Matches
453,Simone Romagnoli,it ITA,DF,Empoli,32-039,1990,12.8,18,10,10,6,2,6,11,54.5,5,146,47,32.2,80,54,12,28,19,0,9,17,35,68,0,Matches
454,Luka Romero,ar ARG,FW,Lazio,17-122,2004,0.3,1,1,0,1,0,0,0,,0,8,1,12.5,1,6,1,0,0,0,0,1,2,0,0,Matches
455,Sergio Romero,ar ARG,GK,Venezia,35-026,1987,16.0,0,0,0,0,0,0,0,,0,5,1,20.0,4,1,0,0,0,0,0,0,0,0,0,Matches
456,Cristiano Ronaldo,pt POR,FW,Juventus,37-043,1985,0.3,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,1,1,0,0,Matches
457,Marten de Roon,nl NED,MFDF,Atalanta,30-356,1991,19.3,49,25,18,25,6,18,37,48.6,19,370,111,30.0,127,191,52,27,2,0,25,48,97,42,0,Matches
458,Francesco Rossi,it ITA,GK,Atalanta,30-327,1991,0.4,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
459,Nicolò Rovella,it ITA,MF,Genoa,20-106,2001,16.0,49,27,23,19,7,13,39,33.3,26,377,112,29.7,130,180,67,27,1,0,26,33,82,20,1,Matches
460,Amir Rrahmani,xk KVX,DF,Napoli,28-024,1994,26.5,30,19,19,9,2,15,17,88.2,2,198,77,38.9,109,77,12,42,22,0,20,23,53,80,0,Matches
461,Ruan,br BRA,DF,Sassuolo,22-286,1999,1.3,3,2,3,0,0,2,2,100.0,0,15,6,40.0,14,1,0,6,5,0,1,6,9,18,0,Matches
462,Daniele Rugani,it ITA,DF,Juventus,27-234,1994,7.2,9,7,4,5,0,2,4,50.0,2,76,26,34.2,44,28,4,13,4,0,9,13,22,23,0,Matches
463,Matteo Ruggeri,it ITA,DF,Salernitana,19-252,2002,3.6,5,4,2,2,1,4,7,57.1,3,33,10,30.3,17,7,9,6,1,0,5,4,9,11,0,Matches
464,Mário Rui,pt POR,DF,Napoli,30-297,1991,26.6,56,29,24,24,8,31,62,50.0,31,286,92,32.2,110,105,71,38,3,0,35,33,89,37,0,Matches
465,Fabián Ruiz Peña,es ESP,MF,Napoli,25-351,1996,21.4,40,31,19,16,5,21,52,40.4,31,367,117,31.9,114,168,85,29,2,0,27,29,69,25,0,Matches
466,Alessandro Russo,it ITA,MF,Salernitana,18-195,2003,0.3,0,0,0,0,0,0,1,0.0,1,8,0,0.0,6,2,0,0,0,0,0,0,0,2,0,Matches
467,Stefano Sabelli,it ITA,DF,Genoa,29-066,1993,3.9,7,3,5,2,0,2,13,15.4,11,65,18,27.7,32,22,11,9,1,0,8,13,20,8,0,Matches
468,Abdelhamid Sabiri,de GER,MFFW,Sampdoria,25-112,1996,1.9,8,4,0,4,4,2,3,66.7,1,53,15,28.3,10,34,9,0,0,0,0,0,8,0,0,Matches
469,Alexis Saelemaekers,be BEL,FW,Milan,22-266,1999,16.8,34,21,12,12,10,15,44,34.1,29,349,85,24.4,78,151,120,21,0,0,21,25,59,7,0,Matches
470,Jacopo Sala,it ITA,MF,Spezia,30-105,1991,9.8,23,16,7,13,3,12,38,31.6,26,232,77,33.2,89,121,22,11,1,0,10,23,46,8,0,Matches
471,Eddie Salcedo,it ITA,MFFW,Spezia,20-170,2001,4.5,1,0,0,0,1,0,0,,0,40,15,37.5,10,19,11,4,1,0,3,4,5,5,0,Matches
472,Lazar Samardzic,de GER,MFFW,Udinese,20-024,2002,2.0,9,7,1,5,3,4,10,40.0,6,75,24,32.0,15,37,23,2,0,0,2,0,9,0,0,Matches
473,Luigi Samele,it ITA,FW,Sassuolo,19-345,2002,0.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,1,0,Matches
474,Antonio Sanabria,py PAR,FW,Torino,26-016,1996,18.1,6,5,2,1,3,1,6,16.7,5,282,74,26.2,8,85,189,11,2,0,9,6,12,11,0,Matches
475,Alexis Sánchez,cl CHI,FW,Inter,33-091,1988,8.7,10,9,0,7,3,3,11,27.3,8,140,47,33.6,13,58,69,0,0,0,0,7,17,0,0,Matches
476,Alex Sandro,br BRA,DF,Juventus,31-053,1991,15.1,22,11,13,4,5,4,16,25.0,12,149,53,35.6,66,54,29,18,3,0,15,28,50,27,0,Matches
477,Nicola Sansone,it ITA,FWMF,Bologna,30-191,1991,8.5,13,7,3,9,1,1,12,8.3,11,164,41,25.0,38,75,51,1,0,0,1,7,20,2,0,Matches
478,Federico Santander,py PAR,FWDF,Bologna,30-289,1991,0.7,2,2,1,1,0,0,0,,0,17,4,23.5,2,5,10,1,1,0,0,1,3,0,0,Matches
479,Samir Santos,br BRA,DF,Udinese,27-105,1994,16.8,43,23,25,17,1,15,26,57.7,11,215,54,25.1,122,84,9,32,7,0,25,51,94,61,1,Matches
480,Riccardo Saponara,it ITA,FW,Fiorentina,30-089,1991,10.4,5,4,0,4,1,1,10,10.0,9,92,31,33.7,23,39,30,5,0,0,5,4,9,4,0,Matches
481,Martin Satriano,it ITA,FWMF,Inter,21-028,2001,0.4,1,1,0,1,0,1,1,100.0,0,11,3,27.3,1,6,4,0,0,0,0,0,1,0,0,Matches
482,Giorgio Scalvini,it ITA,DFMF,Atalanta,18-099,2003,2.8,5,4,3,2,0,0,4,0.0,4,41,11,26.8,10,23,8,3,1,0,2,10,15,9,0,Matches
483,Gianluca Scamacca,it ITA,FW,Sassuolo,23-078,1999,16.9,16,14,5,7,4,7,13,53.8,6,260,68,26.2,27,120,113,13,2,0,11,8,24,16,0,Matches
484,Andrea Schiavone,it ITA,MF,Salernitana,29-025,1993,6.3,12,7,4,8,0,8,25,32.0,17,136,28,20.6,37,80,19,16,3,0,13,12,24,14,0,Matches
485,David Schnegg,at AUT,DF,Venezia,23-172,1998,1.6,3,1,1,1,1,1,2,50.0,1,23,6,26.1,10,8,5,7,0,0,7,3,6,6,0,Matches
486,Jerdy Schouten,nl NED,MF,Bologna,25-067,1997,7.0,12,7,6,5,1,1,8,12.5,7,118,44,37.3,49,60,9,16,6,0,10,16,28,10,0,Matches
487,Demba Seck,sn SEN,MF,Torino,21-038,2001,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
488,Stefano Sensi,it ITA,MF,Inter,26-227,1995,1.9,4,4,1,3,0,2,4,50.0,2,28,6,21.4,8,11,9,2,0,0,2,1,5,0,0,Matches
489,Stefano Sensi,it ITA,MFFW,Sampdoria,26-227,1995,4.1,12,8,7,2,3,4,8,50.0,4,78,22,28.2,30,33,15,0,0,0,0,5,17,0,0,Matches
490,Luigi Sepe,it ITA,GK,Salernitana,30-316,1991,6.0,0,0,0,0,0,0,0,,0,1,1,100.0,1,0,0,0,0,0,0,0,0,0,0,Matches
491,Laurens Serpe,it ITA,DF,Genoa,21-041,2001,0.5,1,0,1,0,0,1,1,100.0,0,8,2,25.0,6,2,0,0,0,0,0,0,1,1,0,Matches
492,Stephan El Shaarawy,it ITA,DFFW,Roma,29-144,1992,8.6,13,4,4,9,0,4,6,66.7,2,100,25,25.0,32,41,27,14,2,0,12,10,23,4,0,Matches
493,Aimar Sher,se SWE,MF,Spezia,19-090,2002,0.5,2,1,1,1,0,0,1,0.0,1,13,9,69.2,5,8,0,2,0,0,2,1,3,2,0,Matches
494,Eldor Shomurodov,uz UZB,FW,Roma,26-264,1995,6.9,5,4,0,3,2,0,7,0.0,7,149,31,20.8,28,67,54,5,0,0,5,5,10,2,0,Matches
495,Alassane Sidibe,ci CIV,FW,Atalanta,19-284,2002,0.1,0,0,0,0,0,0,0,,0,5,2,40.0,1,2,2,0,0,0,0,0,0,0,0,Matches
496,Arnór Sigurðsson,is ISL,MFFW,Venezia,22-309,1999,2.0,1,0,0,1,0,1,3,33.3,2,37,12,32.4,7,18,12,4,0,0,4,1,2,0,0,Matches
497,Adrien Silva,pt POR,MF,Sampdoria,33-005,1989,12.0,35,21,18,12,5,13,32,40.6,19,234,76,32.5,90,112,32,21,5,0,16,32,67,21,0,Matches
498,Marco Silvestri,it ITA,GK,Udinese,31-018,1991,27.0,0,0,0,0,0,0,0,,0,4,0,0.0,4,0,0,0,0,0,0,0,0,1,1,Matches
499,Giovanni Simeone,ar ARG,FW,Hellas Verona,26-258,1995,21.1,26,17,7,10,9,5,20,25.0,15,403,122,30.3,45,155,203,25,4,0,21,4,30,13,0,Matches
500,Giovanni Simeone,ar ARG,FW,Cagliari,26-258,1995,0.1,0,0,0,0,0,0,0,,0,2,0,0.0,0,0,2,0,0,0,0,0,0,0,0,Matches
501,Wilfried Singo,ci CIV,DF,Torino,21-085,2000,23.4,40,17,15,17,8,16,23,69.6,7,279,75,26.9,80,119,80,33,5,0,28,29,69,40,0,Matches
502,Salvatore Sirigu,it ITA,GK,Genoa,35-067,1987,30.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,1,0,0,1,0,0,0,0,Matches
503,Leo Skiri Østigård,no NOR,DF,Genoa,22-112,1999,6.0,7,4,4,3,0,2,4,50.0,2,42,14,33.3,28,11,3,15,7,0,8,9,16,19,0,Matches
504,Łukasz Skorupski,pl POL,GK,Bologna,30-319,1991,28.0,0,0,0,0,0,0,1,0.0,1,4,1,25.0,4,0,0,0,0,0,0,0,0,0,1,Matches
505,Andreas Skov Olsen,dk DEN,DFFW,Bologna,22-081,1999,8.3,12,7,6,4,2,2,9,22.2,7,108,25,23.1,44,33,31,14,1,0,13,6,18,12,0,Matches
506,Milan Škriniar,sk SVK,DF,Inter,27-037,1995,26.0,31,18,19,11,1,17,28,60.7,11,170,56,32.9,85,63,22,43,21,0,22,27,58,70,0,Matches
507,Chris Smalling,eng ENG,DF,Roma,32-118,1989,16.2,28,14,24,4,0,10,19,52.6,9,142,65,45.8,103,35,4,32,19,0,13,26,54,66,1,Matches
508,Brandon Soppy,fr FRA,DFMF,Udinese,20-027,2002,6.6,18,10,10,6,2,10,17,58.8,7,127,35,27.6,51,53,23,12,3,0,9,10,28,3,0,Matches
509,Roberto Soriano,it ITA,MFFW,Bologna,31-040,1991,22.6,50,27,26,18,6,13,38,34.2,25,443,132,29.8,134,197,112,32,3,0,29,24,74,28,0,Matches
510,Riccardo Sottil,it ITA,FW,Fiorentina,22-290,1999,12.5,10,4,4,5,1,2,5,40.0,3,112,33,29.5,16,52,44,11,0,0,11,2,12,3,0,Matches
511,Matìas Soulé,ar ARG,FW,Juventus,18-339,2003,0.1,0,0,0,0,0,0,1,0.0,1,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,Matches
512,Adama Soumaoro,fr FRA,DF,Bologna,29-275,1992,17.3,11,8,5,4,2,2,5,40.0,3,117,48,41.0,60,47,10,18,9,0,9,29,40,61,0,Matches
513,Marco Sportiello,it ITA,GK,Atalanta,29-314,1992,4.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
514,Luca Stanga,it ITA,DF,Milan,20-056,2002,0.0,1,0,0,0,1,0,0,,0,4,0,0.0,0,0,4,0,0,0,0,0,1,0,0,Matches
515,Petar Stojanović,si SVN,DF,Empoli,26-164,1995,23.7,87,59,51,26,10,41,99,41.4,58,402,143,35.6,177,167,58,51,11,1,40,47,134,41,0,Matches
516,Thomas Strakosha,al ALB,GK,Lazio,27-001,1995,14.0,0,0,0,0,0,0,1,0.0,1,3,0,0.0,3,0,0,0,0,0,0,0,0,0,0,Matches
517,Stefan Strandberg,no NOR,DF,Salernitana,31-238,1990,10.4,13,8,11,2,0,4,10,40.0,6,87,28,32.2,64,21,2,21,15,0,6,14,27,62,0,Matches
518,Dávid Strelec,sk SVK,FWMF,Spezia,20-350,2001,5.3,6,4,2,4,0,2,9,22.2,7,68,23,33.8,16,34,18,14,1,0,13,4,10,3,0,Matches
519,Kevin Strootman,nl NED,MF,Cagliari,32-035,1990,7.1,11,8,4,5,2,6,15,40.0,9,124,30,24.2,49,62,13,14,3,0,11,15,26,19,0,Matches
520,Jens Stryger Larsen,dk DEN,DF,Udinese,31-027,1991,7.6,5,4,5,0,0,2,7,28.6,5,62,14,22.6,26,22,14,8,1,0,7,8,13,10,0,Matches
521,Leo Štulac,si SVN,MF,Empoli,27-175,1994,6.9,14,8,7,5,2,5,12,41.7,7,133,39,29.3,59,55,19,5,0,0,5,6,20,11,0,Matches
522,Stefano Sturaro,it ITA,MF,Genoa,29-011,1993,17.8,49,33,13,20,16,18,37,48.6,19,391,117,29.9,108,199,84,32,0,0,32,19,68,30,0,Matches
523,Isaac Success,ng NGA,FWMF,Udinese,26-072,1996,6.1,3,3,0,2,1,0,1,0.0,1,72,20,27.8,10,34,28,3,0,0,3,1,4,4,0,Matches
524,Vladyslav Supriaha,ua UKR,FW,Sampdoria,22-033,2000,0.2,0,0,0,0,0,0,0,,0,8,1,12.5,0,7,1,0,0,0,0,0,0,0,0,Matches
525,Bosko Sutalo,hr CRO,DF,Hellas Verona,22-078,2000,6.7,11,5,7,4,0,5,9,55.6,4,97,35,36.1,54,37,6,14,4,0,10,21,32,23,0,Matches
526,Mattias Svanberg,se SWE,MF,Bologna,23-074,1999,22.9,37,21,13,17,7,12,47,25.5,35,375,101,26.9,122,194,59,43,9,0,34,25,62,24,2,Matches
527,Michael Svoboda,at AUT,DF,Venezia,23-156,1998,9.6,26,17,20,6,0,8,17,47.1,9,121,39,32.2,80,36,5,17,11,3,6,15,41,43,2,Matches
528,Wojciech Szczęsny,pl POL,GK,Juventus,31-336,1990,26.0,0,0,0,0,0,0,0,,0,3,1,33.3,3,0,0,0,0,0,0,0,0,1,2,Matches
529,Adrien Tameze,cm CMR,MFDF,Hellas Verona,28-044,1994,20.2,38,27,20,14,4,16,40,40.0,24,353,121,34.3,116,177,60,38,4,0,34,53,91,30,0,Matches
530,Ciprian Tătărușanu,ro ROU,GK,Milan,36-039,1986,6.0,0,0,0,0,0,0,1,0.0,1,1,0,0.0,1,0,0,0,0,0,0,0,0,0,1,Matches
531,Pietro Terracciano,it ITA,GK,Fiorentina,32-012,1990,22.8,0,0,0,0,0,0,4,0.0,4,3,1,33.3,3,0,0,0,0,0,0,0,0,0,0,Matches
532,Aleksa Terzić,rs SRB,DF,Fiorentina,22-215,1999,2.5,9,4,5,3,1,4,6,66.7,2,41,17,41.5,21,13,7,6,0,0,6,9,18,3,0,Matches
533,Tanner Tessmann,us USA,MF,Venezia,20-177,2001,6.7,9,5,3,5,1,3,10,30.0,7,154,38,24.7,68,70,16,21,7,0,14,16,25,19,0,Matches
534,Arthur Theate,be BEL,DF,Bologna,21-299,2000,20.0,32,20,24,5,3,13,27,48.1,14,249,78,31.3,135,87,27,30,7,0,23,53,85,50,0,Matches
535,Morten Thorsby,no NOR,MF,Sampdoria,25-319,1996,24.7,43,25,8,28,7,14,38,36.8,24,459,140,30.5,119,235,105,46,13,0,33,24,67,38,0,Matches
536,Jeremy Toljan,de GER,DF,Sassuolo,27-224,1994,15.1,16,8,10,5,1,11,19,57.9,8,123,45,36.6,52,45,26,34,6,0,28,21,37,28,1,Matches
537,Rafael Tolói,it ITA,DF,Atalanta,31-161,1990,14.9,31,17,4,18,9,17,27,63.0,10,196,73,37.2,68,108,20,26,10,1,16,32,63,41,0,Matches
538,Takehiro Tomiyasu,jp JPN,DF,Bologna,23-135,1998,0.1,0,0,0,0,0,0,0,,0,2,0,0.0,0,1,1,1,0,0,1,1,1,0,0,Matches
539,Fikayo Tomori,eng ENG,DF,Milan,24-091,1997,22.4,52,29,30,20,2,11,20,55.0,9,286,92,32.2,145,132,9,39,17,0,22,58,110,78,0,Matches
540,Sandro Tonali,it ITA,MF,Milan,21-316,2000,21.8,39,28,18,15,6,12,29,41.4,17,423,128,30.3,108,234,81,29,7,0,22,43,82,16,1,Matches
541,Lorenzo Tonelli,it ITA,DF,Empoli,32-062,1990,9.2,17,7,11,6,0,1,7,14.3,6,100,36,36.0,61,35,4,15,8,0,7,16,33,37,1,Matches
542,Ernesto Torregrossa,it ITA,FW,Sampdoria,29-265,1992,1.3,2,2,0,1,1,0,1,0.0,1,21,5,23.8,2,12,7,0,0,0,0,0,2,1,0,Matches
543,Lucas Torreira,uy URU,MF,Fiorentina,26-037,1996,20.5,47,30,13,29,5,19,37,51.4,18,330,102,30.9,78,202,50,6,0,0,6,35,82,25,0,Matches
544,Abdoulaye Touré,fr FRA,MF,Genoa,28-017,1994,4.8,8,5,4,4,0,5,11,45.5,6,98,22,22.4,30,54,14,11,1,0,10,10,18,11,0,Matches
545,Simone Trimboli,it ITA,MF,Sampdoria,19-335,2002,0.1,1,1,1,0,0,1,1,100.0,0,2,1,50.0,2,0,0,0,0,0,0,0,1,0,0,Matches
546,Axel Tuanzebe,eng ENG,DF,Napoli,24-126,1997,0.1,0,0,0,0,0,0,0,,0,2,1,50.0,0,1,1,1,1,0,0,0,0,0,0,Matches
547,Iyenoma Udogie,it ITA,DF,Udinese,19-112,2002,19.2,48,34,24,20,4,16,40,40.0,24,322,91,28.3,132,142,48,36,3,0,33,35,83,18,0,Matches
548,Maximilian Ullmann,at AUT,DF,Venezia,25-276,1996,1.2,0,0,0,0,0,0,0,,0,10,1,10.0,5,4,1,4,0,0,4,1,1,5,0,Matches
549,Antonio Vacca,it ITA,MF,Venezia,31-311,1990,9.4,33,22,22,8,3,11,32,34.4,21,216,70,32.4,103,104,9,17,5,0,12,31,64,17,0,Matches
550,Zinho Vanheusden,be BEL,DF,Genoa,22-234,1999,11.0,19,12,12,6,1,8,13,61.5,5,114,38,33.3,66,39,9,28,17,0,11,24,43,42,0,Matches
551,Johan Vásquez,mx MEX,DF,Genoa,23-149,1998,20.1,66,38,40,24,2,38,71,53.5,33,301,102,33.9,181,104,16,46,10,0,36,60,126,78,1,Matches
552,Denis Vavro,sk SVK,DF,Lazio,25-344,1996,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
553,Matías Vecino,uy URU,MF,Inter,30-208,1991,4.2,8,3,3,2,3,0,5,0.0,5,81,18,22.2,20,41,20,12,1,0,11,4,12,8,0,Matches
554,Miguel Veloso,pt POR,MF,Hellas Verona,35-313,1986,13.4,21,11,5,16,0,7,18,38.9,11,183,52,28.4,68,98,17,20,4,0,16,18,39,15,1,Matches
555,Lorenzo Venuti,it ITA,DF,Fiorentina,26-342,1995,10.8,7,4,4,2,1,1,7,14.3,6,96,25,26.0,39,45,12,15,3,0,12,7,14,13,0,Matches
556,Daniele Verde,it ITA,FWMF,Spezia,25-273,1996,17.2,11,4,6,3,2,5,13,38.5,8,147,41,27.9,40,55,52,18,2,0,16,20,31,3,0,Matches
557,Simone Verdi,it ITA,FWMF,Torino,29-251,1992,0.5,2,2,1,1,0,0,0,,0,7,3,42.9,2,4,1,0,0,0,0,1,3,0,0,Matches
558,Simone Verdi,it ITA,FWMF,Salernitana,29-251,1992,3.8,6,4,3,1,2,2,5,40.0,3,44,9,20.5,13,16,15,5,0,0,5,1,7,1,0,Matches
559,Jordan Veretout,fr FRA,MF,Roma,29-019,1993,21.5,37,28,19,14,4,9,25,36.0,16,330,100,30.3,123,145,62,14,0,0,14,20,57,22,0,Matches
560,Edoardo Vergani,it ITA,FWMF,Salernitana,21-042,2001,1.0,3,1,2,1,0,0,0,,0,28,6,21.4,7,14,7,4,2,0,2,0,3,1,0,Matches
561,Valerio Verre,it ITA,MFFW,Sampdoria,28-068,1994,4.7,9,7,1,5,3,3,7,42.9,4,88,29,33.0,11,46,31,7,0,0,7,4,13,4,0,Matches
562,Valerio Verre,it ITA,FWMF,Empoli,28-068,1994,1.0,1,1,1,0,0,0,0,,0,22,9,40.9,9,11,2,0,0,0,0,1,2,1,0,Matches
563,Freddie Veseli,al ALB,DF,Salernitana,29-120,1992,6.6,7,3,3,4,0,4,9,44.4,5,55,13,23.6,33,22,0,15,5,0,10,11,18,24,0,Matches
564,Guglielmo Vicario,it ITA,GK,Empoli,25-164,1996,29.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
565,Arturo Vidal,cl CHI,MF,Inter,34-302,1987,6.8,31,18,16,12,3,8,24,33.3,16,152,46,30.3,69,60,23,15,5,0,10,3,34,6,0,Matches
566,Ronaldo Vieira,gw GNB,MFFW,Sampdoria,23-244,1998,1.2,1,1,1,0,0,0,2,0.0,2,33,8,24.2,17,15,1,4,0,0,4,0,1,1,1,Matches
567,Luca Vignali,it ITA,DF,Spezia,26-068,1996,0.9,1,1,0,1,0,0,4,0.0,4,11,2,18.2,4,3,4,0,0,0,0,1,2,2,0,Matches
568,Emanuel Vignato,it ITA,MFDF,Bologna,21-208,2000,6.1,13,9,6,4,3,4,12,33.3,8,100,31,31.0,34,46,20,5,0,0,5,3,16,6,0,Matches
569,Matías Viña,uy URU,DF,Roma,24-131,1997,16.8,46,21,29,11,6,20,45,44.4,25,287,75,26.1,123,121,43,38,4,0,34,42,88,32,0,Matches
570,Nicolas Viola,it ITA,MF,Bologna,32-159,1989,1.0,3,2,1,2,0,1,3,33.3,2,22,7,31.8,11,10,1,1,1,0,0,1,4,0,0,Matches
571,Mattia Viti,it ITA,DF,Empoli,20-055,2002,11.2,20,13,11,7,2,6,13,46.2,7,148,46,31.1,74,60,14,26,18,1,8,22,42,53,0,Matches
572,Dušan Vlahović,rs SRB,FW,Fiorentina,22-051,2000,20.6,4,3,0,2,2,2,7,28.6,5,189,51,27.0,5,70,114,17,4,0,13,4,8,15,0,Matches
573,Dušan Vlahović,rs SRB,FW,Juventus,22-051,2000,5.0,0,0,0,0,0,0,2,0.0,2,45,18,40.0,2,20,23,0,0,0,0,0,0,1,0,Matches
574,Mërgim Vojvoda,xk KVX,DF,Torino,27-047,1995,16.2,27,12,15,9,3,13,22,59.1,9,151,53,35.1,50,57,44,29,6,0,23,19,46,38,0,Matches
575,Cristian Volpato,au AUS,MF,Roma,18-125,2003,0.3,0,0,0,0,0,0,0,,0,6,2,33.3,0,4,2,0,0,0,0,0,0,0,0,Matches
576,Stefan de Vrij,nl NED,DF,Inter,30-043,1992,20.4,36,25,20,15,1,10,21,47.6,11,179,72,40.2,89,83,7,17,7,0,10,31,67,75,1,Matches
577,Walace,br BRA,MF,Udinese,26-350,1995,24.9,68,48,29,31,8,31,84,36.9,53,439,157,35.8,177,218,44,39,5,0,34,55,123,31,1,Matches
578,Sebastian Walukiewicz,pl POL,DF,Cagliari,21-349,2000,3.1,6,3,5,1,0,2,3,66.7,1,52,19,36.5,37,13,2,5,1,0,4,7,13,10,0,Matches
579,Magnus Warming,dk DEN,FWDF,Torino,21-285,2000,0.6,3,1,1,1,1,0,1,0.0,1,15,5,33.3,3,2,10,0,0,0,0,0,3,0,0,Matches
580,Kelvin Yeboah,it ITA,FW,Genoa,21-318,2000,5.8,9,6,5,3,1,5,11,45.5,6,141,41,29.1,18,58,65,17,1,0,16,1,10,4,0,Matches
581,Gerard Yepes,es ESP,MFDF,Sampdoria,19-207,2002,0.2,0,0,0,0,0,0,0,,0,6,1,16.7,2,4,0,1,0,0,1,1,1,0,0,Matches
582,Maya Yoshida,jp JPN,DF,Sampdoria,33-208,1988,18.8,19,11,9,10,0,8,21,38.1,13,142,42,29.6,57,78,7,30,14,1,16,46,65,75,0,Matches
583,Mattia Zaccagni,it ITA,FW,Lazio,26-277,1995,13.6,22,13,8,9,5,7,16,43.8,9,193,57,29.5,45,77,71,24,1,0,23,22,44,4,0,Matches
584,Mattia Zaccagni,it ITA,MFFW,Hellas Verona,26-277,1995,2.0,3,2,1,0,2,0,2,0.0,2,19,4,21.1,2,4,13,2,0,0,2,3,6,0,0,Matches
585,Denis Zakaria,ch SUI,MF,Juventus,25-120,1996,2.3,5,2,0,5,0,0,2,0.0,2,45,12,26.7,16,23,6,3,1,0,2,7,12,2,0,Matches
586,Nicola Zalewski,pl POL,DF,Roma,20-056,2002,2.9,12,7,9,3,0,4,9,44.4,5,60,17,28.3,30,25,5,2,0,0,2,12,24,2,0,Matches
587,Andre-Frank Zambo Anguissa,cm CMR,MF,Napoli,26-124,1995,15.4,41,29,16,17,8,16,38,42.1,22,330,112,33.9,87,166,77,20,2,0,18,30,71,20,0,Matches
588,Nicolò Zaniolo,it ITA,FW,Roma,22-261,1999,18.8,25,11,3,15,7,4,12,33.3,8,326,90,27.6,44,167,115,14,0,0,14,14,39,6,0,Matches
589,Alessandro Zanoli,it ITA,DF,Napoli,21-168,2000,0.5,1,0,0,1,0,0,1,0.0,1,9,0,0.0,5,3,1,0,0,0,0,0,1,2,0,Matches
590,Mattia Zanotti,it ITA,DF,Inter,19-068,2003,0.1,0,0,0,0,0,0,0,,0,4,0,0.0,3,0,1,0,0,0,0,0,0,0,0,Matches
591,Duván Zapata,co COL,FW,Atalanta,30-353,1991,13.4,3,2,1,1,1,1,3,33.3,2,116,33,28.4,8,39,69,11,3,0,8,6,9,7,0,Matches
592,Gabriele Zappa,it ITA,DF,Cagliari,22-088,1999,12.0,19,10,10,6,3,6,18,33.3,12,216,54,25.0,84,95,37,26,5,0,21,24,43,14,0,Matches
593,Davide Zappacosta,it ITA,DF,Atalanta,29-282,1992,17.7,18,7,7,7,4,8,21,38.1,13,274,64,23.4,82,114,78,39,2,0,37,12,30,14,0,Matches
594,Simone Zaza,it ITA,FWMF,Torino,30-268,1991,1.4,3,2,1,1,1,1,1,100.0,0,20,8,40.0,2,6,12,1,0,0,1,0,3,5,0,Matches
