,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
77,Alessandro Buongiorno,it ITA,DF,Torino,22-287,1999,10.0,18,11,7,9,2,8,13,61.5,5,122,40,32.8,50,61,11,11,4,0,7,23,41,31,0,Matches
78,Gianluca Busio,us USA,MF,Venezia,19-296,2002,18.8,51,32,27,18,6,23,56,41.1,33,441,123,27.9,174,201,66,54,14,0,40,31,82,28,0,Matches
79,Jovane Cabral,cv CPV,FW,Lazio,23-279,1998,0.7,2,1,0,2,0,0,0,,0,13,3,23.1,1,8,4,1,1,0,0,0,2,0,0,Matches
80,Liberato Cacace,nz NZL,DF,Empoli,21-174,2000,1.8,4,2,3,1,0,2,2,100.0,0,28,7,25.0,13,9,6,3,1,0,2,4,8,3,0,Matches
81,Martín Cáceres,uy URU,DF,Cagliari,34-347,1987,9.2,18,12,7,6,5,5,12,41.7,7,85,25,29.4,44,30,11,21,5,0,16,22,40,18,0,Matches
82,Felipe Caicedo,ec ECU,FW,Genoa,33-196,1988,3.2,3,2,0,2,1,1,1,100.0,0,44,16,36.4,2,19,23,3,1,0,2,0,3,3,0,Matches
83,Felipe Caicedo,ec ECU,FWMF,Inter,33-196,1988,0.1,0,0,0,0,0,0,0,,0,3,1,33.3,0,0,3,0,0,0,0,0,0,0,0,Matches
84,Davide Calabria,it ITA,DF,Milan,25-104,1996,16.9,46,31,22,17,7,18,41,43.9,23,276,95,34.4,113,113,50,34,5,0,29,32,78,28,0,Matches
85,Riccardo Calafiori,it ITA,DF,Roma,19-305,2002,1.9,3,2,1,1,1,2,6,33.3,4,35,11,31.4,12,17,6,4,0,0,4,5,8,1,0,Matches
86,Riccardo Calafiori,it ITA,DF,Genoa,19-305,2002,0.9,1,0,0,0,1,1,3,33.3,2,14,3,21.4,4,7,3,5,2,0,3,1,2,4,0,Matches
87,Mattia Caldara,it ITA,DF,Venezia,27-319,1994,22.0,51,29,36,12,3,17,36,47.2,19,258,90,34.9,173,64,21,54,26,0,28,71,122,104,0,Matches
88,Hakan Çalhanoğlu,tr TUR,MF,Inter,28-040,1994,20.3,32,20,12,14,6,9,28,32.1,19,287,105,36.6,70,137,80,24,4,0,20,21,53,6,0,Matches
89,José Callejón,es ESP,FW,Fiorentina,35-037,1987,13.5,17,13,6,8,3,6,25,24.0,19,153,45,29.4,24,73,56,8,1,0,7,13,30,2,0,Matches
90,Andrea Cambiaso,it ITA,DF,Genoa,22-028,2000,19.5,44,28,26,12,6,17,36,47.2,19,330,86,26.1,149,116,65,53,8,0,45,35,79,25,1,Matches
91,Matteo Cancellieri,it ITA,MFDF,Hellas Verona,20-036,2002,1.9,3,2,3,0,0,1,4,25.0,3,37,9,24.3,12,14,11,3,0,0,3,1,4,0,0,Matches
92,Antonio Candreva,it ITA,MFFW,Sampdoria,35-020,1987,26.5,21,12,8,8,5,9,40,22.5,31,266,77,28.9,67,116,83,36,0,0,36,40,61,9,0,Matches
93,Leonardo Capezzi,it ITA,MF,Salernitana,26-357,1995,1.9,4,2,0,3,1,1,6,16.7,5,75,16,21.3,30,36,9,9,4,0,5,1,5,3,0,Matches
94,Gianluca Caprari,it ITA,FWMF,Hellas Verona,28-233,1993,21.7,33,24,11,16,6,7,28,25.0,21,325,107,32.9,76,137,112,29,0,0,29,13,46,2,0,Matches
95,Francesco Caputo,it ITA,FW,Sampdoria,34-226,1987,23.0,4,3,0,1,3,0,6,0.0,6,177,49,27.7,15,70,92,3,0,0,3,3,7,9,0,Matches
96,Francesco Caputo,it ITA,FW,Sassuolo,34-226,1987,1.7,0,0,0,0,0,0,0,,0,10,2,20.0,0,3,7,1,1,0,0,0,0,0,0,Matches
97,Andrea Carboni,it ITA,DF,Cagliari,21-044,2001,19.9,38,27,26,9,3,13,36,36.1,23,294,90,30.6,176,105,13,39,13,0,26,46,84,81,0,Matches
98,Nicolò Casale,it ITA,DF,Hellas Verona,24-034,1998,20.3,41,21,22,17,2,12,24,50.0,12,365,106,29.0,194,145,26,32,5,0,27,51,92,72,0,Matches
99,Francesco Cassata,it ITA,MF,Genoa,24-247,1997,0.1,0,0,0,0,0,0,0,,0,2,1,50.0,1,1,0,0,0,0,0,1,1,0,0,Matches
100,Samu Castillejo,es ESP,FWMF,Milan,27-061,1995,1.4,2,1,0,1,1,0,5,0.0,5,30,11,36.7,7,12,11,4,1,0,3,2,4,1,0,Matches
101,Gaetano Castrovilli,it ITA,MF,Fiorentina,25-031,1997,12.7,21,11,7,9,5,6,19,31.6,13,211,68,32.2,54,95,62,18,2,0,16,19,40,2,0,Matches
102,Danilo Cataldi,it ITA,MF,Lazio,27-226,1994,14.2,29,14,9,17,3,6,28,21.4,22,250,54,21.6,78,145,27,20,10,0,10,20,49,15,0,Matches
