name,weekly_gross_eur,annual_gross_eur,weekly_net_eur,annual_net_eur,weekly_gross_gbp,annual_gross_gbp,weekly_net_gbp,annual_net_gbp,weekly_gross_usd,annual_gross_usd,weekly_net_usd,annual_net_usd,length,total_gross_eur,total_net_eur,total_gross_gbp,total_net_gbp,total_gross_usd,total_net_usd,status,position,position_detail,age,country,club
Álvaro González,12692.307692307691,660000,6923.076923076923,360000,10575.403846153846,549921,5768.403846153846,299957,14369.25,747201,7837.7692307692305,407564,3-yrs,1980000,1080000,1649762,899870,2241602,1222692,Reserve,D,CB,32,Spain,Marseille
Paul Lasne,12692.307692307691,660000,6923.076923076923,360000,10575.403846153846,549921,5768.403846153846,299957,14369.25,747201,7837.7692307692305,407564,1-yr,660000,360000,549921,299957,747201,407564,Reserve,M,DM,33,France,Brest
Ismail Jakobs,12500,650000,10961.538461538461,570000,10415.153846153846,541588,9133.288461538461,474931,14151.51923076923,735879,12409.807692307691,645310,5-yrs,3250000,2850000,2707942,2374657,3679397,3226549,Reserve,M,LM,22,Germany,Monaco
Junior Sambia,12500,650000,6923.076923076923,360000,10415.153846153846,541588,5768.403846153846,299957,14151.51923076923,735879,7837.7692307692305,407564,1-yr,650000,360000,541588,299957,735879,407564,Reserve,D,RB,25,France,Montpellier
Cheikh Niasse,12500,650000,6923.076923076923,360000,10415.153846153846,541588,5768.403846153846,299957,14151.51923076923,735879,7837.7692307692305,407564,2-yrs,1300000,720000,1083177,599913,1471759,815128,Reserve,M,DM,22,Senegal,Lille
Martín Satriano,12307.692307692309,640000,6730.7692307692305,350000,10254.923076923076,533256,5608.173076923077,291625,13933.807692307691,724558,7620.057692307692,396243,1-yr,640000,350000,533256,291625,724558,396243,Reserve,F,CF,20,Uruguay,Brest
Jérémy Morel,12115.384615384615,630000,6730.7692307692305,350000,10094.692307692309,524924,5608.173076923077,291625,13716.096153846154,713237,7620.057692307692,396243,1-yr,630000,350000,524924,291625,713237,396243,Reserve,D,CB,37,Madagascar,Lorient
Maxence Caqueret,12115.384615384615,630000,6730.7692307692305,350000,10094.692307692309,524924,5608.173076923077,291625,13716.096153846154,713237,7620.057692307692,396243,2-yrs,1260000,700000,1049848,583249,1426474,792486,Starter,M,CM,21,France,Lyon
Romain Thomas,12115.384615384615,630000,6730.7692307692305,350000,10094.692307692309,524924,5608.173076923077,291625,13716.096153846154,713237,7620.057692307692,396243,1-yr,630000,350000,524924,291625,713237,396243,Reserve,D,CB,33,France,Angers
Steve Mounié,11730.76923076923,610000,6538.461538461538,340000,9774.23076923077,508260,5447.923076923077,283292,13280.673076923076,690595,7402.346153846154,384922,3-yrs,1830000,1020000,1524780,849877,2071784,1154765,Starter,F,CF,27,Benin,Brest
Gautier Larsonneur,11730.76923076923,610000,6538.461538461538,340000,9774.23076923077,508260,5447.923076923077,283292,13280.673076923076,690595,7402.346153846154,384922,2-yrs,1220000,680000,1016520,566585,1381189,769843,Reserve,K,GK,24,France,Brest
Sinaly Diomandé,11730.76923076923,610000,6538.461538461538,340000,9774.23076923077,508260,5447.923076923077,283292,13280.673076923076,690595,7402.346153846154,384922,4-yrs,2440000,1360000,2033040,1133170,2762378,1539686,Reserve,D,CB,20,Cote d&#39;Ivoire,Lyon
Habib Diallo,11730.76923076923,610000,6538.461538461538,340000,9774.23076923077,508260,5447.923076923077,283292,13280.673076923076,690595,7402.346153846154,384922,4-yrs,2440000,1360000,2033040,1133170,2762378,1539686,Reserve,F,CF,26,Senegal,Strasbourg
Dimitri Liénard,11730.76923076923,610000,6538.461538461538,340000,9774.23076923077,508260,5447.923076923077,283292,13280.673076923076,690595,7402.346153846154,384922,2-yrs,1220000,680000,1016520,566585,1381189,769843,Starter,M,CM,33,France,Strasbourg
Nabil Bentaleb,11538.461538461539,600000,6346.153846153846,330000,9614,499928,5287.692307692308,274960,13062.942307692309,679273,7184.615384615385,373600,4-yrs,2400000,1320000,1999711,1099841,2717094,1494401,Starter,M,CM,27,Algeria,Angers
Jean-Armel Kana-Biyik,11538.461538461539,600000,6346.153846153846,330000,9614,499928,5287.692307692308,274960,13062.942307692309,679273,7184.615384615385,373600,1-yr,600000,330000,499928,274960,679273,373600,Starter,D,CB,32,Cameroon,Metz
Alexandre Letellier,11538.461538461539,600000,6346.153846153846,330000,9614,499928,5287.692307692308,274960,13062.942307692309,679273,7184.615384615385,373600,1-yr,600000,330000,499928,274960,679273,373600,Reserve,K,GK,31,France,PSG
Eliaquim Mangala,11538.461538461539,600000,6346.153846153846,330000,9614,499928,5287.692307692308,274960,13062.942307692309,679273,7184.615384615385,373600,1-yr,600000,330000,499928,274960,679273,373600,Starter,D,CB,30,France,St-Etienne
Luka Ilic,11538.461538461539,600000,6346.153846153846,330000,9614,499928,5287.692307692308,274960,13062.942307692309,679273,7184.615384615385,373600,3-yrs,1800000,990000,1499783,824881,2037820,1120801,Reserve,F,AM,22,Serbia,Troyes
Xavi Simons,11538.461538461539,600000,6346.153846153846,330000,9614,499928,5287.692307692308,274960,13062.942307692309,679273,7184.615384615385,373600,1-yr,600000,330000,499928,274960,679273,373600,Reserve,F,AM,18,Netherlands,PSG
Kamaldeen Sulemana,11346.153846153846,590000,6153.846153846154,320000,9453.76923076923,491596,5127.461538461538,266628,12845.23076923077,667952,6966.903846153846,362279,5-yrs,2950000,1600000,2457978,1333141,3339761,1811396,Reserve,F,LW,19,Ghana,Rennes
Colin Dagba,11346.153846153846,590000,6153.846153846154,320000,9453.76923076923,491596,5127.461538461538,266628,12845.23076923077,667952,6966.903846153846,362279,3-yrs,1770000,960000,1474787,799884,2003856,1086837,Reserve,D,RB,23,France,PSG
Paul Nardi,11153.846153846154,580000,6153.846153846154,320000,9293.538461538461,483264,5127.461538461538,266628,12627.51923076923,656631,6966.903846153846,362279,2-yrs,1160000,640000,966527,533256,1313262,724558,Reserve,K,GK,27,France,Lorient
